book_title,author,img,price,ratings,no_of_purchase,url,genre
Build A Career in Data Science,"English, Paperback, Robinson Emily",https://rukminim1.flixcart.com/image/612/612/krxtrww0/book/k/r/j/build-a-career-in-data-science-original-imag5hr7dtzxxwg6.jpeg?q=70,"₹1,799",,,https://www.flipkart.com/search?q=data+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,data science
Data Science and Productivity Analytics,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/ksw4ccw0/book/9/t/k/data-science-and-productivity-analytics-original-imag6cn7uvvu4bdt.jpeg?q=70,"₹12,116",,,https://www.flipkart.com/search?q=data+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,data science
Leadership in Statistics and Data Science,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/l09w8sw0/book/m/e/i/leadership-in-statistics-and-data-science-original-imagc3s2fnfgwcgz.jpeg?q=70,"₹7,789",,,https://www.flipkart.com/search?q=data+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,data science
Data Science and Machine Learning using Python,"Paperback, Reema Thareja",https://rukminim1.flixcart.com/image/612/612/xif0q/book/d/y/g/data-science-and-machine-learning-using-python-original-imagghxer6zbb4jp.jpeg?q=70,₹599,4.5,(53),https://www.flipkart.com/search?q=data+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,data science
OBJECT ORIENTED PROGRAMMING - For Second Year (SY) B.Tech / B.E Degree in Artificial Intelligence & Data Science - Semester 3 - SPPU (Pune University),"Paperback, Mrs. Manisha P. Navale, Mrs. Shilpa N. Bhosale, Mrs. Priti P. Jorvekar-Kumbhar",https://rukminim1.flixcart.com/image/612/612/xif0q/book/w/f/s/object-oriented-programming-for-second-year-sy-b-tech-b-e-degree-original-imaghg2ysxgynhcc.jpeg?q=70,₹290,,,https://www.flipkart.com/search?q=data+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,data science
"Challenges at the Interface of Data Analysis, Computer Science, and Optimization","English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kjd6nww0-0/book/e/a/g/challenges-at-the-interface-of-data-analysis-computer-science-original-imafyyypbgxcug4k.jpeg?q=70,"₹8,777",,,https://www.flipkart.com/search?q=data+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,data science
Statistical Learning And Data Science,"English, Paperback, Summa",https://rukminim1.flixcart.com/image/612/612/jhnqcnk0/book/8/5/2/statistical-learning-and-data-science-original-imaf5hz7px6cpggm.jpeg?q=70,"₹1,886",,,https://www.flipkart.com/search?q=data+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,data science
Std 11 Precise Physics Book | FYJC Science | Maharashtra State Board | Based On New Syllabus,"Paperback, Content Team at Target Publications",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/t/d/g/-original-imagjmg5y3dscs56.jpeg?q=70,₹323,4.5,(25),https://www.flipkart.com/search?q=data+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,data science
Python Data Science Essentials,"English, Electronic book text, Boschetti Alberto",https://rukminim1.flixcart.com/image/612/612/krp94sw0/book/j/v/p/python-data-science-essentials-original-imag5fq77bhahzvu.jpeg?q=70,"₹3,299",,,https://www.flipkart.com/search?q=data+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,data science
Data Science for Business Professionals,"English, Paperback, Data Science, Consulting Pvt Ltd P",https://rukminim1.flixcart.com/image/612/612/kjym9ow0/book/c/7/h/data-science-for-business-professionals-original-imafze79hzkszfak.jpeg?q=70,"₹1,028",,,https://www.flipkart.com/search?q=data+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,data science
"Learning to Love Data Science  - Explorations of Emerging Technologies and Platforms for Predictive Analytics, Machine Learning, Digital Manufacturing and Supply Chain Optimization","English, Paperback, Barlow Mike",https://rukminim1.flixcart.com/image/612/612/kjlrb0w0-0/book/v/u/g/learning-to-love-data-science-original-imafz4skjmghzpdz.jpeg?q=70,₹400,4,(5),https://www.flipkart.com/search?q=data+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,data science
Guide to Intelligent Data Science,"English, Paperback, Berthold Michael R.",https://rukminim1.flixcart.com/image/612/612/ktd9mkw0/book/x/h/5/guide-to-intelligent-data-science-original-imag6prze5pxzfgm.jpeg?q=70,"₹2,953",,,https://www.flipkart.com/search?q=data+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,data science
Data Science for Financial Econometrics,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/kp78e4w0/book/r/p/l/data-science-for-financial-econometrics-original-imag3hnhx8dfe72u.jpeg?q=70,"₹11,340",,,https://www.flipkart.com/search?q=data+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,data science
Data Science,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/krqoknk0/book/r/q/p/data-science-original-imag5g5ahzzdx5hp.jpeg?q=70,"₹10,080",,,https://www.flipkart.com/search?q=data+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,data science
Between Data Science and Applied Data Analysis,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kjbr8280-0/book/r/5/i/between-data-science-and-applied-data-analysis-original-imafyxb4zf4nnfpt.jpeg?q=70,"₹8,370",,,https://www.flipkart.com/search?q=data+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,data science
