book_title,author,img,price,ratings,no_of_purchase,url,genre
Qualitative Data Analysis,"English, Paperback, Dey Ian",https://rukminim1.flixcart.com/image/612/612/xif0q/book/y/p/i/qualitative-data-analysis-original-imagkfegfynbjuty.jpeg?q=70,"₹5,339",,,https://www.flipkart.com/search?q=data+analyst+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=9,data analyst
Deep Sequencing Data Analysis,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/book/1/3/2/deep-sequencing-data-analysis-original-imaebzugeeyr6sn3.jpeg?q=70,"₹13,847",,,https://www.flipkart.com/search?q=data+analyst+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=9,data analyst
Performance Measurement with Fuzzy Data Envelopment Analysis,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/jox7xjk0-1/book/7/1/1/performance-measurement-with-fuzzy-data-envelopment-analysis-original-imafbab5gsh9g78r.jpeg?q=70,"₹13,847",,,https://www.flipkart.com/search?q=data+analyst+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=9,data analyst
A Complete Book on Data Interpretation and (Hindi) Analysis Printed Edition),"Hindi, Paperback, Adda247 Publications (Author), Anil (Contributor)",https://rukminim1.flixcart.com/image/612/612/keokpe80/book/2/9/6/a-complete-book-on-data-interpretation-and-hindi-analysis-original-imafvapbqeheg6zq.jpeg?q=70,₹375,4.3,(922),https://www.flipkart.com/search?q=data+analyst+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=9,data analyst
Bayesian Analysis with Python,"English, Electronic book text, Martin Osvaldo",https://rukminim1.flixcart.com/image/612/612/l29c9e80/book/4/j/k/bayesian-analysis-with-python-original-imagdn5h6kmxvmag.jpeg?q=70,"₹4,099",,,https://www.flipkart.com/search?q=data+analyst+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=9,data analyst
Basic Environmental Data Analysis for Scientists and Engineers,"English, Hardcover, R.B. Von Frese Ralph",https://rukminim1.flixcart.com/image/612/612/xif0q/book/w/l/y/basic-environmental-data-analysis-for-scientists-and-engineers-original-imagk3ruxehdhyzk.jpeg?q=70,"₹10,579",,,https://www.flipkart.com/search?q=data+analyst+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=9,data analyst
MDX with Microsoft SQL Server 2016 Analysis Services Cookbook - Third Edition,"English, Electronic book text, Piasevoli Tomislav",https://rukminim1.flixcart.com/image/612/612/kylvr0w0/book/1/7/4/mdx-with-microsoft-sql-server-2016-analysis-services-cookbook-original-imagasrbhknbxjvd.jpeg?q=70,"₹4,499",,,https://www.flipkart.com/search?q=data+analyst+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=9,data analyst
A Complete Book Of Data Interpretation & Analysis (Third Hindi Edition),"Paperbackk, Hindi, Adda247 Publications",https://rukminim1.flixcart.com/image/612/612/l4ln8nk0/regionalbooks/q/l/y/a-complete-book-of-data-interpretation-third-hindi-edition-original-imagfgszjkj6r7yj.jpeg?q=70,₹385,4.3,(130),https://www.flipkart.com/search?q=data+analyst+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=9,data analyst
Analysis of SAR Data of the Polar Oceans,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kj8wccw0-0/book/s/o/s/analysis-of-sar-data-of-the-polar-oceans-original-imafyvyzvvtwmjdv.jpeg?q=70,"₹9,520",,,https://www.flipkart.com/search?q=data+analyst+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=9,data analyst
Practical Time Series Analysis,"English, Electronic book text, Pal Dr. Avishek",https://rukminim1.flixcart.com/image/612/612/jokcyvk0/book/2/2/7/practical-time-series-analysis-original-imafby2gdfsyr7fy.jpeg?q=70,"₹3,599",,,https://www.flipkart.com/search?q=data+analyst+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=9,data analyst
