book_title,author,img,price,ratings,no_of_purchase,url,genre
Cambridge IGCSE (TM) and O Level Computer Science Programming Book for Python with Digital Access (2 Years),"English, Mixed media product, Roffey Chris",https://rukminim1.flixcart.com/image/612/612/xif0q/book/v/p/7/cambridge-igcse-tm-and-o-level-computer-science-programming-book-original-imaghy2dfzhx83vc.jpeg?q=70,"₹2,126",,,https://www.flipkart.com/search?q=python+programming+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,python programming
Python Programming Language with Python Project | Learn with Ease | Basic to Advance,"Spiral-Bound, Aamer Khan",https://rukminim1.flixcart.com/image/612/612/l51d30w0/book/2/h/3/python-programming-language-with-python-project-learn-with-ease-original-imagft4bbxcurzyr.jpeg?q=70,₹599,,,https://www.flipkart.com/search?q=python+programming+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,python programming
Python Programming Language with Python Project | Learn with Ease | Basic to Advance,"Spiral-Bound, Aamer Khan",https://rukminim1.flixcart.com/image/612/612/l51d30w0/book/k/7/n/python-programming-language-with-python-project-learn-with-ease-original-imagft4bv6whnfyn.jpeg?q=70,₹599,,,https://www.flipkart.com/search?q=python+programming+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,python programming
"Zero To Mastery In Python Programming, Best Python Book For Beginners, This Python Book Covers A-Z About Programming In Python, Also Comes With Python Tricks You Should Definietly Know, Latest Edition  - Zero To Mastery In Python Programming, Best Python Book For Beginners, This Python Book Covers A-Z About Programming In Python, Also Comes With Python Tricks You Should Definietly Know, Latest Edition (Paperback, RAKESH K. YADAV, SRINIVAS ARUKONDA, MONU SINGH) with 1 Disc","Paperback, RAKESH K. YADAV, SRINIVAS ARUKONDA, MONU SINGH",https://rukminim1.flixcart.com/image/612/612/kq8dua80/book/v/f/2/zero-to-mastery-in-python-programming-best-python-book-for-original-imag4ab2gzadhskq.jpeg?q=70,₹325,4.2,(280),https://www.flipkart.com/search?q=python+programming+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,python programming
Programming Books Bundle with Project | Python Programming | C Programming | Java Programming (Set of 3 Books),"Paperback, A. Adams, C. Campbell, A. Khan",https://rukminim1.flixcart.com/image/612/612/kz1lle80/book/a/g/r/programming-books-bundle-with-project-python-programming-c-original-imagb574gzmkdnhu.jpeg?q=70,"₹1,499",4.7,(7),https://www.flipkart.com/search?q=python+programming+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,python programming
Python Programming Language with Python Project | Learn with Ease | Basic to Advance,"Paperback, Aamer Khan",https://rukminim1.flixcart.com/image/612/612/l51d30w0/book/k/7/n/python-programming-language-with-python-project-learn-with-ease-original-imagft4bv6whnfyn.jpeg?q=70,₹799,,,https://www.flipkart.com/search?q=python+programming+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,python programming
Murach's Python Programming (2nd Edition),"English, Paperback, Murach Joel",https://rukminim1.flixcart.com/image/612/612/ko0d6kw0/book/f/h/n/murach-s-python-programming-2nd-edition-original-imag2khze9tsmgth.jpeg?q=70,"₹6,346",,,https://www.flipkart.com/search?q=python+programming+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,python programming
CBSE Python Coding Practice Workbook for AI Artificial Intelligence CS Computer Science IP ICT (Session 2021-22),"English, Paperback, Av Editorial Board",https://rukminim1.flixcart.com/image/612/612/kpvivm80/book/g/d/b/cbse-python-coding-practice-workbook-for-ai-artificial-original-imag4ydsx6zb8gvg.jpeg?q=70,₹795,,,https://www.flipkart.com/search?q=python+programming+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,python programming
Python Programming in A Day,"English, Hardcover, Key Sam",https://rukminim1.flixcart.com/image/612/612/ki6bgcw0-0/book/e/f/5/python-programming-in-a-day-original-imafyyfh8fstpa24.jpeg?q=70,"₹3,557",,,https://www.flipkart.com/search?q=python+programming+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,python programming
Pragmatic Python Programming,"English, Paperback, Guta Gabor",https://rukminim1.flixcart.com/image/612/612/l4fxh8w0/book/u/u/0/pragmatic-python-programming-original-imagfbtkjfb3zzcg.jpeg?q=70,"₹2,927",,,https://www.flipkart.com/search?q=python+programming+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,python programming
