book_title,author,img,price,ratings,no_of_purchase,url,genre
"Inside Deep Learning: Math, Algorithms, Models","English, Paperback, Raff Edward",https://rukminim1.flixcart.com/image/612/612/kpzt7680/book/n/i/t/inside-deep-learning-original-imag43yyrdqgwngj.jpeg?q=70,"₹4,594",,,https://www.flipkart.com/search?q=data+structure+and+algorithms+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,data structure and algorithms
The Algorithmic Society,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/kekadu80/book/3/1/0/the-algorithmic-society-original-imafv7z57y4hezkz.jpeg?q=70,"₹13,098",,,https://www.flipkart.com/search?q=data+structure+and+algorithms+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,data structure and algorithms
Twenty Lectures on Algorithmic Game Theory,"English, Paperback, Roughgarden Tim",https://rukminim1.flixcart.com/image/612/612/jyq5oy80/book/7/9/1/twenty-lectures-on-algorithmic-game-theory-original-imafgvurvwsuzey5.jpeg?q=70,"₹2,800",,,https://www.flipkart.com/search?q=data+structure+and+algorithms+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,data structure and algorithms
Efficient Parallel Algorithms Reprint Edition,"English, Paperback, Gibbons Alan",https://rukminim1.flixcart.com/image/612/612/book/4/1/2/efficient-parallel-algorithms-reprint-edition-original-imaeb7ushhgvh3cz.jpeg?q=70,"₹4,323",,,https://www.flipkart.com/search?q=data+structure+and+algorithms+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,data structure and algorithms
Exploratory Data Analysis in Empirical Research,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kjbr8280-0/book/x/i/j/exploratory-data-analysis-in-empirical-research-original-imafyxd2yywhfh7h.jpeg?q=70,"₹9,142",,,https://www.flipkart.com/search?q=data+structure+and+algorithms+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,data structure and algorithms
The Social Power of Algorithms,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/ks7tuvk0/book/t/b/8/the-social-power-of-algorithms-original-imag5tdghhzk6cqg.jpeg?q=70,"₹3,928",,,https://www.flipkart.com/search?q=data+structure+and+algorithms+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,data structure and algorithms
Bio-Inspired Fault-Tolerant Algorithms for Network-on-Chip,"English, Hardcover, Sethi Muhammad Athar Javed",https://rukminim1.flixcart.com/image/612/612/k7dnonk0/book/9/0/6/bio-inspired-fault-tolerant-algorithms-for-network-on-chip-original-imafpmrtbjsgbzgz.jpeg?q=70,"₹11,586",,,https://www.flipkart.com/search?q=data+structure+and+algorithms+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,data structure and algorithms
Twenty Lectures on Algorithmic Game Theory,"English, Hardcover, Roughgarden Tim",https://rukminim1.flixcart.com/image/612/612/kx7vc7k0/book/l/a/6/twenty-lectures-on-algorithmic-game-theory-original-imag9pjy5gagwg56.jpeg?q=70,"₹7,340",,,https://www.flipkart.com/search?q=data+structure+and+algorithms+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,data structure and algorithms
Beyond Algorithms,"English, Hardcover, Luke James",https://rukminim1.flixcart.com/image/612/612/xif0q/book/f/i/q/beyond-algorithms-original-imaghwxxh785evxq.jpeg?q=70,"₹13,098",,,https://www.flipkart.com/search?q=data+structure+and+algorithms+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,data structure and algorithms
"Algorithms & Architectures For Parallel Processing, 4th Intl Conf","English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/je4k5u80/book/8/1/1/algorithms-and-architectures-for-parallel-processing-ica-3pp-original-imaf2vtpwbgvbpvc.jpeg?q=70,"₹9,837",,,https://www.flipkart.com/search?q=data+structure+and+algorithms+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,data structure and algorithms
