book_title,author,img,price,ratings,no_of_purchase,url,genre
Computer Security: Protecting Digital Resources,"English, Paperback, Newman Robert C",https://rukminim1.flixcart.com/image/612/612/kk2wl8w0/book/q/y/u/computer-security-protecting-digital-resources-original-imafzhk9hcakb9hr.jpeg?q=70,"₹11,116",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
The Rosedata Stone,"English, Paperback, Hoberman Steve",https://rukminim1.flixcart.com/image/612/612/ke7ff680/book/7/3/3/the-rosedata-stone-original-imafuxajyft44nae.jpeg?q=70,₹699,,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Frond End Design Tools Using V.B.NET Including Crystal Reports,"English, Hardcover, C. Komalavalli",https://rukminim1.flixcart.com/image/612/612/l4n2oi80/book/l/v/v/-original-imagfhkcstuks8g7.jpeg?q=70,₹280,,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Super Speed English Speaking Course  - Best Books to Read to Improve English Speaking,"Hindi, Book, Kaur Rashmeet",https://rukminim1.flixcart.com/image/612/612/krxtrww0/book/y/g/6/super-speed-english-speaking-course-original-imag5m78gse7wdyc.jpeg?q=70,₹188,4.1,(724),https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
The Stuff of Thought,"English, Paperback, Pinker Steven",https://rukminim1.flixcart.com/image/612/612/xif0q/book/v/n/v/the-stuff-of-thought-original-imaggm3ggnsmhugn.jpeg?q=70,₹683,4.4,(14),https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Cyber Security Engineering  - A Practical Approach for Systems and Software Assurance First Edition,"English, Paperback, Nancy R. Mead, Carol C. Woody",https://rukminim1.flixcart.com/image/612/612/j33br0w0/book/8/9/8/cyber-security-engineering-original-imaeuazzfbbcypgm.jpeg?q=70,₹636,3.7,(7),https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
"Object-Orientation, Abstraction, and Data Structures Using Scala","English, Paperback, Lewis Mark C.",https://rukminim1.flixcart.com/image/612/612/xif0q/book/h/t/x/object-orientation-abstraction-and-data-structures-using-scala-original-imagk363ezyjune7.jpeg?q=70,"₹9,570",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
SURA`S EPFO Stenographer (Group C) Exam Book in English - Latest Updated Edition 2023,"Paperback, V.V.K Subburaj",https://rukminim1.flixcart.com/image/612/612/xif0q/book/d/5/c/sura-s-epfo-stenographer-group-c-exam-book-in-english-latest-original-imagz4qfcghyxj9z.jpeg?q=70,₹428,,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Spotlight-Mode Synthetic Aperture Radar: A Signal Processing Approach,"English, Hardcover, Jakowatz Charles V. J.",https://rukminim1.flixcart.com/image/612/612/kit6hzk0-0/book/m/f/q/spotlight-mode-synthetic-aperture-radar-a-signal-processing-original-imafygypxgfzheza.jpeg?q=70,"₹19,040",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Using Models to Improve the Supply Chain,"English, Hardcover, Poirier Charles C.",https://rukminim1.flixcart.com/image/612/612/xif0q/book/w/q/d/using-models-to-improve-the-supply-chain-original-imagjx4uq6nm9hbf.jpeg?q=70,"₹5,335",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Word Frequency Distributions,"English, Paperback, Baayen R. Harald",https://rukminim1.flixcart.com/image/612/612/jyhl1u80/book/2/7/3/word-frequency-distributions-original-imafgp3tzn8yxsqn.jpeg?q=70,"₹14,713",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
The Art of Public Speaking,"English, Book, Carnegie Dale",https://rukminim1.flixcart.com/image/612/612/ku5ufm80/book/g/9/q/the-art-of-public-speaking-original-imag7c7yakshzgpg.jpeg?q=70,₹185,4.4,"(1,501)",https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
BHIC-131 Bharat Ka Itihas Aadikaal Se 300 Ishvi Tak And BHIC-132 History Of India From C. 300 To 1206 (Hindi) First Year Combo Of Help Books,"Paperback, Hindi, Group of Neeraj Publication",https://rukminim1.flixcart.com/image/612/612/ksyz8280/regionalbooks/6/m/m/ignou-bhic131-history-of-india-from-the-earliest-times-bhic-132-original-imag6fgyjaxbpw5y.jpeg?q=70,₹320,,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Parallel and Distributed Processing and Applications,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/jokcyvk0/book/2/3/8/parallel-and-distributed-processing-and-applications-original-imafbyyz8pyfsy9j.jpeg?q=70,"₹7,789",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Enterprise Information Security and Privacy,"English, Hardcover, Axelrod C. Warren",https://rukminim1.flixcart.com/image/612/612/kjym9ow0/book/2/n/v/enterprise-information-security-and-privacy-original-imafze8z9jmavyfx.jpeg?q=70,"₹3,335",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
My Learning Steps UKG Activity Worksheets (C) with Stickers and Teacher-recorded Animated Videos  - Children's workbook,"Staple Bound, Ms. Neha Parnami",https://rukminim1.flixcart.com/image/612/612/xif0q/book/7/3/d/my-learning-steps-ukg-activity-worksheets-c-with-stickers-and-original-imaggb4fznj5asum.jpeg?q=70,₹315,4.6,(7),https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
"Epistemology, Context, and Formalism","English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/jon7ukw0/book/4/2/9/epistemology-context-and-formalism-original-imafbfj25bjfs7ah.jpeg?q=70,"₹9,520",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Software Engineering Measurement,"English, Paperback, Munson Ph.D., John C.",https://rukminim1.flixcart.com/image/612/612/xif0q/book/4/t/l/software-engineering-measurement-original-imagg4vyjhzwamwf.jpeg?q=70,"₹3,577",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Introduction to the Art of Programming Using Scala,"English, Paperback, Lewis Mark C.",https://rukminim1.flixcart.com/image/612/612/xif0q/book/b/p/3/introduction-to-the-art-of-programming-using-scala-original-imagmxshfhwa6g2p.jpeg?q=70,"₹4,707",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
OSSSC Common Recruitment Examination Group C Posts 2021-22 (Set Of 4 Books),"Paperback, Chetan Sakhuja",https://rukminim1.flixcart.com/image/612/612/kuh9yfk0/regionalbooks/i/s/i/osssc-common-recruitment-examination-group-c-posts-2021-22-set-original-imag7hhwx3q8nkkm.jpeg?q=70,₹580,3.8,(6),https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Rights for Robots,"English, Hardcover, Gellers Joshua C.",https://rukminim1.flixcart.com/image/612/612/xif0q/book/t/q/r/rights-for-robots-original-imagg4qtus8xsmvd.jpeg?q=70,"₹13,098",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Swift 3 Object-Oriented Programming -,"English, Electronic book text, Hillar Gaston C.",https://rukminim1.flixcart.com/image/612/612/jolseq80/book/3/9/6/swift-3-object-oriented-programming-original-imafazzpaskm62jm.jpeg?q=70,"₹1,964",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Essentials of .Net Programming - Theory and Application PB,"English, Paperback, Komalavalli C",https://rukminim1.flixcart.com/image/612/612/l3lx8cw0/book/l/c/y/essentials-of-net-programming-theory-and-application-pb-original-imagepfhgwuxveec.jpeg?q=70,₹306,,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Spoken English Guru Englishwale kit  - 64GB Lesson-wise Videos Pendrive and Spoken English Guru Books Combo Kit,"English, Hindi, Paperback, Aditya Rana",https://rukminim1.flixcart.com/image/612/612/xif0q/book/w/b/i/spoken-english-guru-englishwale-kit-original-imagk24unnehnznu.jpeg?q=70,"₹1,420",4.4,(997),https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Internet of Things with Python,"English, Paperback, Hillar Gaston C.",https://rukminim1.flixcart.com/image/612/612/knxiavk0/book/2/k/y/internet-of-things-with-python-original-imag2htadhrydgjq.jpeg?q=70,"₹4,099",5,(4),https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Hands-On RESTful Python Web Services,"English, Paperback, C. Hillar Gaston",https://rukminim1.flixcart.com/image/612/612/xif0q/book/o/h/w/hands-on-restful-python-web-services-original-imagmfd2w3cfcapk.jpeg?q=70,"₹2,217",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Simple Statistical Methods for Software Engineering,"English, Paperback, Pandian C. Ravindranath",https://rukminim1.flixcart.com/image/612/612/xif0q/book/j/7/u/simple-statistical-methods-for-software-engineering-original-imagg4u6zzzfzyp6.jpeg?q=70,"₹3,577",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
"SURA'S Mazagon Dock Ship Builders Limited - Group A and Group C (Draftsman, Electrician, Fitter,Pipe Fitter, Structural Fitter, Rigger, Welder) Exam Books - Latest Edition 2022","Paperback, V.V.K SUBBURAJ",https://rukminim1.flixcart.com/image/612/612/krntoy80/book/u/h/f/sura-s-mazagon-dock-ship-builders-limited-group-a-and-group-c-original-imag5egbgzqxpjh6.jpeg?q=70,₹360,,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Building Telephony Systems with OpenSER,"English, Electronic book text, Goncalves Flavio E.",https://rukminim1.flixcart.com/image/612/612/jpu324w0/book/7/3/5/building-telephony-systems-with-openser-original-imafbzjzmzbs3qhj.jpeg?q=70,"₹2,217",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Indian Air Force Group-C Civilian Exam Guide| Sk Books,"Paperback, RAM SINGH YADAV, YAJVENDER YADAV",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/i/z/o/indian-air-force-group-c-civilian-exam-guide-sk-books-original-imagku24n2ht3h7n.jpeg?q=70,₹226,,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Planning English Sentences,"English, Paperback, Appelt Douglas E.",https://rukminim1.flixcart.com/image/612/612/k8ro3gw0/book/0/3/2/studies-in-natural-language-processing-planning-english-original-imafqpbbdhufcgxg.jpeg?q=70,"₹3,217",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
SURA'S IGCAR Technical Officer/c Scientific Assistant/c and Stipendiary Trainee Category-I&II Exam Book - 2022 Latest Edition,"Paperback, V.V.K SUBBURAJ",https://rukminim1.flixcart.com/image/612/612/kqwobrk0/book/d/n/w/sura-s-igcar-technical-officer-c-scientific-assistant-c-and-original-imag4t5e52cjcdge.jpeg?q=70,₹500,3.7,(26),https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Rights for Robots,"English, Paperback, Gellers Joshua C.",https://rukminim1.flixcart.com/image/612/612/xif0q/book/u/8/y/rights-for-robots-original-imagg5y2ca6uvezv.jpeg?q=70,"₹3,928",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Learning Object-Oriented Programming,"English, Paperback, Hillar Gaston C.",https://rukminim1.flixcart.com/image/612/612/kqjtd3k0/book/v/u/q/learning-object-oriented-programming-original-imag4jmk22vgeysd.jpeg?q=70,"₹4,099",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Handbook of Artificial Intelligence in Biomedical Engineering,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/xif0q/book/m/n/c/handbook-of-artificial-intelligence-in-biomedical-engineering-original-imagk2ykdadpzacy.jpeg?q=70,"₹19,445",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
English,"English, Paperback, Gupta R. K.",https://rukminim1.flixcart.com/image/612/612/xif0q/book/6/f/b/-original-imagmkehp3679avm.jpeg?q=70,₹256,4.6,(112),https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Introduction to Bioinformatics Algorithms,"English, Paperback, Jones Neil J.",https://rukminim1.flixcart.com/image/612/612/kjbr8280-0/book/o/c/s/introduction-to-bioinformatics-algorithms-original-imafywv2zgjyfzab.jpeg?q=70,₹687,,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
Formal Grammar,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kiqbma80-0/book/a/n/7/formal-grammar-original-imafygsjxhw6yhny.jpeg?q=70,"₹4,674",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
MQTT Essentials - A Lightweight IoT Protocol,"English, Electronic book text, Hillar Gaston C.",https://rukminim1.flixcart.com/image/612/612/xif0q/book/a/e/r/mqtt-essentials-a-lightweight-iot-protocol-original-imagjyamsjz2fdhs.jpeg?q=70,"₹3,299",,,https://www.flipkart.com/search?q=C%2B%2B+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,c++
