book_title,author,img,price,ratings,no_of_purchase,url,genre
Einfuhrung in Die Objektorientierte Programmierung Mit Java,"German, Hardcover, Doberkat Ernst-Erich",https://rukminim1.flixcart.com/image/612/612/book/4/2/9/einf-hrung-in-die-objektorientierte-programmierung-mit-java-original-imadqfa3zyu4dayq.jpeg?q=70,"₹12,081",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Functional Programming in JavaScript,"English, Paperback, Atencio Luis",https://rukminim1.flixcart.com/image/612/612/jbfe7ww0-1/book/8/2/8/functional-programming-in-javascript-original-imafy9j4afs9f2wz.jpeg?q=70,"₹3,932",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Java Programming Step-by-step,"English, Paperback, Bevis Tony",https://rukminim1.flixcart.com/image/612/612/xif0q/book/h/4/p/java-programming-step-by-step-original-imagk738egasrw9b.jpeg?q=70,"₹5,005",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Programming in Java Second Edition,"English, Paperback, Sachin Malhotra, Saurab Choudhary",https://rukminim1.flixcart.com/image/612/612/jfvfjbk0/book/1/4/0/programming-in-java-original-imaf48g3x3tqwzhu.jpeg?q=70,₹749,4.5,(47),https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
JAVA PROGRAMMING FOR BEGINNERS  - Master Java Fundamentals and Build Your Own Applications (2023 Crash Course),"Paperback, Theo Houle",https://rukminim1.flixcart.com/image/612/612/xif0q/book/y/x/d/java-programming-for-beginners-original-imagmhc68njzg4zp.jpeg?q=70,₹235,,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Building Rich Internet Applications using Flex and Java,"English, Paperback, Suh Jonathan",https://rukminim1.flixcart.com/image/612/612/jpcxrww0/book/5/7/4/building-rich-internet-applications-using-flex-and-java-original-imafbhyaphunku85.jpeg?q=70,"₹3,320",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Developing Java Applications with Spring and Spring Boot,"English, Paperback, Oliveira Claudio Eduardo de",https://rukminim1.flixcart.com/image/612/612/knoxnrk0/book/b/f/z/developing-java-applications-with-spring-and-spring-boot-original-imag2bhz2sspmnyk.jpeg?q=70,"₹11,718",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Monumental Java,"English, Paperback, F Scheltema J",https://rukminim1.flixcart.com/image/612/612/kgpg5u80/book/9/8/4/monumental-java-original-imafwvpyuhbwkmbd.jpeg?q=70,₹608,,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Java,"English, Paperback, Smith Joslyn A",https://rukminim1.flixcart.com/image/612/612/kjvrdzk0/book/c/e/k/java-original-imafzcsckpcy3mdb.jpeg?q=70,"₹10,465",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Java,"Italian, Paperback, Ferrati Alberto",https://rukminim1.flixcart.com/image/612/612/kqy3rm80/book/w/1/h/java-original-imag4u5uufzguwdb.jpeg?q=70,"₹1,426",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Java For Dummies,"English, Paperback, Burd Barry",https://rukminim1.flixcart.com/image/612/612/kzzw5u80/book/4/z/j/java-for-dummies-original-imagbvbzd2ngnkre.jpeg?q=70,"₹2,038",4.5,(95),https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
"Java, the garden of the East","English, Paperback, Ruhamah Scidmore Eliza",https://rukminim1.flixcart.com/image/612/612/k7nnrm80/book/1/6/8/java-the-garden-of-the-east-original-imafpue7zg4usgfz.jpeg?q=70,₹542,,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
OCA Java SE 8 Programmer I Certification Guide,"English, Paperback, Gupta Mala",https://rukminim1.flixcart.com/image/612/612/kw3v0cw0/book/j/j/p/oca-java-se-8-programmer-i-certification-guide-original-imag8un2wzuhw5sw.jpeg?q=70,"₹5,414",3.6,(5),https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Test Automation using Selenium WebDriver with Java,"English, Paperback, Garg Navneesh",https://rukminim1.flixcart.com/image/612/612/jxgflow0/book/5/1/2/test-automation-using-selenium-webdriver-with-java-original-imafhwa32hhsuxcm.jpeg?q=70,"₹4,482",4,(20),https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
JavaScript,"English, Paperback, Masterson Charlie",https://rukminim1.flixcart.com/image/612/612/jzygccw0/book/1/5/4/javascript-original-imafjuspbwaqzfpn.jpeg?q=70,"₹2,672",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Learn JavaScript Visually,"English, Hardcover, Demirov Ivelin",https://rukminim1.flixcart.com/image/612/612/xif0q/book/x/4/o/learn-javascript-visually-original-imagjvs8ydfnzfqb.jpeg?q=70,"₹3,524",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Java,"English, Paperback, Clark Nathan",https://rukminim1.flixcart.com/image/612/612/k0jvy4w0/book/6/9/5/java-original-imafkb8ezwjhh69q.jpeg?q=70,"₹1,558",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
JavaScript,"English, Paperback, Clark Nathan",https://rukminim1.flixcart.com/image/612/612/ksw4ccw0/book/g/7/j/javascript-original-imag6ce2h4d6q8kq.jpeg?q=70,"₹1,557",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Java,"English, Paperback, Clark Nathan",https://rukminim1.flixcart.com/image/612/612/k0plpjk0/book/4/7/1/java-original-imafkfht3wbpjztc.jpeg?q=70,"₹1,548",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Beginning Java 7,"English, Paperback, Friesen Jeff",https://rukminim1.flixcart.com/image/612/612/jzn0tjk0/book/0/3/6/beginning-java-7-original-imafjhhwdufshyut.jpeg?q=70,₹349,4.4,(18),https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Easy Learning Data Structures & Algorithms Java Practice,"English, Paperback, Hu Yang",https://rukminim1.flixcart.com/image/612/612/kvjuufk0/book/k/u/s/easy-learning-data-structures-algorithms-java-practice-original-imag8eybzvyzj8gw.jpeg?q=70,"₹3,945",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
"Learn Docker - .NET Core, Java, Node.JS, PHP or Python","English, Paperback, Weil Arnaud",https://rukminim1.flixcart.com/image/612/612/kkwwu4w0/book/2/h/u/learn-docker-net-core-java-node-js-php-or-python-original-imagy5hn5tpnwnce.jpeg?q=70,"₹1,915",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
JavaScript,"English, Paperback, Clark Nathan",https://rukminim1.flixcart.com/image/612/612/k0jvy4w0/book/9/4/1/javascript-original-imafkbaj5zwgzucp.jpeg?q=70,"₹1,567",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Speaking JavaScript,"English, Paperback, Rauschmayer Axel",https://rukminim1.flixcart.com/image/612/612/kr6oeq80/book/e/d/g/speaking-javascript-original-imag5fchezfhhnjs.jpeg?q=70,"₹4,780",4.7,(6),https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Java,"English, Paperback, Masterson Charlie",https://rukminim1.flixcart.com/image/612/612/k0igia80/book/5/8/1/java-original-imafkacgqbuupbgh.jpeg?q=70,"₹1,929",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Java,"English, Paperback, Vickler Andy",https://rukminim1.flixcart.com/image/612/612/kt1u3rk0/book/k/d/j/java-original-imag6hhdfbhtzwkf.jpeg?q=70,"₹4,406",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
Java Interview Guide,"English, Paperback, Depalma Anthony",https://rukminim1.flixcart.com/image/612/612/kjiwfbk0-0/book/q/k/d/java-interview-guide-original-imafz2yfn5h8eyhy.jpeg?q=70,"₹1,035",,,https://www.flipkart.com/search?q=java+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=23,java
