book_title,author,img,price,ratings,no_of_purchase,url,genre
"Joy of JavaScript, The","English, Paperback, Atencio Luis",https://rukminim1.flixcart.com/image/612/612/kw3v0cw0/book/w/h/n/the-joy-of-javascript-original-imag8uhzgkrtgykk.jpeg?q=70,"₹3,595",,,https://www.flipkart.com/search?q=javascript+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=7,javascript
Deep Learning with JavaScript,"English, Paperback, Cai Shanqing",https://rukminim1.flixcart.com/image/612/612/kw3v0cw0/book/f/3/x/deep-learning-with-javascript-original-imag8uhzvakygndb.jpeg?q=70,"₹4,496",,,https://www.flipkart.com/search?q=javascript+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=7,javascript
Jumpstarting JavaScript,"English, Paperback, Beighley Lynn",https://rukminim1.flixcart.com/image/612/612/k0plpjk0/book/9/7/0/jumpstarting-javascript-original-imafkgfvccsjfgh4.jpeg?q=70,₹946,,,https://www.flipkart.com/search?q=javascript+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=7,javascript
Best of Javascript 2016,"English, Paperback, Gurtowski Francis",https://rukminim1.flixcart.com/image/612/612/jj0bbm80/book/6/4/5/best-of-javascript-2016-original-imaf6nsqghkdfk2c.jpeg?q=70,"₹6,407",,,https://www.flipkart.com/search?q=javascript+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=7,javascript
Mastering JavaScript,"English, Paperback, White Michael B",https://rukminim1.flixcart.com/image/612/612/xif0q/book/k/c/r/mastering-javascript-original-imaghyzgcpuzddjm.jpeg?q=70,"₹2,965",,,https://www.flipkart.com/search?q=javascript+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=7,javascript
The Trending Libraries for JavaScript,"Paperback, Mr. Nazeer Shaik, Dr. P.Chitralingappa, Dr. Abdul Subhahan Shaik",https://rukminim1.flixcart.com/image/612/612/xif0q/book/5/n/m/the-trending-libraries-for-javascript-original-imagmubsakjh3ayu.jpeg?q=70,₹299,,,https://www.flipkart.com/search?q=javascript+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=7,javascript
Foundation Html5 Animation with Javascript,"English, Paperback, Lamberta Billy",https://rukminim1.flixcart.com/image/612/612/jzn0tjk0/book/4/6/3/foundation-html5-animation-with-javascript-original-imafjhg4mn25wqj3.jpeg?q=70,₹539,,,https://www.flipkart.com/search?q=javascript+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=7,javascript
Test-Driving JavaScript Applications,"English, Paperback, Subramaniam Venkat",https://rukminim1.flixcart.com/image/612/612/kiow6fk0-0/book/h/f/x/test-driving-javascript-applications-original-imafyeyrctfm6gfh.jpeg?q=70,"₹3,713",,,https://www.flipkart.com/search?q=javascript+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=7,javascript
"Learning JavaScript, 3e","English, Paperback, Brown Ethan",https://rukminim1.flixcart.com/image/612/612/jbfe7ww0-1/book/9/1/5/learning-javascript-original-imafyda8khr4hyfx.jpeg?q=70,"₹3,164",,,https://www.flipkart.com/search?q=javascript+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=7,javascript
The Little Book of JavaScript,"English, Paperback, Agius Karl",https://rukminim1.flixcart.com/image/612/612/xif0q/book/2/b/u/the-little-book-of-javascript-original-imagk7dbyw2gx7ah.jpeg?q=70,"₹1,411",,,https://www.flipkart.com/search?q=javascript+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=7,javascript
Master in JavaScript,"English, Paperback, Chikani Nitin",https://rukminim1.flixcart.com/image/612/612/jobsbrk0/book/3/5/9/master-in-javascript-original-imafatzwdfghqty8.jpeg?q=70,"₹6,348",,,https://www.flipkart.com/search?q=javascript+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=7,javascript
Javascript and WebemScripting Async,"English, Paperback, Edwards Richard Thomas",https://rukminim1.flixcart.com/image/612/612/kp5sya80/book/h/9/i/javascript-and-webemscripting-async-original-imag3gpfpwy4uzef.jpeg?q=70,"₹1,434",,,https://www.flipkart.com/search?q=javascript+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=7,javascript
Learning the iOS SDK for JavaScript Programmers,"English, Paperback, Goodman Danny",https://rukminim1.flixcart.com/image/612/612/jz5vjbk0/book/4/5/4/learning-the-ios-4-sdk-for-javascript-programmers-original-imafj8dakqmfvnzq.jpeg?q=70,"₹3,407",,,https://www.flipkart.com/search?q=javascript+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=7,javascript
High Performance JavaScript,"English, Paperback, Zakas Nicholas C",https://rukminim1.flixcart.com/image/612/612/jpmxuvk0/book/7/9/0/high-performance-javascript-original-imafbu62dwfk8hqe.jpeg?q=70,"₹2,571",,,https://www.flipkart.com/search?q=javascript+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=7,javascript
