book_title,author,img,price,ratings,no_of_purchase,url,genre
TERI Energy and Environment Data Diary and Yearbook,"English, Hardcover, TERI",https://rukminim1.flixcart.com/image/612/612/kiqbma80-0/book/f/b/k/teri-energy-and-environment-data-diary-and-yearbook-original-imafygnjczsjfzvn.jpeg?q=70,"₹1,995",,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
TEXT BOOK ON BIG DATA AND HADOOP,"Paperback, DR.R.JAICHANDRAN MR.NALLAMEKALA GIRIDHAR MR.MANNAM AKHIL MR.JEEVAN REDDY THUMATI",https://rukminim1.flixcart.com/image/612/612/xif0q/book/d/b/6/text-book-on-big-data-and-hadoop-original-imagggcjjvzbuj42.jpeg?q=70,₹900,,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
Book Data for Discrete Mathematics,"Paperback, Mrs. Sonal Patil",https://rukminim1.flixcart.com/image/612/612/l0pm3680/book/2/r/d/book-data-for-discrete-mathematics-original-imagcfkgshgjj6gp.jpeg?q=70,₹449,,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
Scanner for Financial Management and Business Data Analytics (Paper 11 | CMA Inter Group 2) - Including questions and solutions of December 2022 | 2022 Syllabus | June 2023 Exam | Green Edition,"Shuchita Prakashan (P) Ltd., Prof. Arun Kumar, CA Mohit Bahal, CS (Dr.) Himanshu Srivastava",https://rukminim1.flixcart.com/image/612/612/xif0q/book/5/c/i/scanner-for-financial-management-and-business-data-analytics-original-imagzy8rhpyrdzbe.jpeg?q=70,₹185,,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
TERI Energy & Environment Data Diary and Yearbook (TEDDY) 2016/17,"English, Hardcover, The Energy, Resources Institute (TERI)",https://rukminim1.flixcart.com/image/612/612/jpu324w0/book/1/3/4/teri-energy-environment-data-diary-and-yearbook-teddy-2016-17-original-imafbyy3dafghyph.jpeg?q=70,"₹1,995",,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
Motor winding data collection book,"Takhshila Sahitya Publication, Mahesh Chandra Rahi",https://rukminim1.flixcart.com/image/612/612/xif0q/book/e/m/o/all-in-one-motor-winding-data-calculation-formula-book-data-original-imagj5u9be4hkshv.jpeg?q=70,₹149,,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
Incremental Learning of Electricity Smart Meter Data (Quick Reference Book),"Paperback, Dr. Archana Chaudhari, Dr. Preeti Mulay",https://rukminim1.flixcart.com/image/612/612/xif0q/book/w/o/h/incremental-learning-of-electricity-smart-meter-data-quick-original-imagmnfnjcy4hr8v.jpeg?q=70,₹765,,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
Scanner for Financial Management and Business Data Analytics (Paper 11 | CMA Inter Group 2) - Containing questions of last 10 Exams | June 2023 Exam | Fast Track Edition,"Shuchita Prakashan (P) Ltd., Prof. Arun Kumar, CA (Dr.) Mohit Bahal, CS (Dr.) Himanshu Srivastava",https://rukminim1.flixcart.com/image/612/612/xif0q/book/1/r/d/scanner-for-financial-management-and-business-data-analytics-original-imagzg6qamm5hr38.jpeg?q=70,₹425,,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
"SSC Combined Higher Secondary Level (10+2) Bharti Pariksha Practice Sets Book 2019 (Tier 1) Data Entry Operator, Lower Division Clerk, Postal Assistant","Paperback, Chakshu Panel Of Experts",https://rukminim1.flixcart.com/image/612/612/kekadu80/book/5/8/7/ssc-combined-higher-secondary-level-10-2-bharti-pariksha-original-imafv7zgrwuzgs8h.jpeg?q=70,₹109,,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
A Textbook of Data Communication and Networks,"English, Paperback, Dr. Sanjay Sharma",https://rukminim1.flixcart.com/image/612/612/book/1/2/5/a-textbook-of-data-communication-and-networks-original-imaeggz6xcpwkmqh.jpeg?q=70,₹565,,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
The metallurgists and chemists' handbook; a reference book of tables and data for the student and metallurgist 1918 [Hardcover],"English, Hardcover, Liddell, Donald M. (Donald Macy), b. , comp",https://rukminim1.flixcart.com/image/612/612/book/6/6/7/the-metallurgists-and-chemists-handbook-a-reference-book-of-original-imaedgfvmy5zbsz2.jpeg?q=70,"₹3,390",,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
A Complete Book on Data Interpretation and (Hindi) Analysis Printed Edition),"Hindi, Paperback, Adda247 Publications (Author), Anil (Contributor)",https://rukminim1.flixcart.com/image/612/612/keokpe80/book/2/9/6/a-complete-book-on-data-interpretation-and-hindi-analysis-original-imafvapbqeheg6zq.jpeg?q=70,₹375,4.3,(922),https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
"The mechanical engineers' pocket-book. A reference-book of rules, tables, data, and formulae 1916 [Hardcover]","English, Hardcover, Kent, William, ,Kent, Robert Thurston, b.",https://rukminim1.flixcart.com/image/612/612/book/1/4/1/the-mechanical-engineers-pocket-book-a-reference-book-of-rules-original-imaedgfwkyka5cgr.jpeg?q=70,"₹7,930",,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
"The mechanical engineer's pocket-book. a reference book of rules, tables, data, and formulae, for the use of engineers, mechanic","English, Hardcover, Kent, William,",https://rukminim1.flixcart.com/image/612/612/book/6/8/0/the-mechanical-engineer-s-pocket-book-a-reference-book-of-rules-original-imaedgfvpbzqswbm.jpeg?q=70,"₹5,960",,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
The Starrett Data Book for Machinists,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/jon7ukw0/book/7/9/8/the-starrett-data-book-for-machinists-original-imafb26ybrkqtxh8.jpeg?q=70,"₹1,869",,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
Cyber Crimes,"English, Paperback, Pitts Vannesa",https://rukminim1.flixcart.com/image/612/612/jobsbrk0/book/7/0/9/cyber-crimes-original-imafatzyayfhk5yz.jpeg?q=70,₹291,4.2,(14),https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
"Illustrated Souvenir Book, Showing a Few Pasadena Homes, Schools, Churches, Etc., with Short Descriptive Data","English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/k8ytaq80/book/7/8/6/illustrated-souvenir-book-showing-a-few-pasadena-homes-schools-original-imafqv89hysahzga.jpeg?q=70,"₹1,930",,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
"Notes on Hydraulics; A Pocket Book of Useful Data for Engineers, Architects, Factory Managers, Fire Insurance Inspectors and Students","English, Paperback, Owen Ira J",https://rukminim1.flixcart.com/image/612/612/book/3/9/2/notes-on-hydraulics-a-pocket-book-of-useful-data-for-engineers-original-imae85u2zzwz8van.jpeg?q=70,"₹2,817",,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
The little data book on financial inclusion 2015,"English, Paperback, World Bank",https://rukminim1.flixcart.com/image/612/612/kk2wl8w0/book/e/e/i/the-little-data-book-on-financial-inclusion-2015-original-imafzg6pgkce6ywc.jpeg?q=70,"₹2,222",,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
Data Science and Machine Learning using Python,"Paperback, Reema Thareja",https://rukminim1.flixcart.com/image/612/612/xif0q/book/d/y/g/data-science-and-machine-learning-using-python-original-imagghxer6zbb4jp.jpeg?q=70,₹599,4.5,(53),https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
The Data Model Resource Book,"English, Paperback, Silverston Len",https://rukminim1.flixcart.com/image/612/612/l59xq4w0/book/a/t/o/the-data-model-resource-book-original-imagfyvgemcg3vn7.jpeg?q=70,"₹7,016",,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
"Scottish Heinemann Maths 2, Shape, Measure and Data Handling Activity Book (single)","English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/krjjde80/book/g/e/c/scottish-heinemann-maths-2-shape-measure-and-data-handling-original-imag5awcf9yxtwjn.jpeg?q=70,₹428,,,https://www.flipkart.com/search?q=big+data+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=10,big data
