book_title,author,img,price,ratings,no_of_purchase,url,genre
Mastering Power BI,"English, Paperback, Sinha Chandraish",https://rukminim1.flixcart.com/image/612/612/ktvucnk0/book/1/v/x/mastering-power-bi-original-imag74hf9nqutpg7.jpeg?q=70,₹714,3.6,(5),https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Mastering Microsoft Power BI,"English, Electronic book text, Powell Brett",https://rukminim1.flixcart.com/image/612/612/xif0q/book/f/k/x/mastering-microsoft-power-bi-original-imagmfc9kjuqmhhq.jpeg?q=70,"₹2,471",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Analyzing Data with Microsoft Power BI and Power Pivot for Excel,"English, Paperback, Marco Russo, Alberto Ferrari",https://rukminim1.flixcart.com/image/612/612/k0e66q80/book/5/6/3/analyzing-data-with-microsoft-power-bi-and-power-pivot-for-excel-original-imafk6ydbkjbtavz.jpeg?q=70,₹372,4.1,(10),https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Supercharge Power BI,"English, Paperback, Allington Matt",https://rukminim1.flixcart.com/image/612/612/krp94sw0/book/x/l/f/supercharge-power-bi-original-imag5f3szf3jqyzc.jpeg?q=70,"₹2,681",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Microsoft Power BI Complete Reference,"English, Paperback, Knight Devin",https://rukminim1.flixcart.com/image/612/612/xif0q/book/7/j/r/microsoft-power-bi-complete-reference-original-imagmfd2vcwusyqw.jpeg?q=70,"₹2,471",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Power BI Data Modeling,"English, Paperback, Mihiranga Nisal",https://rukminim1.flixcart.com/image/612/612/l1dwknk0/book/p/g/e/power-bi-data-modeling-original-imagcyzfhqxvgfz2.jpeg?q=70,₹419,,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Mastering Microsoft Power BI,"English, Paperback, Deckler Greg",https://rukminim1.flixcart.com/image/612/612/xif0q/book/1/t/h/mastering-microsoft-power-bi-original-imagk2qfbff8dugr.jpeg?q=70,"₹2,344",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Microsoft Power BI Cookbook,"English, Paperback, Deckler Greg",https://rukminim1.flixcart.com/image/612/612/xif0q/book/6/0/t/microsoft-power-bi-cookbook-original-imagege4jjjb9smp.jpeg?q=70,"₹2,344",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Microsoft Power BI Quick Start Guide,"English, Paperback, Knight Devin",https://rukminim1.flixcart.com/image/612/612/xif0q/book/o/6/k/microsoft-power-bi-quick-start-guide-original-imagmfcuztctyhvs.jpeg?q=70,"₹1,338",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
"Interview Questions for Data Science, Tableau, SQL and Power BI","Paperback, Soham Kumar Ghosh",https://rukminim1.flixcart.com/image/612/612/ki0loy80-0/book/e/f/1/interview-questions-for-data-science-tableau-sql-and-power-bi-original-imafxwchgga6uqhw.jpeg?q=70,₹280,3.5,(11),https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Power BI 2021 - Volume 3,"English, Paperback, F Silva Roger",https://rukminim1.flixcart.com/image/612/612/kqttg280/book/t/b/b/power-bi-2021-volume-3-original-imag4qkvbanzjvbt.jpeg?q=70,"₹3,205",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Learning Microsoft Power BI: Transforming Data into Insights (Grayscale Indian Edition),"Paperback, Jeremey Arnold",https://rukminim1.flixcart.com/image/612/612/xif0q/book/i/o/x/learning-microsoft-power-bi-transforming-data-into-insights-original-imaggywzrhczxhqh.jpeg?q=70,"₹1,200",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Power BI for Jobseekers,"Paperback, Alan Murray",https://rukminim1.flixcart.com/image/612/612/xif0q/book/s/u/b/power-bi-for-jobseekers-original-imagpyynqrzpfd5p.jpeg?q=70,₹899,,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Expert Data Modeling with Power BI,"English, Paperback, Bakhshi Soheil",https://rukminim1.flixcart.com/image/612/612/kod858w0/book/b/o/y/expert-data-modeling-with-power-bi-original-imag2ueesgrnehmz.jpeg?q=70,"₹4,499",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Extending Power BI with Python and R,"English, Paperback, Zavarella Luca",https://rukminim1.flixcart.com/image/612/612/kvcpn680/book/h/t/n/extending-power-bi-with-python-and-r-original-imag895zaajgzyfg.jpeg?q=70,"₹2,471",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Microsoft Power BI Performance Best Practices,"English, Paperback, Merchant Bhavik",https://rukminim1.flixcart.com/image/612/612/l1dwknk0/book/y/6/f/microsoft-power-bi-performance-best-practices-original-imagcyqbppq8f8s9.jpeg?q=70,"₹2,217",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Exam Ref PL-300 Power BI Data Analyst,"English, Paperback, Maslyuk Daniil",https://rukminim1.flixcart.com/image/612/612/xif0q/book/d/s/w/exam-ref-pl-300-power-bi-data-analyst-original-imagk973yu7cn9fw.jpeg?q=70,"₹3,050",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Learn Power BI,"English, Paperback, Deckler Greg",https://rukminim1.flixcart.com/image/612/612/kvcpn680/book/k/r/3/learn-power-bi-original-imag895wve2krvaw.jpeg?q=70,"₹2,217",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Learn Power BI,"English, Paperback, Deckler Greg",https://rukminim1.flixcart.com/image/612/612/xif0q/book/4/n/q/learn-power-bi-original-imagmfefgynytmwh.jpeg?q=70,"₹1,848",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
"Collect, Combine, and Transform Data Using Power Query in Excel and Power BI","English, Paperback, Raviv Gil",https://rukminim1.flixcart.com/image/612/612/xif0q/book/p/n/f/collect-combine-and-transform-data-using-power-query-in-excel-original-imag9xrethkzchzy.jpeg?q=70,"₹3,100",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Microsoft Power BI Quick Start Guide,"English, Paperback, Knight Devin",https://rukminim1.flixcart.com/image/612/612/xif0q/book/s/m/h/microsoft-power-bi-quick-start-guide-third-edition-original-imagkchuf8yfezfk.jpeg?q=70,"₹3,169",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Power Query for Power BI and Excel,"English, Paperback, Webb Christopher",https://rukminim1.flixcart.com/image/612/612/kt1u3rk0/book/7/v/l/power-query-for-power-bi-and-excel-original-imag6gwhy58m9h2x.jpeg?q=70,"₹3,894",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
CMOS / BiCMOS ULSi Low Voltage Low Power,"English, Paperback, Yeo Kiat-Seng",https://rukminim1.flixcart.com/image/612/612/kjkbv680-0/book/p/z/n/cmos-bicmos-ulsi-low-voltage-low-power-original-imafz3gvf2hrq74r.jpeg?q=70,₹464,4.8,(4),https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Microsoft Power BI For Dummies,"English, Paperback, Hyman Jack A.",https://rukminim1.flixcart.com/image/612/612/kxhvf680/book/1/t/1/microsoft-power-bi-for-dummies-original-imag9xhwknhghzhj.jpeg?q=70,"₹2,567",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Bi-Directional Power Management Over DG Battery-Less Hybrid MicroGrids,"English, Paperback, Nassef M I",https://rukminim1.flixcart.com/image/612/612/ko382a80/book/u/s/u/bi-directional-power-management-over-dg-battery-less-hybrid-original-imag2mz5snxrgprc.jpeg?q=70,"₹6,466",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Power BI Academy - HR Recruitment,"English, Paperback, F Silva Roger",https://rukminim1.flixcart.com/image/612/612/kqttg280/book/b/z/m/power-bi-academy-hr-recruitment-original-imag4qszagktfyya.jpeg?q=70,"₹1,707",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Microsoft Power BI Data Analyst Certification Guide,"English, Paperback, Edenfield Orrin",https://rukminim1.flixcart.com/image/612/612/l2tcfbk0/book/p/v/f/microsoft-power-bi-data-analyst-certification-guide-original-image2ahabzfb3ge.jpeg?q=70,"₹2,154",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Microsoft Power BI Cookbook,"English, Paperback, Powell Brett",https://rukminim1.flixcart.com/image/612/612/jokcyvk0/book/1/4/2/microsoft-power-bi-cookbook-original-imafazzxzvuzgtys.jpeg?q=70,"₹4,899",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Advanced Analytics in Power BI with R and Python,"English, Paperback, Wade Ryan",https://rukminim1.flixcart.com/image/612/612/kex5ci80/book/2/8/6/advanced-analytics-in-power-bi-with-r-and-python-original-imafvhzfywmsyzcp.jpeg?q=70,"₹3,028",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Beginning Microsoft Power BI,"English, Paperback, Clark Dan",https://rukminim1.flixcart.com/image/612/612/k6fd47k0/book/1/9/0/beginning-microsoft-power-bi-original-imafzvuhz4pef8zm.jpeg?q=70,"₹3,288",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Pro Power BI Theme Creation,"English, Paperback, Aspin Adam",https://rukminim1.flixcart.com/image/612/612/ksru0sw0/book/v/o/2/pro-power-bi-theme-creation-original-imag695gt4yghmuj.jpeg?q=70,"₹4,327",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Pro Microsoft Power BI Administration,"English, Paperback, Gunnarsson Asgeir",https://rukminim1.flixcart.com/image/612/612/kpedle80/book/a/c/2/pro-microsoft-power-bi-administration-original-imag3n5cwbpn4h58.jpeg?q=70,"₹3,288",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
"High Impact Data Visualization in Excel with Power View, 3D Maps, Get & Transform and Power BI","English, Paperback, Aspin Adam",https://rukminim1.flixcart.com/image/612/612/jokcyvk0/book/9/9/4/high-impact-data-visualization-in-excel-with-power-view-3d-maps-original-imafazvxhkzkfkp9.jpeg?q=70,"₹4,327",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Pro DAX with Power BI,"English, Paperback, Seamark Philip",https://rukminim1.flixcart.com/image/612/612/k1mgu4w0/book/9/6/6/pro-dax-with-power-bi-original-imafh4xzhu7rbhgf.jpeg?q=70,"₹3,288",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Self-Service AI with Power BI Desktop,"English, Paperback, Ehrenmueller-Jensen Markus",https://rukminim1.flixcart.com/image/612/612/kf75fgw0/book/3/0/6/self-service-ai-with-power-bi-desktop-original-imafvphdcz6mkfu5.jpeg?q=70,"₹4,327",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
Power BI Academy - Healthcare,"English, Paperback, F Silva Roger",https://rukminim1.flixcart.com/image/612/612/l0jwbrk0/book/e/i/b/power-bi-academy-healthcare-original-imagcbzehvt88fzs.jpeg?q=70,"₹1,702",,,https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
"Definitive Guide to DAX, The: Business intelligence for Microsoft Power BI, SQL Server Analysis Services, and Excel, 2/e","Paperback, Marco Russo , Alberto Ferrari",https://rukminim1.flixcart.com/image/612/612/khtghow0/book/4/8/0/definitive-guide-to-dax-the-business-intelligence-for-microsoft-original-imafxr4fsn63jh8y.jpeg?q=70,"₹1,324",4.5,(6),https://www.flipkart.com/search?q=power+bi+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,power bi
