book_title,author,img,price,ratings,no_of_purchase,url,genre
Data Analysis Using SQL and Excel,"English, Paperback, Linoff Gordon S.",https://rukminim1.flixcart.com/image/612/612/jyq5oy80/book/4/5/2/data-analysis-using-sql-and-excel-original-imafgb4swjvtw3fh.jpeg?q=70,"₹4,250",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
"Collect, Combine, and Transform Data Using Power Query in Excel and Power BI","English, Paperback, Raviv Gil",https://rukminim1.flixcart.com/image/612/612/xif0q/book/p/n/f/collect-combine-and-transform-data-using-power-query-in-excel-original-imag9xrethkzchzy.jpeg?q=70,"₹3,100",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
Exploring Microsoft Excel's Hidden Treasures,"English, Paperback, Ringstrom David",https://rukminim1.flixcart.com/image/612/612/l59xq4w0/book/4/p/1/exploring-microsoft-excel-s-hidden-treasures-original-imagfzgcjjy9hgwt.jpeg?q=70,"₹1,424",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
Marketing Analytics,"English, Paperback, Winston Wayne L.",https://rukminim1.flixcart.com/image/612/612/kjx6tu80/book/t/3/a/marketing-analytics-original-imafze24jra6a2rd.jpeg?q=70,"₹2,998",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
Intermediate Microeconomics with Microsoft Excel,"English, Hardcover, Barreto Humberto",https://rukminim1.flixcart.com/image/612/612/kj1r53k0-0/book/a/t/j/intermediate-microeconomics-with-microsoft-excel-original-imafyztz9ejd4wgd.jpeg?q=70,"₹6,033",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
An Introduction to Excel VBA Programming,"English, Paperback, Gan Guojun",https://rukminim1.flixcart.com/image/612/612/xif0q/book/1/8/z/an-introduction-to-excel-vba-programming-original-imagjzd4peqxgrke.jpeg?q=70,"₹2,698",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
Building Dashboards with Microsoft Dynamics GP 2013 and Excel 2013,"English, Electronic book text, Polino Mark",https://rukminim1.flixcart.com/image/612/612/k0e66q80/book/0/6/9/building-dashboards-with-microsoft-dynamics-gp-2013-and-excel-original-imafk6ke7twqzehy.jpeg?q=70,"₹4,099",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
Excel Create and Learn - Dashboard,"English, Paperback, F Silva Roger",https://rukminim1.flixcart.com/image/612/612/krntoy80/book/l/l/q/excel-create-and-learn-dashboard-original-imag5ehygsgzteza.jpeg?q=70,"₹1,234",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
"The Bill of Materials in Excel, Erp, Planning and Plm/Bmms Software","English, Paperback, Snapp Shaun",https://rukminim1.flixcart.com/image/612/612/book/5/3/5/the-bill-of-materials-in-excel-erp-planning-and-plm-bmms-original-imaearttpeg8ryz7.jpeg?q=70,"₹4,144",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
Marketing Mit Excel,"German, Hardcover, Haas Peter",https://rukminim1.flixcart.com/image/612/612/book/8/8/3/marketing-mit-excel-original-imaeajsarhehfqxw.jpeg?q=70,"₹10,695",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
Excel 2010,"English, Paperback, Maddy III Luther M",https://rukminim1.flixcart.com/image/612/612/jpr86fk0/book/1/8/7/excel-2010-original-imafbwseynzfmqgs.jpeg?q=70,"₹1,058",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
Statistik Verstehen Mit Excel,"German, Paperback, Zwerenz Karlheinz",https://rukminim1.flixcart.com/image/612/612/k0mqtu80/book/9/1/9/statistik-verstehen-mit-excel-original-imafkdsg76pan9uw.jpeg?q=70,"₹4,337",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
REVISED EXCEL IN INFORMATION TECHNOLOGY CLASS-IX,"Paperback, CORDOVA",https://rukminim1.flixcart.com/image/612/612/xif0q/book/u/v/l/revised-excel-in-information-technology-class-ix-original-imagz6hhpfcjvnta.jpeg?q=70,₹620,,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
Power Query for Power BI and Excel,"English, Paperback, Webb Christopher",https://rukminim1.flixcart.com/image/612/612/kt1u3rk0/book/7/v/l/power-query-for-power-bi-and-excel-original-imag6gwhy58m9h2x.jpeg?q=70,"₹3,894",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
Excel-Grundlagen der Makroprogrammierung,"German, Paperback, Ursula Schindler",https://rukminim1.flixcart.com/image/612/612/jox7xjk0-1/book/5/1/4/excel-grundlagen-der-makroprogrammierung-original-imafbabjpmgufk6g.jpeg?q=70,"₹4,448",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
Hands-On Financial Modeling with Excel for Microsoft 365,"English, Paperback, Oluwa Shmuel",https://rukminim1.flixcart.com/image/612/612/l33cia80/book/e/g/3/hands-on-financial-modeling-with-microsoft-excel-365-original-image9rbpsfpzeua.jpeg?q=70,"₹2,154",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
Exam Ref 70-779 Analyzing and Visualizing Data with Microsoft Excel,"English, Paperback, Sorensen Chris",https://rukminim1.flixcart.com/image/612/612/kiew3gw0-0/book/x/v/b/exam-ref-70-779-analyzing-and-visualizing-data-with-microsoft-original-imafy7z5neunnjnn.jpeg?q=70,"₹2,752",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
What Every Engineer Should Know About Excel,"English, Hardcover, Holman J. P.",https://rukminim1.flixcart.com/image/612/612/xif0q/book/i/1/n/what-every-engineer-should-know-about-excel-original-imagk27qcgquafjm.jpeg?q=70,"₹14,609",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
An Introduction to Excel VBA Programming,"English, Hardcover, Gan Guojun",https://rukminim1.flixcart.com/image/612/612/xif0q/book/s/9/a/an-introduction-to-excel-vba-programming-original-imagkyg27xqtdfag.jpeg?q=70,"₹5,021",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
VBA Automation for Excel 2019 Cookbook,"English, Paperback, Niekerk Mike Van",https://rukminim1.flixcart.com/image/612/612/xif0q/book/x/y/x/vba-automation-for-excel-2019-cookbook-original-imaghhgwukn4gza2.jpeg?q=70,"₹3,499",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
Metody Biometricheskoy Obrabotki Dannykh V Microsoft Excel,"Russian, Paperback, Yakovlev Vladimir",https://rukminim1.flixcart.com/image/612/612/kjbr8280-0/book/y/a/v/metody-biometricheskoy-obrabotki-dannykh-v-microsoft-excel-original-imafywp9vphctaab.jpeg?q=70,"₹9,097",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
How to Solve Time Value of Money Problems with MS Excel,"English, Paperback, Rentz William F",https://rukminim1.flixcart.com/image/612/612/k0r15e80/book/2/6/4/how-to-solve-time-value-of-money-problems-with-ms-excel-original-imafkhgvzjzu8zaq.jpeg?q=70,₹816,,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
Marketing-Management mit EXCEL,"German, Hardcover, Reiter Gerhard",https://rukminim1.flixcart.com/image/612/612/kjx6tu80/book/v/c/y/marketing-management-mit-excel-original-imafzdzyzymyzua3.jpeg?q=70,"₹10,649",,,https://www.flipkart.com/search?q=excel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2,excel
