book_title,author,img,price,ratings,no_of_purchase,url,genre
CBSE Board Exam 2023 I Succeed 15 Sample Question Papers Mathematics Class 10 ( As per Latest CBSE Sample paper issued on 16 sep 2023 ),"English, Paperback, Mehta Vishal",https://rukminim1.flixcart.com/image/612/612/xif0q/book/s/c/a/-original-imagjxyghgvcq7fk.jpeg?q=70,₹155,4.4,(512),https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
All In One Class 9th Mathematics for CBSE Exam�2024,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/l3bx5e80/book/b/v/g/cbse-all-in-one-mathematics-class-9-2022-23-edition-as-per-original-imagegyz8vghmbj2.jpeg?q=70,₹232,4.4,(137),https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
Olympiad Books Practice Sets - Mathematics Class 10th,"English, Paperback, Arihant Experts",https://rukminim1.flixcart.com/image/612/612/l59xq4w0/book/i/a/k/olympiad-books-practice-sets-mathematics-class-10th-original-imagfzmjwuf8wsnd.jpeg?q=70,₹125,4.4,(235),https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
Scanner for Fundamentals of Business Mathematics and Statistics (Paper 3 | CMA Foundation) - Including questions and solutions of December 2022 | 2022 Syllabus | June 2023 Exam | Green Edition,"Paperback, Prof. Arun Kumar, CA (Dr.) Mohit Bahal, CS (Dr.) Himanshu Srivastava",https://rukminim1.flixcart.com/image/612/612/xif0q/book/n/f/d/scanner-for-fundamentals-of-business-mathematics-and-statistics-original-imagzhqzup263efq.jpeg?q=70,₹240,,,https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
"Oswal - Gurukul All in 1 Guide Book for CBSE Class 10 Exam 2023 - NCERT, Past Years Board Questions, Toppers Answers, Latest Syllabus (English, Hindi A & B, Science, Social Science, Maths)","Paperback, Oswal - Gurukul",https://rukminim1.flixcart.com/image/612/612/l572ufk0/book/v/d/2/oswal-gurukul-all-in-1-guide-book-for-cbse-class-10-exam-2023-original-imagfxdweqazznnn.jpeg?q=70,₹899,4.2,(323),https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
Objective Physics Vol 2 For Engineering Entrances Eight Edition,"English, Paperback, Pandey D C",https://rukminim1.flixcart.com/image/612/612/l26hdow0/book/c/r/n/objective-physics-vol-2-for-engineering-entrances-original-imagdh39kyehymjs.jpeg?q=70,₹470,4.4,(7),https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
71 Jee Main Physics Online (2020 - 2012) & Offline (2018 - 2002) Chapterwise + Topicwise Solved Papers,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kevpwnk0/book/6/1/7/71-jee-main-physics-online-2020-2012-offline-2018-2002-original-imafvgz7fzz8zsjb.jpeg?q=70,₹295,4.4,(450),https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
Objective Ncert at Your Fingertips for Neet-Aiims-Chemistry,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kw104nk0/book/2/6/l/mtg-objective-ncert-at-your-fingertips-for-neet-aiims-chemistry-original-imag8snejsvfuzs7.jpeg?q=70,₹540,4.5,"(5,261)",https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
Lucents Vayusena Bharti Parikisha Physics,"Hindi, Paperback, Singh Sunil Kumar",https://rukminim1.flixcart.com/image/612/612/j6pctjk0/book/1/2/7/vayusena-bharti-pariksha-physics-original-imaex3a9ez659s3p.jpeg?q=70,₹118,4.4,"(1,346)",https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
Assertion-Reason Question Bank in Biology for Aiims,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/l3vxbbk0/book/6/y/6/assertion-reason-question-bank-in-biology-for-aiims-original-imagewf4wnvbdsye.jpeg?q=70,₹141,4.1,(192),https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
Chemistry: The Molecular Nature of Matter and Change,"Paperback, Patricia G. Amateis, Martin S. Silberberg",https://rukminim1.flixcart.com/image/612/612/kb2jmvk0/book/8/3/4/chemistry-the-molecular-nature-of-matter-and-change-original-imafshzjzvmw8yvp.jpeg?q=70,₹912,5,(3),https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
Objective Ncert at Your Fingertips for Neet-Aiims-Biology,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kw104nk0/book/j/o/h/mtg-objective-ncert-at-your-fingertips-for-neet-aiims-biology-original-imag8snehh9ebzz3.jpeg?q=70,₹675,4.5,"(9,376)",https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
How to Crack - Test of Arithmetic,"English, Paperback, Agarwal Richa",https://rukminim1.flixcart.com/image/612/612/k4hcjgw0/book/1/8/6/how-to-crack-test-of-arithmetic-original-imafnddhxeqpft7g.jpeg?q=70,₹209,4.3,(815),https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
500 Blockbuster Problems in Chemistry for Jee Advanced,"English, Paperback, Trivedi Vaibhav",https://rukminim1.flixcart.com/image/612/612/xif0q/book/p/y/g/500-blockbuster-problems-in-chemistry-for-jee-advanced-original-imagkz86vbdpmze2.jpeg?q=70,₹120,4.4,(159),https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
Problems in Analytic Geometry,"English, Paperback, Kletenik D.",https://rukminim1.flixcart.com/image/612/612/ksm49e80/book/i/6/f/problems-in-analytic-geometry-original-imag64rujhqfagvb.jpeg?q=70,₹72,4.4,(43),https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
"ALLEN SCORE 10 Test Papers with Solutions (Paper 1 & 2) for JEE Advanced 2023 in English | Physics, Chemistry & Mathematics","Paperback, ALLEN Expert faculties, ALLEN Career Institute Kota",https://rukminim1.flixcart.com/image/612/612/xif0q/book/z/h/m/allen-score-10-test-papers-with-solutions-paper-1-2-for-jee-original-imagzyhzdhkcvggc.jpeg?q=70,₹299,5,(4),https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
Pearson Foundation Physics Class 7,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kz5vwy80/book/u/k/e/pearson-iit-foundation-physics-class-7-original-imagb8c8hzu8mzhp.jpeg?q=70,₹250,4.4,(108),https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
Ncert Exemplar Problems Solutions Mathematics Class 6th,"English, Paperback, Chauhan Jai Prakash",https://rukminim1.flixcart.com/image/612/612/xif0q/book/t/q/n/ncert-exemplar-problem-solution-mathematics-class-6-2023-original-imagmqp2sjthnabr.jpeg?q=70,₹113,,,https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
Ncert Solutions Chemistry Class 11th,"English, Paperback, Sharma Purnima M.A., B.Ed.",https://rukminim1.flixcart.com/image/612/612/xif0q/book/z/o/3/ncert-solution-chiemistry-class-11-2023-original-imagmzgwgjzgutys.jpeg?q=70,₹129,,,https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
SURA`S CTET Mathematics and Science Exam Book | Central Teacher Eligibility Test Study Material Book - LATEST EDITION 2022,"Paperback, Anita Srivastava, Babita Kumari",https://rukminim1.flixcart.com/image/612/612/ku2zjww0/book/o/w/g/sura-s-ctet-mathematics-and-science-exam-book-central-teacher-original-imag7acgrt6xg6ph.jpeg?q=70,₹540,3.9,(15),https://www.flipkart.com/search?q=mathematics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,mathematics
