book_title,author,img,price,ratings,no_of_purchase,url,genre
The Second Dalai Lama,"English, Paperback, Mullin Glenn H.",https://rukminim1.flixcart.com/image/612/612/l5jxt3k0/book/m/q/f/the-second-dalai-lama-original-imagg7mqyr86zxn3.jpeg?q=70,₹496,,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Bhartiya Vigyan ka Itihas,"Hindi, Paperback, Lal Mani Ojha",https://rukminim1.flixcart.com/image/612/612/ksru0sw0/book/c/1/f/bhartiya-vigyan-ka-itihas-original-imag69c3fmg2yybv.jpeg?q=70,₹213,4.5,(2),https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Ancient Jewish Proverbs,"English, Paperback, Cohen A",https://rukminim1.flixcart.com/image/612/612/xif0q/book/x/7/x/ancient-jewish-proverbs-original-imagjz8qggvzng5w.jpeg?q=70,"₹1,104",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Mujhe Bananaa Hai Upsc Topper,"Hindi, Paperback, Jain Nishant",https://rukminim1.flixcart.com/image/612/612/krxtrww0/book/8/t/n/mujhe-bananaa-hai-upsc-topper-original-imag5m7qqvhysegn.jpeg?q=70,₹226,4.5,"(8,373)",https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
The Comanches,"English, Paperback, Wallace Ernest",https://rukminim1.flixcart.com/image/612/612/kt1u3rk0/book/3/f/p/the-comanches-original-imag6gzwkxfgjj3m.jpeg?q=70,"₹1,922",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
George Washington's Rules of Civility & Decent Behavior in Company and Conversation (Chump Change Edition),"English, Paperback, Washington George",https://rukminim1.flixcart.com/image/612/612/kingqkw0-0/book/b/r/u/george-washington-s-rules-of-civility-decent-behavior-in-company-original-imafyejufg65bbyp.jpeg?q=70,₹657,,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
A Short History of Scotland,"English, Paperback, Lang Andrew",https://rukminim1.flixcart.com/image/612/612/book/7/3/7/a-short-history-of-scotland-original-imae8af2hwtnyp5z.jpeg?q=70,"₹1,957",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Cyber Crimes,"English, Paperback, Pitts Vannesa",https://rukminim1.flixcart.com/image/612/612/jobsbrk0/book/7/0/9/cyber-crimes-original-imafatzyayfhk5yz.jpeg?q=70,₹291,4.2,(14),https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
3rd Grade History,"English, Paperback, Baby Professor",https://rukminim1.flixcart.com/image/612/612/ju79hu80/book/5/4/9/3rd-grade-history-the-egyptian-civilization-original-imaffe57zvnuzhfz.jpeg?q=70,"₹1,035",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
"A Brief History Of India (The Gist Of NCERT) Edition - 2022 (Paperback, Mahesh Kumar Barnwal)","Paperback, MAHESH KUMAR BARNAWAL",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/m/9/o/a-brief-history-of-india-the-gist-of-ncert-edition-2022-original-imagh7cw2s8npczc.jpeg?q=70,₹370,,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Complete History Printed Notes In Spiral Format By Hemant Jha Plus CCRT In English IAS PCS Mains,"Paperback, Hemant Jha",https://rukminim1.flixcart.com/image/612/612/ktyp8cw0/regionalbooks/5/n/x/complete-history-printed-notes-by-hemant-jha-plus-ccrt-in-original-imag76zbhptypgma.jpeg?q=70,"₹3,022",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Journey of life,"Hindi, Paperback, Bhinesh padoti",https://rukminim1.flixcart.com/image/612/612/k1fbmvk0/book/7/7/6/journey-of-life-original-imafkzg8fxrpgghg.jpeg?q=70,₹152,4,(4),https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Pawan Kumar IAS Public Administration Printed Notes With 15 Previous Year's IAS Mians Q & A,"Paperback, Pawan Kumar",https://rukminim1.flixcart.com/image/612/612/kv6zvrk0/regionalbooks/5/s/n/pawan-kumar-ias-public-administration-printed-notes-with-15-original-imag85gmqtqwrpyr.jpeg?q=70,"₹1,976",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Itihas -History Class-11 Based On NCERT Guidelines,"Paperback, Hindi, Dr. Brajesh Kumar Srivastava",https://rukminim1.flixcart.com/image/612/612/xif0q/book/b/o/y/history-tihaas-class-11-based-on-ncert-guidelines-original-imagzyhhbbpzqdv2.jpeg?q=70,₹369,,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Modern And World History GS Paper 1 Notes By Vision IAS For Mains,"Spiral Bound, Hindi, Vision IAS",https://rukminim1.flixcart.com/image/612/612/kzd147k0/regionalbooks/l/l/p/modern-and-world-history-gs-paper-1-notes-by-vision-ias-for-original-imagbdzugyh2ms2w.jpeg?q=70,₹832,,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
The Routledge History of Literature in English: Britain and Ireland  - The Routledge History of Literature in English: Britain and Ireland,"English, Paperback, Malcolm Bradbury, Ronald Carter",https://rukminim1.flixcart.com/image/612/612/kjiwfbk0-0/book/w/c/l/the-routledge-history-of-literature-in-english-britain-and-original-imafz2rgp5npfmxc.jpeg?q=70,₹703,4.5,(393),https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Decimus Laberius,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/ktbu6q80/book/0/4/a/decimus-laberius-original-imag6zm82mcuswq9.jpeg?q=70,"₹4,021",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
A History of Assam,"English, Paperback, Edward Albert Gait",https://rukminim1.flixcart.com/image/612/612/jtaed8w0/book/8/2/8/a-history-of-assam-original-imafezeh5kftdsfk.jpeg?q=70,₹738,4.4,(80),https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
A History of Assam,"English, Hardcover, Edward Albert Gait",https://rukminim1.flixcart.com/image/612/612/jtaed8w0/book/8/2/8/a-history-of-assam-original-imafezeh5kftdsfk.jpeg?q=70,"₹1,107",4.4,(80),https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Trueman's NTA UGC NET History | Covers 6000+ MCQ's with Answers & Important Solutions | For Examination June 2023 2023 Edition,"English, Paperback, Singh Pramod",https://rukminim1.flixcart.com/image/612/612/xif0q/book/5/b/o/-original-imagmzh8hcjt7wvp.jpeg?q=70,₹412,4.3,(306),https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
"The Holy Kojiki -- Including, the Yengishiki","English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/xif0q/book/x/5/w/the-holy-kojiki-including-the-yengishiki-original-imagjxvv7tavzwax.jpeg?q=70,"₹1,646",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
A Library of the World's Best Literature - Ancient and Modern - Vol. VII (Forty-Five Volumes); Bunner - Calverley,"English, Paperback, Warner Charles Dudley",https://rukminim1.flixcart.com/image/612/612/book/9/8/6/a-library-of-the-world-s-best-literature-ancient-and-modern-vol-original-imaeajsz4uzvacea.jpeg?q=70,"₹2,919",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Nationalizing Iran,"English, Paperback, Marashi Afshin",https://rukminim1.flixcart.com/image/612/612/xif0q/book/f/w/u/nationalizing-iran-original-imagk4hxhgyfhqvd.jpeg?q=70,"₹3,880",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
"Uttar Pradesh Madhyamik Shiksha Seva Chayan Board Pravakta (Pgt) Chayan Pareeksha, Hindi 12 Practice Sets (Upsessb Pgt Hindi)  - Revised and Updated Syllabus 2022-2023 | Recommended Book for Best Performance in Competitive Exam","Hindi, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/l4rd0280/book/j/x/0/uttar-pradesh-madhyamik-shiksha-seva-chayan-board-pravakta-pgt-original-imagfkygm6gx3tkd.jpeg?q=70,₹155,4.7,(10),https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
The Catholic Church in New York,"English, Paperback, Smith John Talbot",https://rukminim1.flixcart.com/image/612/612/jokcyvk0/book/7/8/5/the-catholic-church-in-new-york-original-imafby27tttvcyqn.jpeg?q=70,"₹2,888",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Peter Stuyvesant,"English, Paperback, Abbott John S C",https://rukminim1.flixcart.com/image/612/612/ktyp8cw0/book/g/m/f/peter-stuyvesant-original-imag774nq8fvzxru.jpeg?q=70,"₹2,202",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Indian History Books Kit (Satyagraha In Champaran+colonialism In Indiathe Story Of Taj Mahal),"Hardcover, Multiple Authors",https://rukminim1.flixcart.com/image/612/612/l3rmzrk0/regionalbooks/h/u/r/indian-history-books-kit-satyagraha-in-champaran-colonialism-in-original-imagetd9cyxsbag4.jpeg?q=70,"₹1,012",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Indian Economy (English | 1st Edition) For UPSC CSE Prelims & Mains By Study IQ,"Paperback, StudyIQ Publications",https://rukminim1.flixcart.com/image/612/612/l4ssfww0/regionalbooks/b/6/x/indian-economy-english-1st-edition-for-upsc-cse-prelims-mains-by-original-imagfm5peczatstg.jpeg?q=70,₹349,4.5,"(1,501)",https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
History - Ithiaas For B.A,"Paperback, Hindi, Dr. A. K. Chaturvedi",https://rukminim1.flixcart.com/image/612/612/l0sgyvk0/regionalbooks/9/d/r/history-for-b-a-1603-1939-e-original-imaf4ybgacvgphpw.jpeg?q=70,₹469,,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Complete Set Of History Optional Notes With Map Marking In English By Rau's IAS For Mains Exam,"Hardcover, Rau IAS Faculty",https://rukminim1.flixcart.com/image/612/612/ksdjma80/regionalbooks/m/q/a/complete-set-of-history-optional-notes-with-map-marking-in-original-imag5ymeftz86hz6.jpeg?q=70,"₹1,757",5,(1),https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
NCERT MODERN INDIA - A History Textbook For Class 12 For Upsc,"Paperback, BIPAN CHANDRA",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/i/g/z/ncert-modern-india-a-history-textbook-for-class-12-for-upsc-original-imaggupxfnfngwgt.jpeg?q=70,₹217,5,(3),https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Modern Indian History & Fundamentals Of Geography For UPSC CSE 2023 Prelims & Mains By Study IQ (Set Of 2),"Paperback, StudyIQ Publications",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/z/e/t/modern-indian-history-fundamentals-of-geography-for-upsc-cse-original-imagkxch9f9gdmxx.jpeg?q=70,₹688,,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Ghatna Chakra General Studies Indian History Preview Chapterwise Solved Papers,"Paperback, Hindi, NA",https://rukminim1.flixcart.com/image/612/612/kn0n6a80/regionalbooks/a/7/a/ghatna-chakra-general-studies-indian-history-preview-chapterwise-original-imagfs8zunqzv4wn.jpeg?q=70,₹485,4.4,"(1,208)",https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Inconsistency in Roman Epic,"English, Paperback, O'Hara James J.",https://rukminim1.flixcart.com/image/612/612/kt0enww0/book/t/6/p/inconsistency-in-roman-epic-original-imag6ghnsyfzzubx.jpeg?q=70,"₹2,312",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Autobiography of Hector Berlioz,"English, Paperback, Berlioz Hector",https://rukminim1.flixcart.com/image/612/612/kjuby4w0/book/o/n/4/autobiography-of-hector-berlioz-original-imafzawacuaecvzh.jpeg?q=70,"₹2,815",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Relativity,"English, Paperback, Einstein Albert",https://rukminim1.flixcart.com/image/612/612/k6jnfrk0/book/2/5/3/relativity-original-imafzyngwfq5cjyb.jpeg?q=70,₹150,4.5,"(7,982)",https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
The Life of Nelson,"English, Paperback, Mahan Alfred Thayer",https://rukminim1.flixcart.com/image/612/612/ki96c280-0/book/6/b/5/the-life-of-nelson-original-imafy2ttme5zxg9r.jpeg?q=70,"₹3,317",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
A Library of the World's Best Literature - Ancient and Modern - Vol.XLIV (Forty-Five Volumes); Synopses of Famous Books,"English, Hardcover, Warner Charles Dudley",https://rukminim1.flixcart.com/image/612/612/kjkbv680-0/book/d/e/e/a-library-of-the-world-s-best-literature-ancient-and-modern-vol-original-imafz3m8f3afzrma.jpeg?q=70,"₹4,790",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
Words to Outlive Us,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kjiwfbk0-0/book/b/o/j/words-to-outlive-us-original-imafz2gkfbnujy4j.jpeg?q=70,"₹2,119",,,https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
"Atulneeya Samanya Hindi For SSC GD, IBPS RRB, CTET, DSSSB, UPSSSC, State Police & Teaching Exams(Hindi Printed Edition) By Adda247","Paperback, Hindi, Adda247 Publications",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/g/r/n/atulneeya-samanya-hindi-for-ssc-gd-ibps-rrb-ctet-dsssb-upsssc-original-imagg5h7rxnaykxz.jpeg?q=70,₹290,4.2,(204),https://www.flipkart.com/search?q=history+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=25,history
