book_title,author,img,price,ratings,no_of_purchase,url,genre
Business Statistics: Communicating with Numbers,"Paperback, Sanjiv Jaggia, Alison Kelly",https://rukminim1.flixcart.com/image/612/612/kb2jmvk0/book/7/9/7/business-statistics-communicating-with-numbers-original-imafshzjbg2grjxn.jpeg?q=70,₹610,4.7,(3),https://www.flipkart.com/search?q=economics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,economics
Pierre Musso and the Network Society,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/k0plpjk0/book/3/6/5/pierre-musso-and-the-network-society-original-imafkgfk7uhxsvnm.jpeg?q=70,"₹8,259",,,https://www.flipkart.com/search?q=economics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,economics
Financial Institutions and Markets,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/kigbjbk0-0/book/z/v/b/financial-institutions-and-markets-original-imafy8uepdygm2fd.jpeg?q=70,"₹10,385",4.5,(215),https://www.flipkart.com/search?q=economics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,economics
"The Indian Economy | Civil Services, UPSC , PSC, IAS, IFS, IPS, IRS |","Paperback, Sanjiv Verma",https://rukminim1.flixcart.com/image/612/612/xif0q/book/v/w/t/the-indian-economy-civil-services-upsc-psc-ias-ifs-ips-irs-original-imaghmvyvwybcx6k.jpeg?q=70,₹270,4.5,"(1,254)",https://www.flipkart.com/search?q=economics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,economics
Pearson Baccalaureate: Economics new bundle (not pack),"English, Mixed media product, Maley Sean",https://rukminim1.flixcart.com/image/612/612/kwxv98w0/book/m/q/t/pearson-baccalaureate-economics-new-bundle-not-pack-original-imag9hr8ksvpyc8m.jpeg?q=70,"₹4,760",,,https://www.flipkart.com/search?q=economics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,economics
Mansfield Park,"English, Paperback, Austen Jane",https://rukminim1.flixcart.com/image/612/612/xif0q/book/u/d/p/mansfield-park-original-imagguh2zv9pr3nm.jpeg?q=70,₹293,4.5,(501),https://www.flipkart.com/search?q=economics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,economics
Price of the Modi Years,"English, Hardcover, Patel Aakar",https://rukminim1.flixcart.com/image/612/612/l3hmwsw0/book/q/n/m/price-of-the-modi-years-original-imagehgpuukvtmz3.jpeg?q=70,₹498,4.5,(51),https://www.flipkart.com/search?q=economics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,economics
"Hitbullseye CUET (UG) Entrance Exam Books 2023 Economics Book, 6 Actual Papers, 10 Mocks for Practice, Complimentary Access to Digital Content","Paperback, By Expert Team of Hitbullseye",https://rukminim1.flixcart.com/image/612/612/xif0q/book/r/a/m/hitbullseye-cuet-ug-entrance-exam-books-2023-economics-book-6-original-imagntz7sjzsunkz.jpeg?q=70,₹220,5,(4),https://www.flipkart.com/search?q=economics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,economics
"A People's History of India 25 - Indian Economy Under Early British Rule, 1757 -1857","English, Paperback, Habib Irfan",https://rukminim1.flixcart.com/image/612/612/ki4w0i80-0/book/u/j/w/a-people-s-history-of-india-25-indian-economy-under-early-original-imafxz92gdnrbjh9.jpeg?q=70,₹208,4.4,(63),https://www.flipkart.com/search?q=economics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,economics
Negotiation,"English, Hardcover, Tracy Brian",https://rukminim1.flixcart.com/image/612/612/jpu324w0/book/0/7/4/negotiation-original-imafbzmgegmdmnek.jpeg?q=70,₹209,4.5,(52),https://www.flipkart.com/search?q=economics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,economics
