book_title,author,img,price,ratings,no_of_purchase,url,genre
"NTA NEET (UG) 101 Speed Tests with 10 Online Mock Tests 2nd Edition | 96 Chapter Tests + 3 Subject Tests + 2 Mock Tests + 10 Online Mock Tests | Physics, Chemistry, Biology, PCB | Optional Questions | Question Bank | 100% Solutions","Paperback, Disha Experts",https://rukminim1.flixcart.com/image/612/612/xif0q/book/h/p/w/nta-neet-ug-101-speed-tests-with-10-online-mock-tests-2nd-original-imagg474kug7nhkb.jpeg?q=70,₹551,4.4,(112),https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Understanding Physics JEE Main and Advanced Mechanics Volume 2,"English, Paperback, Pandey DC",https://rukminim1.flixcart.com/image/612/612/xif0q/book/s/w/6/understanding-physics-for-jee-main-and-advanced-mechanics-part-2-original-imagguk8evjykadc.jpeg?q=70,₹387,4.6,(142),https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
CBSE All In One Physics Class 11 for 2022 Exam,"English, Paperback, Upreti Kamal",https://rukminim1.flixcart.com/image/612/612/knni7ww0/book/s/u/p/cbse-all-in-one-physics-class-11-for-2022-exam-original-imag2a5v23hdhhft.jpeg?q=70,₹540,4.4,"(1,264)",https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
"Hitbullseye CUET (UG) Entrance Exam Books 2023 Physics Book, 5 Actual Papers, 10 Mocks for Practice, Complimentary Access to Digital Content","Paperback, By Expert Team of Hitbullseye",https://rukminim1.flixcart.com/image/612/612/xif0q/book/i/w/4/hitbullseye-cuet-ug-entrance-exam-books-2023-physics-book-5-original-imagntzffge3tr2j.jpeg?q=70,₹220,4.8,(5),https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Cbse Champion Chapterwise-Topicwise - Physics Class 11,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/k0plpjk0/book/5/4/1/cbse-champion-chapterwise-topicwise-physics-class-11-original-imafkgfa8uz6uufz.jpeg?q=70,₹397,4.3,(92),https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Revisiting the Foundations of Relativistic Physics,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kjd6nww0-0/book/b/q/v/revisiting-the-foundations-of-relativistic-physics-original-imafyxt8xjcpng43.jpeg?q=70,"₹9,520",,,https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Magnetogasdynamics and Plasma Dynamics,"English, Paperback, Pai Shih-I.",https://rukminim1.flixcart.com/image/612/612/kk8mcnk0/book/w/v/b/magnetogasdynamics-and-plasma-dynamics-original-imafzm48dxtgwrpm.jpeg?q=70,"₹7,789",,,https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
"ALLEN SCORE 10 Test Papers with Solutions (Paper 1 & 2) for JEE Advanced 2023 in English | Physics, Chemistry & Mathematics","Paperback, ALLEN Expert faculties, ALLEN Career Institute Kota",https://rukminim1.flixcart.com/image/612/612/xif0q/book/z/h/m/allen-score-10-test-papers-with-solutions-paper-1-2-for-jee-original-imagzyhzdhkcvggc.jpeg?q=70,₹299,5,(4),https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
The Philosophy of Quantum Mechanics,"English, Hardcover, Blokhintsev D.I.",https://rukminim1.flixcart.com/image/612/612/jyj0how0/book/0/5/3/the-philosophy-of-quantum-mechanics-original-imafgqs9jz2vqa6g.jpeg?q=70,"₹10,385",,,https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
The Physics and Chemistry of Oxide Superconductors,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kjd6nww0-0/book/f/a/j/the-physics-and-chemistry-of-oxide-superconductors-original-imafyxztbkdmqrzj.jpeg?q=70,"₹11,251",,,https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Paṇdaiya Kaala Yogi Thirumoolarin Aṇu Ragasiyam / பண்டைய கால யோகி திருமூலரின் அணு,"Tamil, Paperback, Poongavanam Poongavanam",https://rukminim1.flixcart.com/image/612/612/xif0q/book/l/4/m/pa-daiya-kaala-yogi-thirumoolarin-a-u-ragasiyam-original-imagk7znu6ghwugg.jpeg?q=70,₹100,,,https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Nootan ISC Physics Lab-Manual XII (With Practical File),"Paperback, S.C. Yadav",https://rukminim1.flixcart.com/image/612/612/l13whow0/book/9/t/w/nootan-isc-physics-lab-manual-xii-with-practical-file-original-imagcryghxqm4ndg.jpeg?q=70,₹237,4.6,(26),https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
-Electron Magnetism,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kjabs7k0-0/book/s/u/7/electron-magnetism-original-imafyw95aueznhtc.jpeg?q=70,"₹15,578",,,https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Current Algebras and Groups,"English, Paperback, Mickelsson Jouko",https://rukminim1.flixcart.com/image/612/612/kit6hzk0-0/book/h/q/z/current-algebras-and-groups-original-imafygtuqtbmns3j.jpeg?q=70,"₹7,789",,,https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Flussiger Wasserstoff als Energietrager,"German, Paperback, Peschka W.",https://rukminim1.flixcart.com/image/612/612/joixj0w0/book/4/9/4/fl-ssiger-wasserstoff-als-energietr-ger-original-imafaz6p3bzt3f6p.jpeg?q=70,"₹6,875",,,https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Objective Ncert at Your Fingertips for Neet-Aiims-Physics,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/xif0q/book/9/a/3/-original-imagjycd4zzh6wqm.jpeg?q=70,₹540,4.5,"(2,901)",https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
"Expert’s Advice NTA CUET(UG) Domain (Physics, Chemistry, Maths, Biology) with Solved Question Bank with 3 Practice Papers (Entrance Exam Preparation Book 2022)  - For Year 2022-2023","Paperback, Souvenir Publishers",https://rukminim1.flixcart.com/image/612/612/l4vnbm80/book/1/k/a/expert-s-advice-nta-cuet-ug-domain-physics-chemistry-maths-original-imagfzd2qcxbxhu4.jpeg?q=70,₹350,4.3,(24),https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Xclusive JEE Advanced 45 Previous Year (1978 - 2022) PHYSICS Chapterwise & Topicwise Solved Papers | IIT-JEE PYQ Question Bank in NCERT Flow with 100% Detailed Solutions for JEE 2023,"Paperback, Disha Experts",https://rukminim1.flixcart.com/image/612/612/xif0q/book/8/n/e/xclusive-jee-advanced-45-previous-year-1978-2022-physics-original-imagzhchyyajjsys.jpeg?q=70,₹400,,,https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
17 Years' Chapterwise Solutions Physics Jee Main 2019,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kjym9ow0/book/2/j/t/17-years-chapterwise-solutions-physics-jee-main-2019-original-imafzecs9zdrvz7y.jpeg?q=70,₹215,4.3,"(1,095)",https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Mtg 35 Years Neet Previous Year Solved Question Papers with Neet Chapterwise Topicwise Solutions,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/xif0q/book/t/p/z/mtg-35-years-neet-previous-year-solved-question-papers-with-neet-original-imaggcxdddecvfgr.jpeg?q=70,₹364,4.5,"(2,242)",https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Concise Middle School Physics for Class 8 - Examination 2022-23,"Paperback, Dr. R.P. Goyal",https://rukminim1.flixcart.com/image/612/612/kxp0mfk0/book/g/7/w/concise-middle-school-physics-for-class-8-examination-2022-23-original-imaga3fwsweg3hn6.jpeg?q=70,₹354,4.7,(41),https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Jacob Palis - Selected Works,"English, Hardcover, Palis Jacob",https://rukminim1.flixcart.com/image/612/612/k0o69ow0/book/6/7/8/jacob-palis-selected-works-original-imafkf85rztga7vx.jpeg?q=70,"₹11,251",,,https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Introduzione alla Teoria della elasticita,"Italian, Paperback, Colombo Luciano",https://rukminim1.flixcart.com/image/612/612/jovshow0-1/book/9/7/3/introduzione-alla-teoria-della-elasticita-original-imafb9acebmtyzcn.jpeg?q=70,"₹3,028",,,https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Combo-Lakhmir Singh - Class 9th - Physics + Chemistry - Set Of 2 Books - 2023-24,"Paperback, Lakhmir SIngh, Manjit Kaur",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/e/h/u/combo-lakhmir-singh-class-9th-physics-chemistry-set-of-2-books-original-imagzzyhxhhtjwpz.jpeg?q=70,"₹1,265",,,https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
The Physics of Structural Phase Transitions,"English, Paperback, Fujimoto Minoru",https://rukminim1.flixcart.com/image/612/612/jox7xjk0-1/book/4/9/3/the-physics-of-structural-phase-transitions-original-imafba8rfczuy62m.jpeg?q=70,"₹8,654",,,https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
Advanced Fluorescence Microscopy,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/jon7ukw0/book/7/9/2/advanced-fluorescence-microscopy-original-imafb23rzfpyqmuf.jpeg?q=70,"₹12,116",,,https://www.flipkart.com/search?q=physics+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=21,physics
