book_title,author,img,price,ratings,no_of_purchase,url,genre
Lectures in Parallel Computation,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/k8q8nm80/book/6/0/2/cambridge-international-series-on-parallel-computation-lectures-original-imafqnuhbcjx7hp6.jpeg?q=70,"₹6,335",,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Practical Signal Processing,"English, Hardcover, Owen Mark",https://rukminim1.flixcart.com/image/612/612/k8q8nm80/book/7/8/8/practical-signal-processing-original-imafqzgk5y9n5uyp.jpeg?q=70,"₹10,055",,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Theory of Computation (with Formal Languages) 2 Edition,"English, Paperback, Patel R. B",https://rukminim1.flixcart.com/image/612/612/ku5ufm80/book/a/d/s/theory-of-computation-with-formal-languages-original-imag7cayntp7hgtn.jpeg?q=70,₹240,5,(4),https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Together With CUET UG Entrance Exam Books 2023 Computer Science/Informatics Practices Solved Question Bank With Sample Paper Central University Based Pattern,"Paperback, Rachna Sagar",https://rukminim1.flixcart.com/image/612/612/xif0q/book/n/e/o/together-with-cuet-ug-entrance-exam-books-2023-computer-science-original-imagn8zawbzdvgfe.jpeg?q=70,₹222,4.6,(32),https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Structural Testing Using Cloud Computing,"English, Paperback, Dr M Parthiban",https://rukminim1.flixcart.com/image/612/612/xif0q/book/j/8/8/structural-testing-using-cloud-computing-original-imagjyhfrxsfwn2f.jpeg?q=70,₹197,,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Computers in Education,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/book/2/1/3/computers-in-education-volume-1-original-imadgumaekx5pgew.jpeg?q=70,"₹6,121",,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Computer Aided Design of a 2-Stage Gear Reducer,"English, Paperback, Abidi Mustufa",https://rukminim1.flixcart.com/image/612/612/jod7rm80/book/0/4/0/computer-aided-design-of-a-2-stage-gear-reducer-original-imafattz5ysb5vuj.jpeg?q=70,"₹6,811",,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
NTA UGC NET/JRF/SET Paper 2 Computer Science & Applications,"Paperback, Kailash Chandra Gururani Surabhi Sharma",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/v/j/l/nta-ugc-net-jrf-set-paper-2-computer-science-applications-original-imagzhe2nfygsghb.jpeg?q=70,₹710,,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Computer-Aided Design and Manufacturing,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/jmjhifk0/book/0/9/1/computer-aided-design-and-manufacturing-original-imaf9fgagqetrgcd.jpeg?q=70,"₹10,899",,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Applications of Fuzzy Logic in Computer Network Theory,"English, Paperback, Saini Gurpreet Singh",https://rukminim1.flixcart.com/image/612/612/jovshow0/book/6/0/5/applications-of-fuzzy-logic-in-computer-network-theory-original-imafb8ytay4jnady.jpeg?q=70,"₹4,646",,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Computer Aided Process Planning for Rapid Prototyping,"English, Paperback, Pande Sarang",https://rukminim1.flixcart.com/image/612/612/joud1u80/book/7/9/9/computer-aided-process-planning-for-rapid-prototyping-original-imafb7nzhdgsgckz.jpeg?q=70,"₹5,689",,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Polytechic Lecturers (Computer Science Engineering And Information Technology),"Paperback, V.V.K SUBBURAJ",https://rukminim1.flixcart.com/image/612/612/kt7jv680/regionalbooks/t/t/9/sura-s-trb-polytechic-lecturers-computer-science-engineering-and-original-imag6hx2z8jdp4vb.jpeg?q=70,₹495,3.5,(20),https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Opportunistic Networks,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/kplisnk0/book/n/b/i/opportunistic-networks-original-imag3szquecwzx7k.jpeg?q=70,"₹12,090",,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Genie in the Machine,"English, Paperback, Plotkin Robert Mr",https://rukminim1.flixcart.com/image/612/612/jph83gw0/book/7/8/4/genie-in-the-machine-original-imafbp4ybndz3nva.jpeg?q=70,₹189,,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Learning Analytics Explained,"English, Paperback, Sclater Niall",https://rukminim1.flixcart.com/image/612/612/xif0q/book/w/a/m/learning-analytics-explained-original-imaghy25h9xsrmhy.jpeg?q=70,"₹2,597",,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
"Vigyan (Science) Combo | Jeev Vigyan (Biology), Rasayan Vigyan (Chemistry), Bhautik (Physics) | NCERT Summary | Quick Revision Fastrack Book In Hindi With Objective Questions, Charts, Tables, Pictures, And One Liners | Ideal For SSC, Bank, Railway, Defence, Police, State PCS, TGT, PGT And For All Other Government & Competitive Exams","Paperback, Hindi, Yukti Experts",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/o/0/4/vigyan-science-combo-jeev-vigyan-biology-rasayan-vigyan-original-imagz7fqyfzeu5gz.jpeg?q=70,₹294,,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Collins Smart Tech TM 1,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/ku79vgw0/book/e/z/1/collins-smart-tech-tm-1-original-imag7dp6gtxpqzbv.jpeg?q=70,₹200,,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
PostGIS Cookbook,"English, Paperback, Corti Paolo",https://rukminim1.flixcart.com/image/612/612/book/6/6/6/postgis-cookbook-original-imaeb7jkceaun27x.jpeg?q=70,"₹4,099",,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Tools and Environments for Parallel and Distributed Computing,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/book/8/8/6/tools-and-environments-for-parallel-and-distributed-computing-original-imaeahf3rgyhhhvy.jpeg?q=70,"₹4,930",,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
"MCA Entrances Book 2023, Useful For (NIMCET, BHU, JNU, PUNE, KIITEE, HMCA, MP MCA, IIT-JAM, etc), 18th Year's Solved Papers (2005-2022) & 5 Model Papers/Practice Sets (With Explanations)  - MCA Entrances Book 2023, 18th Year's Solved Papers (2005-2022) & 5 Model Papers/Practice Sets","Paperback, JBC PRESS: EDITORIAL BOARD",https://rukminim1.flixcart.com/image/612/612/xif0q/book/t/y/c/mca-entrances-book-2023-useful-for-nimcet-bhu-jnu-pune-kiitee-original-imagkgvqyehcjyaa.jpeg?q=70,₹340,4.3,(45),https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Bluescreen Compositing,"English, Paperback, Jackman John",https://rukminim1.flixcart.com/image/612/612/xif0q/book/i/x/h/bluescreen-compositing-original-imagk2hhhz56ft4n.jpeg?q=70,"₹4,331",,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Identification of Damage Using Lamb Waves,"English, Paperback, Su Zhongqing",https://rukminim1.flixcart.com/image/612/612/kj0bp8w0-0/book/c/r/v/identification-of-damage-using-lamb-waves-original-imafyz2rbdghytjz.jpeg?q=70,"₹13,414",,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
Credibilistic Programming,"English, Hardcover, Li Xiang",https://rukminim1.flixcart.com/image/612/612/kk76wsw0/book/v/8/b/credibilistic-programming-original-imafzhqusny7amde.jpeg?q=70,"₹6,634",,,https://www.flipkart.com/search?q=computer+science+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,computer science
