book_title,author,img,price,ratings,no_of_purchase,url,genre
China on the Mind,"English, Paperback, Bollas Christopher",https://rukminim1.flixcart.com/image/612/612/xif0q/book/s/k/t/china-on-the-mind-original-imagg57s9szeyjwy.jpeg?q=70,"₹2,820",,,https://www.flipkart.com/search?q=philosophy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=19,philosophy
History of the Concept of Mind,"English, Paperback, Macdonald Paul S.",https://rukminim1.flixcart.com/image/612/612/xif0q/book/u/2/i/history-of-the-concept-of-mind-original-imagkfy2hzg4whsm.jpeg?q=70,"₹2,447",,,https://www.flipkart.com/search?q=philosophy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=19,philosophy
Citizenship and the Ethics of Care,"English, Paperback, Sevenhuijsen Selma",https://rukminim1.flixcart.com/image/612/612/xif0q/book/y/3/z/citizenship-and-the-ethics-of-care-original-imagkfetdgym7zja.jpeg?q=70,"₹5,339",,,https://www.flipkart.com/search?q=philosophy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=19,philosophy
The Buddha and His Dharma,"English, Paperback, Ambedkar Dr",https://rukminim1.flixcart.com/image/612/612/ku5ufm80/book/e/r/f/the-buddha-and-his-dharma-original-imag7c8txktbuyy5.jpeg?q=70,₹576,,,https://www.flipkart.com/search?q=philosophy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=19,philosophy
Distant Strangers,"English, Paperback, Lichtenberg Judith",https://rukminim1.flixcart.com/image/612/612/k0plpjk0/book/6/2/1/distant-strangers-original-imafkfafgfzhjtnc.jpeg?q=70,"₹2,312",,,https://www.flipkart.com/search?q=philosophy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=19,philosophy
Leading with Wisdom,"English, Hardcover, Claudel Paul George",https://rukminim1.flixcart.com/image/612/612/k8ddoy80/book/0/6/4/leading-with-wisdom-original-imafqezdme5tmsjm.jpeg?q=70,"₹1,478",,,https://www.flipkart.com/search?q=philosophy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=19,philosophy
The Pursuit of God,"English, Paperback, Tozer A W",https://rukminim1.flixcart.com/image/612/612/klqx30w0/book/i/e/l/the-pursuit-of-god-original-imagyt7zz7mzeybq.jpeg?q=70,₹119,4.8,(37),https://www.flipkart.com/search?q=philosophy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=19,philosophy
Dharma Kya Hai,"Hindi, Paperback, Tolstoy Mahamata",https://rukminim1.flixcart.com/image/612/612/kzpw2vk0/book/c/z/5/dharma-kya-hai-original-imagbzch2ncn2sac.jpeg?q=70,₹99,4.1,(33),https://www.flipkart.com/search?q=philosophy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=19,philosophy
Prem Panth Aiso Kathin,"Hindi, Paperback, Osho",https://rukminim1.flixcart.com/image/612/612/l3929ow0/book/f/p/k/prem-panth-aiso-kathin-original-imagef5pfh6rzgyg.jpeg?q=70,₹269,4,(7),https://www.flipkart.com/search?q=philosophy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=19,philosophy
Mahabharata,"English, Paperback, Buck William",https://rukminim1.flixcart.com/image/612/612/jwnusnk0/book/7/2/6/mahabharata-original-imafhazmwvynah9x.jpeg?q=70,₹404,4.5,(142),https://www.flipkart.com/search?q=philosophy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=19,philosophy
