book_title,author,img,price,ratings,no_of_purchase,url,genre
Microbial Metabolomics,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/jon7ukw0/book/2/4/7/microbial-metabolomics-original-imafbfkgdngjwcx7.jpeg?q=70,"₹16,519",,,https://www.flipkart.com/search?q=chemistry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,chemistry
Chemistry of Nanocontainers,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/jms25jk0-1/book/8/3/7/chemistry-of-nanocontainers-original-imaf9m6bpc4n8msf.jpeg?q=70,"₹18,603",,,https://www.flipkart.com/search?q=chemistry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,chemistry
Ordered Polymeric Nanostructures at Surfaces,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/k0plpjk0/book/7/1/3/ordered-polymeric-nanostructures-at-surfaces-original-imafkg839qjhkmhc.jpeg?q=70,"₹19,906",,,https://www.flipkart.com/search?q=chemistry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,chemistry
Polymer Nanocomposites by Emulsion and Suspension Polymerization,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/ki6bgcw0-0/book/8/d/a/polymer-nanocomposites-by-emulsion-and-suspension-polymerization-original-imafyf9dxmzjmwmh.jpeg?q=70,"₹7,028",,,https://www.flipkart.com/search?q=chemistry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,chemistry
The Encapsulation Phenomenon,"English, Hardcover, Voloshin Yan",https://rukminim1.flixcart.com/image/612/612/k0wqwsw0/book/3/7/0/the-encapsulation-phenomenon-original-imafkhezucznzgmp.jpeg?q=70,"₹18,171",,,https://www.flipkart.com/search?q=chemistry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,chemistry
Glycosyltransferases,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/jox7xjk0-1/book/9/6/9/glycosyltransferases-original-imafba6gfcsz7sz5.jpeg?q=70,"₹12,549",,,https://www.flipkart.com/search?q=chemistry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,chemistry
Microbial Metabolomics,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/k0mqtu80/book/9/1/7/microbial-metabolomics-original-imafkdbban2pvzqz.jpeg?q=70,"₹11,251",,,https://www.flipkart.com/search?q=chemistry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,chemistry
Iron Geochemistry: An Isotopic Perspective,"English, Hardcover, Johnson Clark",https://rukminim1.flixcart.com/image/612/612/k3erngw0/book/2/7/5/iron-geochemistry-an-isotopic-perspective-original-imafmjzycwjneyrf.jpeg?q=70,"₹11,563",,,https://www.flipkart.com/search?q=chemistry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,chemistry
Cbse Champion Chapterwise-Topicwise - Chemistry Class 11,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/k0wqwsw0/book/5/5/8/cbse-champion-chapterwise-topicwise-chemistry-class-11-original-imafkh2yhzb3fm3j.jpeg?q=70,₹384,4.5,(103),https://www.flipkart.com/search?q=chemistry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,chemistry
Complete Course For CHSE Odisha Chemistry Class 12 for 2021 Exam,"English, Paperback, Parvez Saleha",https://rukminim1.flixcart.com/image/612/612/kd1zngw0/book/8/9/1/complete-course-for-chse-odisha-chemistry-class-12-for-2021-exam-original-imafuffy55gquhss.jpeg?q=70,₹515,4.4,(87),https://www.flipkart.com/search?q=chemistry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=17,chemistry
