book_title,author,img,price,ratings,no_of_purchase,url,genre
On the Origin of Evolution,"English, Paperback, Gribbin John",https://rukminim1.flixcart.com/image/612/612/krntoy80/book/c/b/r/on-the-origin-of-evolution-original-imag5eus3zcpvqth.jpeg?q=70,₹450,,,https://www.flipkart.com/search?q=biology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,biology
The Synthetic Age,"English, Paperback, Preston Christopher J.",https://rukminim1.flixcart.com/image/612/612/l5iid8w0/book/c/i/q/the-synthetic-age-original-imagg6hftsy4fukc.jpeg?q=70,₹849,,,https://www.flipkart.com/search?q=biology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,biology
European Ungulates and their Management in the 21st Century,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/k0o69ow0/book/6/1/4/european-ungulates-and-their-management-in-the-21st-century-original-imafkf9addjey6y9.jpeg?q=70,"₹7,495",,,https://www.flipkart.com/search?q=biology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,biology
Objective Ncert at Your Fingertips for Neet-Aiims-Biology,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kw104nk0/book/j/o/h/mtg-objective-ncert-at-your-fingertips-for-neet-aiims-biology-original-imag8snehh9ebzz3.jpeg?q=70,₹675,4.5,"(9,376)",https://www.flipkart.com/search?q=biology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,biology
Animal Behavior,"English, Paperback, Byers John A.",https://rukminim1.flixcart.com/image/612/612/l45xea80/book/g/i/s/animal-behavior-original-imagf4c3dvxy2z36.jpeg?q=70,₹538,,,https://www.flipkart.com/search?q=biology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,biology
Modular Evolution,"English, Paperback, Vinicius Lucio",https://rukminim1.flixcart.com/image/612/612/xif0q/book/x/b/i/modular-evolution-original-imaghst5m6nymzss.jpeg?q=70,"₹1,852",,,https://www.flipkart.com/search?q=biology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,biology
RSPB Birds: their Hidden World,"English, Paperback, Holden Peter",https://rukminim1.flixcart.com/image/612/612/jz4g3gw0/book/6/2/1/rspb-birds-their-hidden-world-original-imafj7dznhfaynd4.jpeg?q=70,₹519,,,https://www.flipkart.com/search?q=biology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,biology
Objective Ncert at Your Fingertips for Neet-Aiims - Biology,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/jvtujrk0/book/7/8/9/mtg-objective-ncert-at-your-fingertips-biology-2019-20-original-imafgnaukf9sjfzu.jpeg?q=70,₹711,4.6,"(37,345)",https://www.flipkart.com/search?q=biology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,biology
Neuropeptide Protocols,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/jox7xjk0-1/book/9/9/3/neuropeptide-protocols-original-imafba52m58efnfy.jpeg?q=70,"₹3,475",,,https://www.flipkart.com/search?q=biology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,biology
General Neurochemical Techniques,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/jox7xjk0-1/book/7/5/6/general-neurochemical-techniques-original-imafba8ftzgvfdbt.jpeg?q=70,"₹3,791",,,https://www.flipkart.com/search?q=biology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,biology
