book_title,author,img,price,ratings,no_of_purchase,url,genre
"Le Estasi Umane, Vol. 1 (Classic Reprint)","Italian, Paperback, Mantegazza Paolo",https://rukminim1.flixcart.com/image/612/612/jog2nbk0/book/3/7/0/le-estasi-umane-vol-1-classic-reprint-original-imafawchugdmgndh.jpeg?q=70,"₹1,536",,,https://www.flipkart.com/search?q=botany+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,botany
Descriptive and Physiological Botany,"English, Paperback, Henslow J S 1796",https://rukminim1.flixcart.com/image/612/612/joonafk0/book/6/1/1/descriptive-and-physiological-botany-original-imafb2t3fmfz632c.jpeg?q=70,"₹2,575",,,https://www.flipkart.com/search?q=botany+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,botany
"Catechism of Botany, Or, an Easy Introduction to the Vegetable Kingdom","English, Paperback, Mavor William Fordyce",https://rukminim1.flixcart.com/image/612/612/jon7ukw0/book/7/4/1/catechism-of-botany-or-an-easy-introduction-to-the-vegetable-original-imafb26hmt2ngf4y.jpeg?q=70,"₹1,460",,,https://www.flipkart.com/search?q=botany+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,botany
Objective Ncert at Your Fingertips for Neet-Aiims - Biology,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/jvtujrk0/book/7/8/9/mtg-objective-ncert-at-your-fingertips-biology-2019-20-original-imafgnaukf9sjfzu.jpeg?q=70,₹711,4.6,"(37,345)",https://www.flipkart.com/search?q=botany+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,botany
TS Eamcet Botany Chapterwise Solutions Latest Updated 2023 Edition,"Paperback, SIA Publishers & Distributors Pvt Ltd",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/j/4/9/ts-eamcet-botany-chapterwise-solutions-latest-updated-2023-original-imagm839nvuhwshk.jpeg?q=70,₹329,3.7,(3),https://www.flipkart.com/search?q=botany+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,botany
"The Miscellaneous Botanical Works of Robert Brown, Vol. 2 (Classic Reprint)","English, Paperback, Brown Robert",https://rukminim1.flixcart.com/image/612/612/jmqmpow0/book/4/5/1/the-miscellaneous-botanical-works-of-robert-brown-vol-2-classic-original-imaf9kgtfdrdympg.jpeg?q=70,"₹1,666",,,https://www.flipkart.com/search?q=botany+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,botany
"A Critical Revision of the Genus Eucalyptus, Vol. 3","English, Paperback, Maiden Joseph Henry",https://rukminim1.flixcart.com/image/612/612/jmthle80/book/5/6/2/a-critical-revision-of-the-genus-eucalyptus-vol-3-original-imaf9mg6zhxtmkqf.jpeg?q=70,"₹1,118",,,https://www.flipkart.com/search?q=botany+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,botany
10 NEET UG Mock Test Paper As Per NTA New Paper Pattern With OMR Sheets | Practice Model Tests With Solutions & Analysis Of Previous 8 Years Papers,"Paperback, Target Publications Pvt Ltd",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/x/w/t/10-neet-ug-mock-test-paper-as-per-nta-new-paper-pattern-with-omr-original-imagny36uyyxktmr.jpeg?q=70,₹257,4.4,(689),https://www.flipkart.com/search?q=botany+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,botany
"The Great Basin Naturalist, Vol. 43: January 31, 1983 (Classic Reprint)","English, Paperback, University Brigham Young",https://rukminim1.flixcart.com/image/612/612/jpfsnm80/book/6/3/8/the-great-basin-naturalist-vol-43-original-imafbntpzz3fk3we.jpeg?q=70,"₹1,647",,,https://www.flipkart.com/search?q=botany+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,botany
Nouvelle Flore Du Tarn Et de la Haute-Garonne Sous-Pyreneenne (Classic Reprint),"French, Paperback, Bel Jules",https://rukminim1.flixcart.com/image/612/612/jms25jk0-1/book/7/5/9/nouvelle-flore-du-tarn-et-de-la-haute-garonne-sous-pyreneenne-original-imaf9mad3zb6xjpf.jpeg?q=70,"₹1,278",,,https://www.flipkart.com/search?q=botany+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,botany
"Storia Della Letteratura Italiana, Vol. 8","Italian, Paperback, Tiraboschi Girolamo",https://rukminim1.flixcart.com/image/612/612/jskofww0/book/7/7/6/storia-della-letteratura-italiana-vol-8-original-imafe4bh6fhwdqpz.jpeg?q=70,"₹1,545",,,https://www.flipkart.com/search?q=botany+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,botany
GRB Objective Botany For NEET & All Other Competitive Entrance Examinations (Based On NCERT),"Paperback, Dr. Naresh Kumar, Dr. Jaishree Malik",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/s/1/h/grb-objective-botany-for-neet-all-other-competitive-entrance-original-imagjkm5nsdyaxru.jpeg?q=70,"₹1,245",4.7,(3),https://www.flipkart.com/search?q=botany+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,botany
"Bibliotheca Botanica, 1910-1911, Vol. 17: Original-Abhandlungen aus dem Gesamtgebiete der Botanik (Classic Reprint)","German, Hardcover, Luerssen Chr.",https://rukminim1.flixcart.com/image/612/612/xif0q/book/p/4/x/bibliotheca-botanica-1910-1911-vol-17-original-imagm8pd2tg36v2t.jpeg?q=70,"₹2,385",,,https://www.flipkart.com/search?q=botany+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,botany
