book_title,author,img,price,ratings,no_of_purchase,url,genre
"The Uganda protectorate; an attempt to give some description of the physical geography Botany, zoology, anthropology, languages and history of the territories under British protection.... [Hardcover]","Hardcover, Sir Harry Hamilton Johnston",https://rukminim1.flixcart.com/image/612/612/xif0q/book/c/a/m/the-uganda-protectorate-an-attempt-to-give-some-description-of-original-imagjxhrvadvh7fy.jpeg?q=70,"₹2,637",,,https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,zoology
Zoology of Egypt Volume 1 st 1898 [Hardcover],"Hardcover, John Anderson, George Albert Boulenger",https://rukminim1.flixcart.com/image/612/612/xif0q/book/g/b/f/zoology-of-egypt-volume-1-st-1898-hardcover-original-imagjxhrzqze8k9w.jpeg?q=70,"₹3,564",,,https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,zoology
The Uganda Protectorate an Attempt to Give Some Description of The Physical Geography Botany Zoology Anthropology Languages and H,"English, Paperback, Harry Johnston",https://rukminim1.flixcart.com/image/612/612/book/8/7/5/the-uganda-protectorate-an-attempt-to-give-some-description-of-original-imaegutebwpgytyu.jpeg?q=70,"₹1,790",,,https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,zoology
Objective Ncert at Your Fingertips for Neet-Aiims - Biology,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/jvtujrk0/book/7/8/9/mtg-objective-ncert-at-your-fingertips-biology-2019-20-original-imafgnaukf9sjfzu.jpeg?q=70,₹711,4.6,"(37,345)",https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,zoology
"Anales del Museo Nacional de Historia Natural de Buenos Aires, 1920, Vol. 30 (Classic Reprint)","Spanish, Paperback, Natural Museo Nacional de Historia",https://rukminim1.flixcart.com/image/612/612/jmqmpow0-1/book/7/9/7/anales-del-museo-nacional-de-historia-natural-de-buenos-aires-original-imaf9kpbwxtpzhnw.jpeg?q=70,"₹1,449",,,https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,zoology
"Manual of Conchology, Vol. 16","English, Paperback, Tryon George W.",https://rukminim1.flixcart.com/image/612/612/jmkwya80/book/1/5/6/manual-of-conchology-vol-16-original-imaf9gk7zbr8wzwe.jpeg?q=70,"₹1,181",,,https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,zoology
Dipteres Nouveaux Ou Peu Connus,"French, Hardcover, Bigot Jacques",https://rukminim1.flixcart.com/image/612/612/jsge4cw0/book/5/0/2/dipteres-nouveaux-ou-peu-connus-original-imafeyus9tgyr5ee.jpeg?q=70,"₹2,439",,,https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,zoology
Birds of the Indian Hills,"English, Paperback, Dewar Douglas",https://rukminim1.flixcart.com/image/612/612/jtq47m80/book/5/7/1/birds-of-the-indian-hills-original-imaffytakqesutr4.jpeg?q=70,₹290,2.3,(3),https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,zoology
"Memoires Sur Les Lepidopteres, Vol. 7 (Classic Reprint)","French, Paperback, Romanoff Nikolai Mikhailovich",https://rukminim1.flixcart.com/image/612/612/jox7xjk0/book/0/8/0/memoires-sur-les-lepidopteres-vol-7-classic-reprint-original-imafb9xgfhufuves.jpeg?q=70,"₹1,582",,,https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,zoology
"The Birds of the West of Scotland, Including the Outer Hebrides","English, Paperback, Gray Robert",https://rukminim1.flixcart.com/image/612/612/jmqmpow0/book/1/2/9/the-birds-of-the-west-of-scotland-including-the-outer-hebrides-original-imaf9k9ehabmjsq8.jpeg?q=70,"₹1,399",,,https://www.flipkart.com/search?q=zoology+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,zoology
