book_title,author,img,price,ratings,no_of_purchase,url,genre
"Chacha Chaudhary, Billoo, Pinki Comics In English |Set Of 3 Comics|Latest Artwork By Diamond Toons","Paperback, Pran's",https://rukminim1.flixcart.com/image/612/612/kp5sya80/regionalbooks/c/u/t/chacha-chaudhary-billoo-pinki-comics-in-english-set-of-3-comics-original-imag3geaszgkmfhb.jpeg?q=70,₹215,4.3,(127),https://www.flipkart.com/search?q=comic+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,comic
Suppandi 4 - Tickling the Funny Bone  - A Selection of Suppandi Stories from 30 Years of Tinkle,"English, Paperback, Thindiath Rajani",https://rukminim1.flixcart.com/image/612/612/l09w8sw0/book/6/g/y/suppandi-4-tickling-the-funny-bone-original-imagc3ufrhhv5ubd.jpeg?q=70,₹181,4.5,(262),https://www.flipkart.com/search?q=comic+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,comic
Green Humour for a Greying Planet,"English, Paperback, Chakravarty Rohan",https://rukminim1.flixcart.com/image/612/612/l4x2rgw0/book/r/a/5/green-humour-for-a-greying-planet-original-imagfpgqtzzgrpzw.jpeg?q=70,₹276,4.7,(27),https://www.flipkart.com/search?q=comic+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,comic
ACE Agriculture Vol 2 | A Comprehensive Book For AFO | FCI | ADO & Others (English Printed Edition) By Adda247,"Paperback, Adda247 Publications",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/h/a/x/ace-agriculture-vol-2-a-comprehensive-book-for-afo-fci-ado-original-imagh35svdrmnua6.jpeg?q=70,₹325,4.3,(3),https://www.flipkart.com/search?q=comic+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,comic
Pookuzhi,"Tamil, Paperback, Murugan Perumal",https://rukminim1.flixcart.com/image/612/612/xif0q/book/9/c/l/pookuzhi-original-imagktbgq7nvtegv.jpeg?q=70,₹190,4.4,(17),https://www.flipkart.com/search?q=comic+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,comic
"My Hero Academia, Vol. 8","English, Paperback, Horikoshi Kohei",https://rukminim1.flixcart.com/image/612/612/ki3gknk0-0/book/o/n/x/my-hero-academia-vol-8-original-imafxyxmhnebdas5.jpeg?q=70,₹695,5,(5),https://www.flipkart.com/search?q=comic+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,comic
The Black Island,"English, Paperback, Herge",https://rukminim1.flixcart.com/image/612/612/l1nwnm80/book/r/s/c/the-black-island-original-imagd63qdvzuudhd.jpeg?q=70,₹547,4.6,(499),https://www.flipkart.com/search?q=comic+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,comic
Bestseller Books + Combo Of Bestselling Books + A Man Called Ove + The Sun Is Also A Star + Fredrik Backman + Nicola Yoon,"Paperback, Nicola Yoon, Fredrik Backman",https://rukminim1.flixcart.com/image/612/612/l2m78280/regionalbooks/v/f/r/bestseller-books-combo-of-bestselling-books-a-man-called-ove-the-original-imagdx8gvbvxeh28.jpeg?q=70,₹310,4.1,(8),https://www.flipkart.com/search?q=comic+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,comic
Chacha Chaudhary Digest-1,"English, Paperback, Paran",https://rukminim1.flixcart.com/image/612/612/kidgnm80-0/book/f/z/f/chacha-chaudhary-digest-1-original-imafy6grfnjrrbvx.jpeg?q=70,₹190,4.3,(264),https://www.flipkart.com/search?q=comic+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,comic
Where Do Presidents Come From?,"English, Hardcover, Townsend Mike",https://rukminim1.flixcart.com/image/612/612/xif0q/book/x/b/d/where-do-presidents-come-from-original-imagmzfj8ynrsy3g.jpeg?q=70,"₹1,684",,,https://www.flipkart.com/search?q=comic+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,comic
A Friend From Heaven,"English, Paperback, Fanous Sherry",https://rukminim1.flixcart.com/image/612/612/kiulxu80-0/book/k/a/w/a-friend-from-heaven-original-imafyj7f4zs7pqjr.jpeg?q=70,"₹1,641",,,https://www.flipkart.com/search?q=comic+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,comic
