book_title,author,img,price,ratings,no_of_purchase,url,genre
Staying at Daisy's: The fans' favourite novel,"English, Paperback, Mansell Jill",https://rukminim1.flixcart.com/image/612/612/xif0q/book/k/p/q/staying-at-daisy-s-the-fans-favourite-novel-original-imagez96an2y5fem.jpeg?q=70,₹791,,,https://www.flipkart.com/search?q=novel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,novel
The Complete Short Novels,"English, Hardcover, Chekov Anton",https://rukminim1.flixcart.com/image/612/612/kufuikw0/book/d/7/9/the-complete-short-novels-original-imag7kcbcvayknfc.jpeg?q=70,₹719,4.6,(7),https://www.flipkart.com/search?q=novel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,novel
Lore Olympus Volume Two: UK Edition,"English, Paperback, Smythe Rachel",https://rukminim1.flixcart.com/image/612/612/krqoknk0/book/j/a/j/lore-olympus-volume-two-uk-edition-original-imag5g47nhdevzh6.jpeg?q=70,₹629,,,https://www.flipkart.com/search?q=novel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,novel
"It Ends With Us And It Start With Us Best 2 Books Combo (Paperback Collen Hoover ) (Paperback, Colleen Hoover)","Paperback, Colleen Hoover",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/u/9/j/it-ends-with-us-and-it-start-with-us-best-2-books-combo-original-imagkxazzjm8vz4r.jpeg?q=70,₹320,4.2,(139),https://www.flipkart.com/search?q=novel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,novel
Lore Olympus: Volume One,"English, Hardcover, Smythe Rachel",https://rukminim1.flixcart.com/image/612/612/kuzuoi80/book/l/2/m/lore-olympus-volume-one-original-imag7zt9znvzbchh.jpeg?q=70,"₹1,119",,,https://www.flipkart.com/search?q=novel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,novel
Naruto: Shikamaru's Story--Mourning Clouds,"English, Paperback, Yano Takashi",https://rukminim1.flixcart.com/image/612/612/keuagsw0/book/4/9/3/naruto-shikamaru-s-story-mourning-clouds-original-imafvfqkymhzg6wa.jpeg?q=70,₹647,,,https://www.flipkart.com/search?q=novel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,novel
The Complete Novels of James Joyce,"English, Hardcover, Joyce James",https://rukminim1.flixcart.com/image/612/612/jzu60sw0/book/7/6/8/the-complete-novels-of-james-joyce-original-imafjr64kupyqwvn.jpeg?q=70,"₹1,302",4.7,(12),https://www.flipkart.com/search?q=novel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,novel
"Premchand - Novels (A Set of 2 Books)  - Premchand - Novels (A Set of 2 Books) (Paperback, (General)VEI)","Hindi, Paperback, (General)VEI",https://rukminim1.flixcart.com/image/612/612/jyg5lzk0/book/2/9/0/premchand-novels-a-set-of-2-books-original-imafgzh2p3x6gdwa.jpeg?q=70,₹210,4.4,(241),https://www.flipkart.com/search?q=novel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,novel
Nonhuman Agencies in the Twenty-First-Century Anglophone Novel,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/ktd9mkw0/book/o/q/b/nonhuman-agencies-in-the-twenty-first-century-anglophone-novel-original-imag6pxgrqhy3qaf.jpeg?q=70,"₹9,911",,,https://www.flipkart.com/search?q=novel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,novel
Anitha Padma Brinda,"Tamil, Paperback, A.L.SURIYA",https://rukminim1.flixcart.com/image/612/612/jl2m7ww0/book/6/3/2/anitha-padma-brinda-original-imaf8a62fumygfgv.jpeg?q=70,₹500,4.7,(6),https://www.flipkart.com/search?q=novel+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,novel
