book_title,author,img,price,ratings,no_of_purchase,url,genre
Hispanic Star En Espanol: Celia Cruz,"Spanish, Paperback, Edelman Claudia Romo",https://rukminim1.flixcart.com/image/612/612/xif0q/book/x/o/b/hispanic-star-en-espanol-celia-cruz-original-imagjwwxrmhchzh3.jpeg?q=70,₹659,,,https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Born to Swing,"English, Hardcover, Rockliff Mara",https://rukminim1.flixcart.com/image/612/612/k0jvy4w0/book/5/5/3/born-to-swing-original-imafkbkqzhgjxkhd.jpeg?q=70,"₹1,317",,,https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Franz Kafka Combo(Metamorphosis+The Trial),"Paperback, Franz Kafka",https://rukminim1.flixcart.com/image/612/612/kq18n0w0/regionalbooks/z/b/y/franz-kafka-combo-metamorphosis-the-trial-original-imag44ubadszzshh.jpeg?q=70,₹301,,,https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Why I Am an Atheist,"English, Undefined, Singh Bhagat",https://rukminim1.flixcart.com/image/612/612/k5vcya80/book/1/2/3/why-i-am-an-atheist-original-imafzgz6mn7n6wmz.jpeg?q=70,₹180,4.5,(321),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Chhava Kadambari By Shivaji Sawant In Marathi,"Paperback, Marathi, Shivaji Sawant",https://rukminim1.flixcart.com/image/612/612/kusph8w0/regionalbooks/8/p/v/chhava-kadambari-by-shivaji-sawant-in-marathi-original-imag7uj2ptfxfsvv.jpeg?q=70,₹468,4.6,(32),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
KUMANA VALLAL / குமண வள்ளல்,"Tamil, Paperback, Ki. Va. Jaganathan",https://rukminim1.flixcart.com/image/612/612/l23mhzk0/book/x/q/3/kumana-vallal-original-imagdgzukx9qhyx8.jpeg?q=70,₹168,,,https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
The Trial,"English, Paperback, Kafka Franz",https://rukminim1.flixcart.com/image/612/612/xif0q/book/n/o/w/the-trial-original-imagmpj4ecapeayj.jpeg?q=70,₹312,4.5,(839),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Motivating Thoughts of Swami Vivekananda,"English, Paperback, Vivekananda Swami",https://rukminim1.flixcart.com/image/612/612/xif0q/book/s/t/l/motivating-thoughts-of-swami-vivekananda-original-imaggnmk9edg2g9b.jpeg?q=70,₹144,4.5,(57),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
ARTHASHASTRA,"English, Paperback, KAUTILYA",https://rukminim1.flixcart.com/image/612/612/xif0q/book/s/d/7/arthashastra-original-imafxt3hgjkbtnpr.jpeg?q=70,₹509,4.6,"(1,544)",https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Twelfth Fail,"English, Paperback, Anurag Pathak",https://rukminim1.flixcart.com/image/612/612/kwxv98w0/book/v/7/b/twelfth-fail-original-imag9gaw4bdmydnk.jpeg?q=70,₹154,4.7,(518),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Dr. B. R. Ambedkar,"English, Paperback, Maple Press",https://rukminim1.flixcart.com/image/612/612/xif0q/book/4/h/6/dr-b-r-ambedkar-original-imaggnxrdpgfzv9h.jpeg?q=70,₹69,4.6,(271),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Waiting for A Visa,"English, Undefined, Ambedkar Dr",https://rukminim1.flixcart.com/image/612/612/k6b2snk0/book/1/9/2/waiting-for-a-visa-original-imafzs3dwqrjdznd.jpeg?q=70,₹100,4.7,"(1,381)",https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
My Boyhood Days,"English, Paperback, Tagore Rabindranath",https://rukminim1.flixcart.com/image/612/612/kngd0nk0/book/z/a/j/my-boyhood-days-original-imag24h8fszqz6gm.jpeg?q=70,₹143,4.4,(78),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Master Stroke-8  - A Step-by-Step Drawing Series,"English, Paperback, Ramesh 'Manu'",https://rukminim1.flixcart.com/image/612/612/xif0q/book/s/s/r/master-stroke-8-original-imaghr53wxrexq8w.jpeg?q=70,₹176,4.4,(45),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Dr Bhimrao Ambedkar A Complete Biography,"English, Paperback, Kishore Pankaj",https://rukminim1.flixcart.com/image/612/612/xif0q/book/g/e/v/dr-bhimrao-ambedkar-a-complete-biography-original-imagky9w7esnkwtu.jpeg?q=70,₹193,4.4,(5),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Jeevani Dr. A P J Abudul Kalam,"Hindi, Paperback, Chand",https://rukminim1.flixcart.com/image/612/612/l3929ow0/book/p/0/h/jeevani-dr-a-p-j-abudul-kalam-original-imageexfpst3y5ze.jpeg?q=70,₹169,4.3,(20),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Eddie and Bingo,"English, Paperback, Taylor Kathleen",https://rukminim1.flixcart.com/image/612/612/kppt47k0/book/k/l/w/eddie-and-bingo-original-imag3wbf5fcbzehc.jpeg?q=70,"₹1,631",,,https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
"Endurance, Young Readers Edition","English, Hardcover, Kelly Scott",https://rukminim1.flixcart.com/image/612/612/l5jxt3k0/book/y/u/o/endurance-young-readers-edition-original-imagg7kbpsr4n97n.jpeg?q=70,"₹1,336",,,https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Little Heroes of Colour: 50 Who Made a BIG Difference,"English, Board book, Heredia David",https://rukminim1.flixcart.com/image/612/612/xif0q/book/u/x/q/little-heroes-of-colour-50-who-made-a-big-difference-original-imagf3syzh2ymgw6.jpeg?q=70,₹999,,,https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
"Dr. Ambedkar Rajneeti, Dharm Aur Samvidhan Vichar","Hindi, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/kiqbma80-0/book/v/r/x/dr-ambedkar-rajneeti-dharm-aur-samvidhan-vichar-original-imafygk4qgy5cctk.jpeg?q=70,₹476,4.7,(46),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Maria Montessori: Volume 23,"English, Hardcover, Sanchez Vegara Maria Isabel",https://rukminim1.flixcart.com/image/612/612/kzhbfrk0/book/t/n/y/maria-montessori-volume-23-original-imagbgtadhrfaeqh.jpeg?q=70,"₹1,080",,,https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Stephen Hawking: Volume 21,"English, Board book, Sanchez Vegara Maria Isabel",https://rukminim1.flixcart.com/image/612/612/kzfvzww0/book/v/o/b/stephen-hawking-volume-21-original-imagbfyfmzhuxha7.jpeg?q=70,₹734,,,https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
"Apne Samne (Jnanpith Award Winner,2005 )","Hardcover, Hindi, Kunwar Narain",https://rukminim1.flixcart.com/image/612/612/kpodocw0/regionalbooks/g/p/k/apne-samne-jnanpith-award-winner-2005-original-imag3uwcjdz9xx9c.jpeg?q=70,₹337,4.5,(128),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
My Experiments With Truth GANDHI–An Autobiography  - My Experiments With Truth GANDHI–An Autobiography with 1 Disc,"English, Paperback, M.K. Gandhi",https://rukminim1.flixcart.com/image/612/612/kiew3gw0-0/book/k/u/f/my-experiments-with-truth-gandhi-an-autobiography-original-imafy7mhg9yqngys.jpeg?q=70,₹199,4.4,(405),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Wings Of Fire,"Paperback, Arun Tiwari",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/m/z/p/wings-of-fire-original-imaggq42eyem5gjp.jpeg?q=70,₹175,4.3,(10),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Pursuit of Law and Order,"English, Paperback, A.P. Durai",https://rukminim1.flixcart.com/image/612/612/book/1/4/0/pursuit-of-law-and-order-original-imaeappjxzaycrgt.jpeg?q=70,₹383,4.1,(11),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
My Inventions  - Best Book to Read by Nikola Tesla,"English, Paperback, Tesla Nikola",https://rukminim1.flixcart.com/image/612/612/l3uhvgw0/book/q/x/t/my-inventions-original-imageveghmrwrrgn.jpeg?q=70,₹116,4.5,"(1,357)",https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Meri Jeevan Yatra,"Hindi, Book, Kalam A.P.J. Abdul",https://rukminim1.flixcart.com/image/612/612/kiqbma80-0/book/p/r/p/meri-jeevan-yatra-original-imafygpgr6qhswyh.jpeg?q=70,₹193,4.5,"(2,919)",https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
A Room of One's Own,"English, Paperback, Woolf Virginia",https://rukminim1.flixcart.com/image/612/612/xif0q/book/s/z/q/a-room-of-one-s-own-original-imaghyqpztqgqhhr.jpeg?q=70,₹119,4.5,(896),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Why I Am an Atheist,"English, Undefined, Singh Bhagat",https://rukminim1.flixcart.com/image/612/612/xif0q/book/s/a/t/why-i-am-an-atheist-original-imagh28fdmtvr9zn.jpeg?q=70,₹215,4.5,(321),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Becoming,"English, Hardcover, Obama Michelle",https://rukminim1.flixcart.com/image/612/612/kufuikw0/book/z/z/8/becoming-original-imag7jnzvj5yhfwy.jpeg?q=70,₹764,4.6,"(2,929)",https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Adolf Hitler,"English, Paperback, Bear Ileen",https://rukminim1.flixcart.com/image/612/612/kigbjbk0-0/book/z/j/e/adolf-hitler-original-imafy8uhfj6wgvfv.jpeg?q=70,₹353,5,(3),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Hatha Yoga Pradipika,"Tamil, Paperback, M Jayaraman",https://rukminim1.flixcart.com/image/612/612/xif0q/book/o/k/3/hatha-yoga-pradipika-original-imagh2akz77zfzd4.jpeg?q=70,₹449,,,https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
A Room Of One's Own,"English, Paperback, Woolf Virginia",https://rukminim1.flixcart.com/image/612/612/l45xea80/book/p/e/d/a-room-of-one-s-own-original-imagf4h6hyqrd7ry.jpeg?q=70,₹254,4.5,(896),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Persepolis I & II,"English, Paperback, Satrapi Marjane",https://rukminim1.flixcart.com/image/612/612/kufuikw0/book/a/o/1/persepolis-i-ii-original-imag7jn5cngaqhhv.jpeg?q=70,₹656,4.7,(785),https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Wings Of Fire: Book By Book By A. P. J. Abdul Kalam And Arun Tiwari - English,"Paperback, A. P. J. Abdul Kalam, Arun Tiwari",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/c/w/y/wings-of-fire-book-by-book-by-a-p-j-abdul-kalam-and-arun-tiwari-original-imaggfmj2vc6sxek.jpeg?q=70,₹195,,,https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
Never Too Young!,"English, Hardcover, Weintraub Aileen",https://rukminim1.flixcart.com/image/612/612/ki6bgcw0-0/book/x/g/z/never-too-young-original-imafyf34uzaubnzg.jpeg?q=70,"₹1,310",,,https://www.flipkart.com/search?q=autobiography+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=14,autobiography
