book_title,author,img,price,ratings,no_of_purchase,url,genre
Valentine's Day Disaster (Geronimo Stilton #23),"English, Paperback, Stilton Geronimo",https://rukminim1.flixcart.com/image/612/612/kialrww0-0/book/1/v/l/geronimo-stilton-23-valentine-s-day-disaster-original-imafy47z7agerpda.jpeg?q=70,₹242,4.6,(78),https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
PopularMMOs Presents Zombies' Day Off,"English, Paperback, PopularMMOs",https://rukminim1.flixcart.com/image/612/612/l0sgyvk0/book/p/w/j/popularmmos-presents-zombies-day-off-original-imagcgdyn9dwnpuy.jpeg?q=70,₹479,,,https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
Nimona,"English, Paperback, Stevenson ND",https://rukminim1.flixcart.com/image/612/612/xif0q/book/i/t/4/nimona-original-imagmnvpwv2dm7gg.jpeg?q=70,₹899,4.6,(8),https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
Early Year Series For Kids | Pack Of 10 Books | Super Jumbo Combo For Collecters And Library Story Books,"Paperback, Manoj Publications Editorial Board",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/5/6/a/early-year-series-for-kids-pack-of-10-books-super-jumbo-combo-original-imagh84cegn39jby.jpeg?q=70,₹489,4.4,(7),https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
Basil in Mexico,"English, Paperback, Titus Eve",https://rukminim1.flixcart.com/image/612/612/k0r15e80/book/0/7/9/basil-in-mexico-original-imafkhfhahgaw8he.jpeg?q=70,₹159,,,https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
Journey to the Edge of the Earth: True Adventure of Naval Officer Abhilash Tomy,"English, Paperback, Fernandes Joeanna Rebello",https://rukminim1.flixcart.com/image/612/612/l3929ow0/book/l/i/v/journey-to-the-edge-of-the-earth-true-adventure-of-naval-officer-original-imagef5sm6bvghfc.jpeg?q=70,₹279,4.9,(12),https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
Disney My First Stories: Woody Goes Back to School,"English, Hardcover, Walt Disney",https://rukminim1.flixcart.com/image/612/612/l3vxbbk0/book/9/p/h/disney-my-first-stories-woody-goes-back-to-school-original-imagewegghkpg8dk.jpeg?q=70,₹245,,,https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
Mayavi Amba Aur Shaitan,"Hindi, Paperback, Lakhera Richa",https://rukminim1.flixcart.com/image/612/612/xif0q/book/o/8/z/mayavi-amba-aur-shaitan-original-imagmpmppvrhygvv.jpeg?q=70,₹255,,,https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
The Rose Society (The Young Elites book 2),"English, Paperback, Lu Marie",https://rukminim1.flixcart.com/image/612/612/kufuikw0/book/a/n/n/the-rose-society-the-young-elites-book-2-original-imag7jntb2tgjfnz.jpeg?q=70,₹450,4.5,(4),https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
Captain Underpants and the Tyrannical Retaliation of the Turbo Toilet 2000,"English, Paperback, Pilkey Dav",https://rukminim1.flixcart.com/image/612/612/ki6bgcw0-0/book/i/r/b/captain-underpants-and-the-tyrannical-retaliation-of-the-turbo-original-imafyyrhweyadgsn.jpeg?q=70,₹221,4.5,(170),https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
Nava Durga,"English, Paperback, Ramachandran Nalini",https://rukminim1.flixcart.com/image/612/612/khdqnbk0/book/4/8/5/nava-durga-the-nine-forms-of-the-goddess-original-imafxeqkh5hhpshg.jpeg?q=70,₹209,4.9,(9),https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
The Price of Our Silence,"English, Paperback, Falki Hanadi",https://rukminim1.flixcart.com/image/612/612/kl6wx3k0/book/i/l/a/the-price-of-our-silence-original-imaesksjejukphwh.jpeg?q=70,₹193,,,https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
Wereworld: Storm of Sharks (Book 5),"English, Paperback, Jobling Curtis",https://rukminim1.flixcart.com/image/612/612/kufuikw0/book/z/l/e/wereworld-storm-of-sharks-book-5-original-imag7jmwkaqynrtm.jpeg?q=70,₹332,4.7,(3),https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
Moonkind,"English, Paperback, Prineas Sarah",https://rukminim1.flixcart.com/image/612/612/kk4c13k0/book/o/g/c/moonkind-original-imafzjmgqhbfrqu6.jpeg?q=70,₹319,,,https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
The Secret Garden,"English, Paperback, Burnett Frances Hodgson",https://rukminim1.flixcart.com/image/612/612/l3vxbbk0/book/u/g/b/the-secret-garden-original-imagew8ba82vnvyz.jpeg?q=70,"₹1,351",4.5,"(2,060)",https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
Lokpriya Jatak Kathayen,"Hindi, Hardcover, Sharma Mahesh Dutt",https://rukminim1.flixcart.com/image/612/612/kiqbma80-0/book/g/i/u/lokpriya-jatak-kathayen-original-imafygqztg5nfexg.jpeg?q=70,₹290,4.4,(51),https://www.flipkart.com/search?q=adventure+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,adventure stories
