book_title,author,img,price,ratings,no_of_purchase,url,genre
Crime and Punishment,"English, Paperback, Dostoevsky Fyodor",https://rukminim1.flixcart.com/image/612/612/ktvucnk0/book/c/f/h/crime-and-punishment-original-imag74gcr46mwxjt.jpeg?q=70,₹498,4.4,(631),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
A Cruel Necessity A John Grey Historical Mystery Book 1,"Paperback, L.C. Tyler",https://rukminim1.flixcart.com/image/612/612/l1nwnm80/regionalbooks/j/5/v/a-cruel-necessity-a-john-grey-historical-mystery-book-1-original-imagd6dnm4qczzzs.jpeg?q=70,₹764,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
The Outsider,"English, Paperback, King Stephen",https://rukminim1.flixcart.com/image/612/612/kzfvzww0/book/c/8/z/the-outsider-original-imagbgcbkuehyhkn.jpeg?q=70,₹337,4.5,(258),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Cyber Crimes,"English, Paperback, Pitts Vannesa",https://rukminim1.flixcart.com/image/612/612/jobsbrk0/book/7/0/9/cyber-crimes-original-imafatzyayfhk5yz.jpeg?q=70,₹291,4.2,(14),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
THE CASE-BOOK OF SHERLOCK HOLMES,"English, Paperback, Arthur Conan Doyle",https://rukminim1.flixcart.com/image/612/612/jkvh0nk0/book/0/4/6/the-case-book-of-sherlock-holmes-original-imaf84gk9kzrzpuf.jpeg?q=70,₹110,4.5,(93),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Over My Dead Body,"English, Paperback, Archer Jeffrey",https://rukminim1.flixcart.com/image/612/612/l3ahpjk0/book/u/t/u/over-my-dead-body-original-imagegayesf5hzwh.jpeg?q=70,₹352,4.8,(8),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Murder in Mesopotamia,"English, Paperback, Christie Agatha",https://rukminim1.flixcart.com/image/612/612/l0sgyvk0/book/8/h/x/murder-in-mesopotamia-original-imagcgc7qybvbhcx.jpeg?q=70,₹292,4.5,(178),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Two Indian Girls  - Book 1 of The Kanke Killings Trilogy (Read the Prequel - Ritualistic Murder before reading this novel): An Indian detective on the crime scene building up to gut-wrenching crime thrillers and mysteries. A Page Turner.,"English, Paperback, Kinshuk Kumar",https://rukminim1.flixcart.com/image/612/612/kxrvi4w0/book/r/v/f/two-indian-girls-original-imaga58grurnu9fa.jpeg?q=70,₹190,4.1,(67),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
The English Girl,"English, Paperback, Silva Daniel",https://rukminim1.flixcart.com/image/612/612/xif0q/book/4/y/a/the-english-girl-original-imagjyue6cckbtqk.jpeg?q=70,₹372,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Lethal White  - A Strike Novel,"English, Paperback, Galbraith Robert",https://rukminim1.flixcart.com/image/612/612/jsnjbm80/book/8/5/8/lethal-white-original-imaf7hf4uqs4f68w.jpeg?q=70,₹523,4.7,(215),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Skinless,"English, Paperback, Moor Maggie",https://rukminim1.flixcart.com/image/612/612/kqb8pzk0/book/0/n/y/skinless-original-imag4c78wgyzfg2e.jpeg?q=70,₹638,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
The Thirty-Nine Steps,"English, Paperback, Buchan John",https://rukminim1.flixcart.com/image/612/612/kj0bp8w0-0/book/w/m/s/the-thirty-nine-steps-original-imafyzb3u4hghyyy.jpeg?q=70,₹200,4.2,(25),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Courts and Criminals,"English, Paperback, Train Arthur",https://rukminim1.flixcart.com/image/612/612/jtvtz0w0/book/3/3/4/courts-and-criminals-original-imaff55f9cgvg5hn.jpeg?q=70,₹263,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Inadmissible,"English, Hardcover, Eberly Kimbra",https://rukminim1.flixcart.com/image/612/612/kx3l0nk0/book/9/q/8/inadmissible-the-case-of-lizzie-borden-and-other-murderous-women-original-imag9mps8sm3xshg.jpeg?q=70,"₹1,489",,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
"History of the Impeachment of Andrew Johnson, President of The United States By The House Of Representatives and His Trial by The Senate for High Crimes and Misdemeanors in Office","English, Paperback, Ross Edmund G",https://rukminim1.flixcart.com/image/612/612/jtg44nk0/book/3/0/3/history-of-the-impeachment-of-andrew-johnson-president-of-the-original-imafes8sh6zpcfgy.jpeg?q=70,₹307,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
The Mystery Box,"English, Paperback, Dessai Roma N",https://rukminim1.flixcart.com/image/612/612/kvvad8w0/book/3/n/q/the-mystery-box-original-imag8nyfr2ezpebs.jpeg?q=70,₹200,4.4,(38),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
The Complete and Essential Jack the Ripper,"English, Paperback, Begg Paul",https://rukminim1.flixcart.com/image/612/612/kufuikw0/book/i/m/a/the-complete-and-essential-jack-the-ripper-original-imag7jv5f9brm9zt.jpeg?q=70,₹349,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Online Cyber Crime (Cyber Fraud),"Paperback, Hindi, Deepak Ratan, M.H. Zaidi",https://rukminim1.flixcart.com/image/612/612/l4bn5ow0/regionalbooks/y/u/n/online-cyber-crime-cyber-fraud-original-imagf8u3h2byznyy.jpeg?q=70,₹736,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
McMafia: Seriously Organised Crime,"Paperback, Misha Glenny",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/q/3/v/mcmafia-seriously-organised-crime-original-imaggxapwuerynmg.jpeg?q=70,₹890,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
"Most Exciting Thriller Novels Set Of 4. This Crime Thriller Books Set Of 4 Includes, To The Lighthouse By Virginia Woolf, Lord Jim By Joseph Conrad, Ulysses By James Joyce, 20000 Leagues Under The Sea  - This Crime Thriller Books Set Of 4 Includes, To The Lighthouse By Virginia Woolf, Lord Jim By Joseph Conrad, Ulysses By James Joyce, 20000 Leagues Under The Sea with 1 Disc","Paperback, James Joyce, Virginia Woolf, Joseph Conrad",https://rukminim1.flixcart.com/image/612/612/kt4ozgw0/book/v/n/y/most-exciting-thriller-novels-set-of-4-this-crime-thriller-books-original-imag6jn4j9t7agph.jpeg?q=70,₹449,4.2,(9),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Joyanta-Manik Samagra 3,"Hardcover, Bengali, Hemendra Kumar Roy",https://rukminim1.flixcart.com/image/612/612/k6xxua80/regionalbooks/4/d/u/joyanta-manik-samagra-3-original-imafp9rx596hcnrb.jpeg?q=70,₹450,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Murder in Mesopotamia,"English, Hardcover, Christie Agatha",https://rukminim1.flixcart.com/image/612/612/l1mh7rk0/book/j/l/i/murder-in-mesopotamia-original-imagd5nvcck7pxxw.jpeg?q=70,₹293,4.5,(178),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
After the Funeral,"English, Paperback, Christie Agatha",https://rukminim1.flixcart.com/image/612/612/l0sgyvk0/book/h/p/l/after-the-funeral-original-imagcgc7tkhvc7za.jpeg?q=70,₹290,4.5,(174),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Crime And Punishment,"English, Paperback, Dostoevsky Fyodor",https://rukminim1.flixcart.com/image/612/612/kbtp0280/book/7/1/2/crime-and-punishment-original-imaft2hk6acsbugq.jpeg?q=70,₹646,4.4,(631),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
"Ritualistic Murder  - A Prequel (Book 0) to The Kanke Killings Trilogy. A riveting, gripping, mind-numbing, edge-of-the-seat thriller like no other. Get into thrilling action from the first page.","English, Paperback, Kinshuk Kumar",https://rukminim1.flixcart.com/image/612/612/kvvad8w0/book/r/o/i/ritualistic-murder-original-imag8zeggfekpqxg.jpeg?q=70,₹162,4.4,(57),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
The Mysterious Affair at Styles,"English, Hardcover, Christie Agatha",https://rukminim1.flixcart.com/image/612/612/xif0q/book/u/q/x/the-mysterious-affair-at-styles-original-imagh9ehrempgxyu.jpeg?q=70,₹587,4.4,"(2,099)",https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
And Then There Were None,"English, Paperback, Christie Agatha",https://rukminim1.flixcart.com/image/612/612/k91o6fk0/book/4/8/8/and-then-there-were-none-original-imafqx8dgmgmxfm6.jpeg?q=70,₹813,4.6,"(9,273)",https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Annihilation of Caste & Waiting for a Visa,"English, Paperback, Ambedkar B R",https://rukminim1.flixcart.com/image/612/612/ks99aq80/book/y/h/v/annihilation-of-caste-waiting-for-a-visa-original-imag5uz7hveph4rd.jpeg?q=70,₹331,4.2,(13),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
The Murder on the Links,"English, Paperback, Christie Agatha",https://rukminim1.flixcart.com/image/612/612/l0vbukw0/book/o/g/m/the-murder-on-the-links-original-imagcjmqfu3jghmn.jpeg?q=70,₹166,4.5,(742),https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
The Chronicles Of Crime (Volume II),"English, Paperback, Pelham Camden",https://rukminim1.flixcart.com/image/612/612/l1xwqkw0/book/b/y/b/the-chronicles-of-crime-volume-ii-original-imagdecnpebfjtxh.jpeg?q=70,"₹1,115",,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Spies in the Family,"English, Paperback, Dillon Eva",https://rukminim1.flixcart.com/image/612/612/kk4c13k0/book/h/z/a/spies-in-the-family-original-imafzjmeehhtaexq.jpeg?q=70,₹559,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
"A True Crime Non-Fiction Series About Dangerous Serial Killers Of 4 Volumes Combined|| Hariye Jawa Khunira Set ( Hariye Jawa Khunira Vol 1, Babu O Barbanita, Mrityu Medel, Jantu) || Debarati Mukhapadhaya","Hardcover, Bengali, Debarati Mukhapadhaya",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/o/k/w/a-true-crime-non-fiction-series-about-dangerous-serial-killers-original-imagmh36e22rscar.jpeg?q=70,₹950,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Celebrated Crimes (Volume II),"English, Paperback, Dumas Alexandre",https://rukminim1.flixcart.com/image/612/612/kjym9ow0/book/5/n/c/celebrated-crimes-volume-ii-original-imafzeemynbbmeuh.jpeg?q=70,₹388,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Unbelievable,"English, Paperback, Miller T. Christian",https://rukminim1.flixcart.com/image/612/612/kufuikw0/book/m/c/i/unbelievable-the-shocking-truth-behind-the-hit-netflix-series-original-imag7k8d7fjchx2t.jpeg?q=70,₹399,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
The Expressman And The Detective,"English, Paperback, Pinkerton Allan",https://rukminim1.flixcart.com/image/612/612/jwmfcsw0/book/6/5/5/the-expressman-and-the-detective-original-imafh9azjcyhg6hf.jpeg?q=70,₹384,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
The Most Famous & Popular Detective Character Of Any Time Among All Crime Fictions For His Extraordinary And Classic Appeal : The Complete Sherlock Holmes (2 Volume Box Set),"Paperback, Arthur Conan Doyale",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/l/8/v/the-most-famous-popular-detective-character-of-any-time-among-original-imagp9wnw6wthzhy.jpeg?q=70,₹595,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Two Great Combo Of Mine Kampf + Crime Punishment,"Paperback, Fyodor Dostoyevskiy",https://rukminim1.flixcart.com/image/612/612/l48s9zk0/regionalbooks/l/g/9/two-great-combo-of-mine-kampf-crime-punishment-original-imagf6p2de9mgfec.jpeg?q=70,₹399,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Supreme Court Key Points For Criminal Practice,"Hardcover, Sidharth Mudgal Hemant Gambhir",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/h/4/x/supreme-court-key-points-for-criminal-practice-original-imagjt7b8xzwayxe.jpeg?q=70,₹999,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Ib's Endless Search For Satisfaction,"Paperback, Roshan Ali",https://rukminim1.flixcart.com/image/612/612/l4x2rgw0/regionalbooks/3/g/t/ib-s-endless-search-for-satisfaction-original-imagfpezzxeuqfkh.jpeg?q=70,₹225,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
Ties of Blood: A riveting investigative thriller A gripping crime thriller,"English, Paperback, Kewalramani Niti",https://rukminim1.flixcart.com/image/612/612/xif0q/book/c/a/n/ties-of-blood-a-riveting-investigative-thriller-a-gripping-crime-original-imagnjmndkthrhg6.jpeg?q=70,₹265,,,https://www.flipkart.com/search?q=crime+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=16,crime
