book_title,author,img,price,ratings,no_of_purchase,url,genre
"Undead Unluck, Vol. 5","English, Paperback, Tozuka Yoshifumi",https://rukminim1.flixcart.com/image/612/612/kt1u3rk0/book/u/v/k/undead-unluck-vol-5-original-imag6hhp6evmrzwe.jpeg?q=70,₹559,,,https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
RWBY,"English, Paperback, Miwa Shirow",https://rukminim1.flixcart.com/image/612/612/kigbjbk0-0/book/x/a/j/rwby-original-imafy8v782kucbqn.jpeg?q=70,₹947,,,https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
Chandeliers and Champagne,"Paperback, Writer's Pocket",https://rukminim1.flixcart.com/image/612/612/xif0q/book/u/8/e/chandeliers-and-champagne-original-imagn45vnxgzzvwk.jpeg?q=70,₹189,,,https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
"Gulliver's Travels (World Classics, Unabridged)","English, Paperback, Swift Jonathan",https://rukminim1.flixcart.com/image/612/612/l1nwnm80/book/j/y/0/gulliver-s-travels-world-classics-unabridged-original-imafb98brfdykt2f.jpeg?q=70,₹198,4.6,(10),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
Rising Like a Storm,"English, Paperback, Bhathena Tanaz",https://rukminim1.flixcart.com/image/612/612/kmax8y80/book/y/i/e/rising-like-a-storm-original-imagf8ed4dz6249f.jpeg?q=70,₹279,4.4,(16),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
Harry Potter and the Chamber of Secrets – Ravenclaw Edition,"English, Hardcover, Rowling J.K.",https://rukminim1.flixcart.com/image/612/612/xif0q/book/0/g/a/harry-potter-and-the-chamber-of-secrets-ravenclaw-edition-original-imaghfkfpmvdztt8.jpeg?q=70,₹599,4.6,(144),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
The Mime Order,"English, Paperback, Shannon Samantha",https://rukminim1.flixcart.com/image/612/612/l3929ow0/book/e/f/s/the-mime-order-original-imageey75gckzgax.jpeg?q=70,₹364,4.4,(13),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
Chandrakanta,"Hindi, Paperback, Nandan Devaki Khatri",https://rukminim1.flixcart.com/image/612/612/kzrbiq80/book/z/d/2/chandrakanta-original-imagbzeyau3gjdzd.jpeg?q=70,₹215,4.3,(41),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
Road Brothers,"English, Paperback, Lawrence Mark",https://rukminim1.flixcart.com/image/612/612/l0igvww0/book/n/w/9/road-brothers-original-imagcah6xhjnrkzb.jpeg?q=70,₹241,,,https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
The Mask Falling,"English, Paperback, Shannon Samantha",https://rukminim1.flixcart.com/image/612/612/l3929ow0/book/e/g/n/the-mask-falling-original-imageexu3rxsjht9.jpeg?q=70,₹387,5,(2),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
Kailash Dwara,"English, Paperback, Vishesh",https://rukminim1.flixcart.com/image/612/612/k31wosw0/book/6/0/1/kailash-dwara-original-imafm9tuq5jezntu.jpeg?q=70,₹205,4.5,(22),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
Nixie the Mermaid and the Power of Love,"English, Paperback, Suryavanshi Digangana",https://rukminim1.flixcart.com/image/612/612/book/1/4/8/nixie-the-mermaid-and-the-power-of-love-original-imaefm5rcg8j6tgw.jpeg?q=70,₹210,4.5,(12),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
The Alluring brume,"English, Paperback, Bukhari Syed Sakish",https://rukminim1.flixcart.com/image/612/612/kx50gi80/book/v/f/h/the-alluring-brume-original-imag9nm4hrjbg43c.jpeg?q=70,₹100,,,https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
"Satyayoddha Kalki, Brahma Ka Netra","Hindi, Paperback, Missal Kevin",https://rukminim1.flixcart.com/image/612/612/xif0q/book/s/j/6/satyayoddha-kalki-brahma-ka-netra-book-2-hindi-translation-of-original-imagjy9ghjyzdekg.jpeg?q=70,₹219,4.4,(183),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
A Court of Thorns and Roses Paperback Box Set (5 books),"English, Multiple copy pack, Maas Sarah J.",https://rukminim1.flixcart.com/image/612/612/xif0q/book/h/3/4/a-court-of-thorns-and-roses-paperback-box-set-5-books-original-imaghf2eztmf4raz.jpeg?q=70,"₹2,418",,,https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
The Arabian Nights Entertainments,"English, Paperback, Lang Andrew",https://rukminim1.flixcart.com/image/612/612/kdnf98w0/book/0/4/4/the-arabian-nights-entertainments-original-imafug57vf4zhvyg.jpeg?q=70,₹336,,,https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
The Dragon Republic,"English, Paperback, Kuang R.F.",https://rukminim1.flixcart.com/image/612/612/l2hwwi80/book/9/d/o/the-dragon-republic-original-imagdt8ecyeaakqd.jpeg?q=70,₹444,4.8,(26),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
Shangri-La Frontier 2,"English, Paperback, Fuji Ryosuke",https://rukminim1.flixcart.com/image/612/612/l5ld8y80/book/z/h/f/shangri-la-frontier-2-original-imagg7seszczn9hh.jpeg?q=70,₹820,,,https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
"Platinum End, Vol. 11","English, Paperback, Ohba Tsugumi",https://rukminim1.flixcart.com/image/612/612/kkbh8cw0/book/0/d/y/platinum-end-vol-11-original-imafzzphwehkqkqg.jpeg?q=70,₹647,,,https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
Women In Love,"English, Paperback, Lawrence D H",https://rukminim1.flixcart.com/image/612/612/kbtp0280/book/0/5/5/women-in-love-original-imaft2kvxhzxzcfw.jpeg?q=70,₹646,3.7,(9),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
"Yu-Gi-Oh! (2-in-1 Edition), Vol. 13","English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/kigbjbk0-0/book/w/p/j/yu-gi-oh-2-in-1-edition-vol-13-original-imafy92qqfzebgju.jpeg?q=70,₹947,,,https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
A Tale of Four Dervishes,"English, Paperback, Amman Mir",https://rukminim1.flixcart.com/image/612/612/kk8mcnk0/book/n/x/e/a-tale-of-four-dervishes-original-imafzm3svffgzq38.jpeg?q=70,₹199,4.3,(27),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
The Pataala Prophecy 2: The Mists of Brahma,"English, Paperback, Doyle Christopher C",https://rukminim1.flixcart.com/image/612/612/k1s6ljk0/book/6/7/9/the-pataala-prophecy-2-the-mists-of-brahma-original-imafh5gmzfbvhcgz.jpeg?q=70,₹226,4.6,(55),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
Alice's Adventures In Wonderland,"English, Paperback, Carroll Lewis",https://rukminim1.flixcart.com/image/612/612/k4x2du80/book/0/1/7/alice-s-adventures-in-wonderland-original-imafnpuqe3jdyzuv.jpeg?q=70,₹175,4.4,(374),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
The Song Rising,"English, Paperback, Shannon Samantha",https://rukminim1.flixcart.com/image/612/612/l3929ow0/book/x/a/t/the-song-rising-original-imageffzpv9rvha6.jpeg?q=70,₹429,4.4,(15),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
Carnivalesque,"English, Paperback, Jordan Neil",https://rukminim1.flixcart.com/image/612/612/xif0q/book/x/o/e/carnivalesque-original-imagees7nhzw97mv.jpeg?q=70,₹429,4,(4),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
Of Smokeless Fire,"English, Hardcover, Jafri A.A.",https://rukminim1.flixcart.com/image/612/612/kxrvi4w0/book/b/2/4/of-smokeless-fire-original-imaga4wwkh7kmfcy.jpeg?q=70,₹246,,,https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
1984,"English, Paperback, Orwell George",https://rukminim1.flixcart.com/image/612/612/k186fm80/book/6/6/3/1984-original-imafktyhgrztw9ah.jpeg?q=70,₹331,4.5,"(13,485)",https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
Harry Potter and the Goblet of Fire - Hufflepuff Edition,"English, Paperback, Rowling J. K.",https://rukminim1.flixcart.com/image/612/612/l3929ow0/book/t/m/m/harry-potter-and-the-goblet-of-fire-hufflepuff-edition-original-imagef55tfwedwwm.jpeg?q=70,₹532,4.6,(123),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
Ahalya,"English, Paperback, Dasgupta Koral",https://rukminim1.flixcart.com/image/612/612/l3dcl8w0/book/4/a/j/ahalya-original-imagegh8vyavnbsh.jpeg?q=70,₹245,4.3,(73),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
The Dragon Reborn,"English, Paperback, Jordan Robert",https://rukminim1.flixcart.com/image/612/612/kzfvzww0/book/f/p/b/the-dragon-reborn-original-imagbfrjgqwkyafp.jpeg?q=70,₹419,4.7,(52),https://www.flipkart.com/search?q=fantasy+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=3,fantasy
