book_title,author,img,price,ratings,no_of_purchase,url,genre
Shriman Yogi,"Marathi, Paperback, DESAI RANJEET",https://rukminim1.flixcart.com/image/612/612/k7nnrm80/book/4/0/3/shrimanyogi-original-imafpuc6xahhrekz.jpeg?q=70,₹660,4.7,"(1,036)",https://www.flipkart.com/search?q=historical+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,historical fiction
Man Me Hai Vishwaas,"Marathi, Paperback, Patil Vishwas Nangre",https://rukminim1.flixcart.com/image/612/612/book/6/2/0/man-me-hai-vishwas-marathi-original-imaejmkmgrevtdyz.jpeg?q=70,₹155,4.6,"(2,176)",https://www.flipkart.com/search?q=historical+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,historical fiction
The Carpet Weaver,"English, Hardcover, Sadat Nemat",https://rukminim1.flixcart.com/image/612/612/jusp3m80/book/0/4/8/the-carpet-weaver-original-imafftgcbmwkpfew.jpeg?q=70,₹419,4.6,(248),https://www.flipkart.com/search?q=historical+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,historical fiction
Chanakya Neeti,"Hindi, Book, Chanakya",https://rukminim1.flixcart.com/image/612/612/kydb3ww0/book/h/c/7/-original-imagam3fpxcfep6y.jpeg?q=70,₹291,4.5,"(1,197)",https://www.flipkart.com/search?q=historical+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,historical fiction
Aurangzeb,"English, Paperback, Truschke Audrey",https://rukminim1.flixcart.com/image/612/612/ki7qw7k0-0/book/k/5/m/aurangzeb-original-imafy2dzxrs2ragh.jpeg?q=70,₹209,4.5,(793),https://www.flipkart.com/search?q=historical+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,historical fiction
"Escape from Harem: A Mughal Saga of Romance, Revenge and Retribution","English, Paperback, Tanushree Podder",https://rukminim1.flixcart.com/image/612/612/book/7/6/5/escape-from-harem-a-mughal-saga-of-romance-revenge-and-retribution-original-imadgawjwysea8gh.jpeg?q=70,₹316,4.2,(59),https://www.flipkart.com/search?q=historical+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,historical fiction
The Book Thief,"English, Paperback, Zusak Markus",https://rukminim1.flixcart.com/image/612/612/kvcpn680/book/w/v/t/the-book-thief-original-imag896rd4gnk9yv.jpeg?q=70,₹329,4.6,"(7,374)",https://www.flipkart.com/search?q=historical+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,historical fiction
Far Beyond the Dead End,"English, Paperback, Baksi Saikat",https://rukminim1.flixcart.com/image/612/612/kialrww0-0/book/s/k/k/far-beyond-the-dead-end-original-imafy4jxavgfzgfw.jpeg?q=70,₹94,4.3,(362),https://www.flipkart.com/search?q=historical+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,historical fiction
The Secret Of The Nagas (Shiva Trilogy Book 2),"English, Paperback, Tripathi Amish",https://rukminim1.flixcart.com/image/612/612/xif0q/book/q/r/p/the-secret-of-the-nagas-shiva-trilogy-book-2-original-imagjyt9chuhunhr.jpeg?q=70,₹270,4.1,(69),https://www.flipkart.com/search?q=historical+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,historical fiction
The Sialkot Saga,"English, Paperback, Sanghi Ashwin",https://rukminim1.flixcart.com/image/612/612/l4fxh8w0/book/x/q/o/the-sialkot-saga-original-imagfc9cm46npndg.jpeg?q=70,₹369,4.3,"(1,940)",https://www.flipkart.com/search?q=historical+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,historical fiction
