book_title,author,img,price,ratings,no_of_purchase,url,genre
All Men Are Ghosts,"English, Paperback, Jacks Lawrence Pearsall",https://rukminim1.flixcart.com/image/612/612/kgpg5u80/book/7/0/7/all-men-are-ghosts-original-imafwvpeskpgjrvt.jpeg?q=70,₹308,,,https://www.flipkart.com/search?q=horror+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,horror
Carmilla,"English, Paperback, Fanu Joseph Sheridan Le",https://rukminim1.flixcart.com/image/612/612/kjym9ow0/book/y/5/u/carmilla-original-imafzefagm7zfxuf.jpeg?q=70,₹264,,,https://www.flipkart.com/search?q=horror+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,horror
Bhai Muje Bacha lo / भाई मुझे बचा लो,"Hindi, Paperback, Patil Bhushan",https://rukminim1.flixcart.com/image/612/612/kzpw2vk0/book/o/c/r/bhai-muje-bacha-lo-original-imagbnxwzthg3hfg.jpeg?q=70,₹149,,,https://www.flipkart.com/search?q=horror+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,horror
Frankenstein,"English, Paperback, Shelley Mary",https://rukminim1.flixcart.com/image/612/612/xif0q/book/a/9/w/frankenstein-original-imafb9t9pxfwzzhb.jpeg?q=70,₹169,4.5,"(2,912)",https://www.flipkart.com/search?q=horror+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,horror
Deep in the Jungle of Doom,"English, Paperback, Stine R. L.",https://rukminim1.flixcart.com/image/612/612/jpinjbk0/book/6/8/1/deep-in-the-jungle-of-doom-original-imafbqu6xgxrvvgx.jpeg?q=70,₹188,3.5,(11),https://www.flipkart.com/search?q=horror+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,horror
Scream and Scream Again!,"English, Hardcover, Stine R.L.",https://rukminim1.flixcart.com/image/612/612/kk4c13k0/book/c/b/p/scream-and-scream-again-original-imafzje4hbq6phbt.jpeg?q=70,₹999,3.7,(3),https://www.flipkart.com/search?q=horror+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,horror
Pan's Realm,"English, Paperback, Pike Christopher",https://rukminim1.flixcart.com/image/612/612/kiulxu80-0/book/o/o/8/pan-s-realm-volume-8-original-imafyja8qn7vyych.jpeg?q=70,₹347,,,https://www.flipkart.com/search?q=horror+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,horror
The Dead Woman Writing,"English, Paperback, Pillai Rajat",https://rukminim1.flixcart.com/image/612/612/l23mhzk0/book/i/0/x/the-dead-woman-writing-original-imagdgphcsggysaw.jpeg?q=70,₹140,4.4,(140),https://www.flipkart.com/search?q=horror+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,horror
Miss Peregrine's Home for Peculiar Children,"English, Paperback, Riggs Ransom",https://rukminim1.flixcart.com/image/612/612/xif0q/book/f/o/a/miss-peregrine-s-home-for-peculiar-children-original-imaggew8ugndvvmy.jpeg?q=70,₹584,4.4,(168),https://www.flipkart.com/search?q=horror+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,horror
A Storm of Emotions,"Paperback, Fahmida Tasneem",https://rukminim1.flixcart.com/image/612/612/xif0q/book/w/7/c/a-storm-of-emotions-original-imagzt4szm5g4px7.jpeg?q=70,₹139,,,https://www.flipkart.com/search?q=horror+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,horror
Cinematic Emotion in Horror Films and Thrillers,"English, Paperback, Hanich Julian",https://rukminim1.flixcart.com/image/612/612/xif0q/book/4/p/a/cinematic-emotion-in-horror-films-and-thrillers-original-imagkfzfrpfysamm.jpeg?q=70,"₹2,698",,,https://www.flipkart.com/search?q=horror+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,horror
Three Ghost Stories,"English, Paperback, Dickens Charles",https://rukminim1.flixcart.com/image/612/612/kcc9q4w0/book/3/2/4/three-ghost-stories-original-imafthkrh6nzqggs.jpeg?q=70,₹125,5,(4),https://www.flipkart.com/search?q=horror+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,horror
Peter Pan in Kensington Gardens,"Paperback, J. M. Barrie",https://rukminim1.flixcart.com/image/612/612/xif0q/book/t/q/z/peter-pan-in-kensington-gardens-original-imagj5xvbutx6yqe.jpeg?q=70,₹99,,,https://www.flipkart.com/search?q=horror+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,horror
The Centaur,"English, Paperback, Blackwood Algernon",https://rukminim1.flixcart.com/image/612/612/kjx6tu80/book/j/f/3/the-centaur-original-imafze2fgrrqjtqc.jpeg?q=70,₹445,,,https://www.flipkart.com/search?q=horror+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=18,horror
