book_title,author,img,price,ratings,no_of_purchase,url,genre
Paradise Lost,"English, Paperback, Milton John",https://rukminim1.flixcart.com/image/612/612/xif0q/book/f/n/p/paradise-lost-original-imaf9evpx8ym94rs.jpeg?q=70,"₹1,338",4.4,"(1,191)",https://www.flipkart.com/search?q=poetry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,poetry
The Odyssey,"English, Hardcover, Homer",https://rukminim1.flixcart.com/image/612/612/kufuikw0/book/l/w/w/the-odyssey-original-imag7jh59kuhbedg.jpeg?q=70,₹639,4.3,(287),https://www.flipkart.com/search?q=poetry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,poetry
CHITA KOHAD,"Punjabi, Paperback, GAGANDEEP SINGH",https://rukminim1.flixcart.com/image/612/612/kqfj1jk0/book/b/v/l/chita-kohad-original-imag4fuveaqz4nuj.jpeg?q=70,₹86,4.5,(4),https://www.flipkart.com/search?q=poetry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,poetry
Scanner Cost Accounting (Paper 8 | Group 1) | 2022 Syllabus | June 2023 Exam,"Shuchita Prakashan (P) Ltd., Prof. Arun Kumar, CA Mohit Bahal, CS (Dr.) Himanshu Srivastava",https://rukminim1.flixcart.com/image/612/612/xif0q/book/h/z/c/scanner-cost-accounting-paper-8-group-1-2022-syllabus-june-2023-original-imagmv88p9xgmffg.jpeg?q=70,₹260,,,https://www.flipkart.com/search?q=poetry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,poetry
Charag,"Hindi, Paperback, Barelvi Waseem",https://rukminim1.flixcart.com/image/612/612/xif0q/book/v/s/f/charag-original-imagk4pbrpgqpzvg.jpeg?q=70,₹246,4.6,(145),https://www.flipkart.com/search?q=poetry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,poetry
"100 Selected Poems, Emily Dickinson","English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/kqidx8w0/book/b/w/n/100-selected-poems-emily-dickinson-original-imag4gcxm6dnfrhh.jpeg?q=70,₹239,4.7,(479),https://www.flipkart.com/search?q=poetry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,poetry
Match Annual 2021,"English, Hardcover, MATCH",https://rukminim1.flixcart.com/image/612/612/kzpw2vk0/book/3/k/3/match-annual-2021-original-imagbnutyzkvvymq.jpeg?q=70,₹315,4.5,(4),https://www.flipkart.com/search?q=poetry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,poetry
Scanner Green Edition for Financial Accounting (Paper 6 | CMA Inter Group 1) - Including questions and solutions of December 2022 | 2022 Syllabus | New Syllabus | June 2023 Exam,"Shuchita Prakashan (P) Ltd., Prof. Arun Kumar, CA Mohit Bahal, CS (Dr.) Himanshu Srivastava",https://rukminim1.flixcart.com/image/612/612/xif0q/book/d/b/b/scanner-green-edition-for-financial-accounting-paper-6-cma-inter-original-imagmqnxzakdrxvw.jpeg?q=70,₹195,,,https://www.flipkart.com/search?q=poetry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,poetry
Illustrated Stories from China,"English, Hardcover, Usborne",https://rukminim1.flixcart.com/image/612/612/xif0q/book/p/l/d/illustrated-stories-from-china-original-imagn4yrhzhhf3pu.jpeg?q=70,"₹1,099",,,https://www.flipkart.com/search?q=poetry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,poetry
Puhaarilirundhu Madurai; Pacha Mannu Kappiya-2 / புகாரிலிருந்து மதுரை; பச்ச மண்ணுக,"Tamil, Paperback, Imayakappiyan Tamizhdesan",https://rukminim1.flixcart.com/image/612/612/l1xwqkw0/book/l/q/c/puhaarilirundhu-madurai-pacha-mannu-kappiya-2-original-imagddwewatj3hhm.jpeg?q=70,₹150,,,https://www.flipkart.com/search?q=poetry+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,poetry
