book_title,author,img,price,ratings,no_of_purchase,url,genre
The Tunes of the Heart in Tears,"English, Paperback, Khatri Sonia",https://rukminim1.flixcart.com/image/612/612/xif0q/book/g/a/q/the-tunes-of-the-heart-in-tears-original-imaggsaguebffj8j.jpeg?q=70,₹311,,,https://www.flipkart.com/search?q=romance+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,romance
Bleak House,"English, Paperback, Dickens Charles",https://rukminim1.flixcart.com/image/612/612/kpsnzww0/book/z/h/i/bleak-house-original-imag3xsazkyek6st.jpeg?q=70,"₹1,113",4.4,(168),https://www.flipkart.com/search?q=romance+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,romance
Daisy Jones and The Six,"English, Paperback, Jenkins Reid Taylor",https://rukminim1.flixcart.com/image/612/612/xif0q/book/i/q/y/daisy-jones-and-the-six-original-imagh6y3pgypghc7.jpeg?q=70,₹349,4.6,(107),https://www.flipkart.com/search?q=romance+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,romance
"It Ends With Us And It Start With Us Best 2 Books Combo (Paperback Collen Hoover ) (Paperback, Colleen Hoover)","Paperback, Colleen Hoover",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/u/9/j/it-ends-with-us-and-it-start-with-us-best-2-books-combo-original-imagkxazzjm8vz4r.jpeg?q=70,₹320,4.2,(139),https://www.flipkart.com/search?q=romance+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,romance
Persuasion,"English, Paperback, Austen Jane",https://rukminim1.flixcart.com/image/612/612/kq6yefk0/book/u/q/a/persuasion-original-imag49gdmh2u5ndr.jpeg?q=70,₹166,4.4,(776),https://www.flipkart.com/search?q=romance+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,romance
Kya Dobara Ho Sakta Hai Pyaar?,"Hindi, Paperback, Singh Ravinder",https://rukminim1.flixcart.com/image/612/612/jp2xoy80/book/7/8/8/kya-dobara-ho-sakta-hai-pyaar-original-imafbefr2dhzzg9q.jpeg?q=70,₹158,4.3,(455),https://www.flipkart.com/search?q=romance+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,romance
The Deliberate Sinner,"English, Paperback, Arora Bhaavna",https://rukminim1.flixcart.com/image/612/612/l1xwqkw0/book/m/n/q/the-deliberate-sinner-original-imagdeygbywya8nb.jpeg?q=70,₹114,3.7,(891),https://www.flipkart.com/search?q=romance+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,romance
It Starts With Us And It Ends With Us Books Combo,"Paperback, COLLEN HOOVER",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/s/i/y/it-starts-with-us-and-it-ends-with-us-books-combo-original-imagjwycxg8ddkcr.jpeg?q=70,₹299,4.3,"(1,387)",https://www.flipkart.com/search?q=romance+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,romance
In a Heartbeat,"English, Paperback, Anjana Ajay",https://rukminim1.flixcart.com/image/612/612/j70sccw0-1/book/8/0/0/in-a-heartbeat-original-imaexd7ts3az7gh3.jpeg?q=70,₹80,4.2,(90),https://www.flipkart.com/search?q=romance+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,romance
Kannana Kanne! / கண்ணான கண்ணே!,"Tamil, Paperback, Gautham",https://rukminim1.flixcart.com/image/612/612/xif0q/book/s/l/b/kannana-kanne-original-imagkcc5ygkghrhj.jpeg?q=70,₹205,4.8,(4),https://www.flipkart.com/search?q=romance+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,romance
Heartless,"English, Paperback, Meyer Marissa",https://rukminim1.flixcart.com/image/612/612/ki96c280-0/book/f/k/b/heartless-original-imafy36ghncvmn93.jpeg?q=70,₹329,4.4,(44),https://www.flipkart.com/search?q=romance+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,romance
It Starts with Us,"English, Paperback, Hoover Colleen",https://rukminim1.flixcart.com/image/612/612/xif0q/book/c/7/b/it-starts-with-us-original-imagk4cycj4yv9yu.jpeg?q=70,₹189,4.4,"(1,993)",https://www.flipkart.com/search?q=romance+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,romance
Last Seen / છેલ્લે જોયું,"Gujarati, Paperback, Sakhliya Milan A",https://rukminim1.flixcart.com/image/612/612/kxjav0w0/book/2/j/x/last-seen-original-imag9z9ggbzd457d.jpeg?q=70,₹99,,,https://www.flipkart.com/search?q=romance+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,romance
I'm Yours Till My Last Breath,"English, Paperback, Sharma Yash",https://rukminim1.flixcart.com/image/612/612/xif0q/book/z/n/6/i-m-yours-till-my-last-breath-original-imagk7za4kwvadgf.jpeg?q=70,₹180,,,https://www.flipkart.com/search?q=romance+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,romance
Games of Command,"English, Paperback, Sinclair Linnea",https://rukminim1.flixcart.com/image/612/612/l5jxt3k0/book/o/q/g/games-of-command-original-imagg7fjd63mqkw2.jpeg?q=70,₹315,,,https://www.flipkart.com/search?q=romance+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=13,romance
