book_title,author,img,price,ratings,no_of_purchase,url,genre
The Running Man,"English, Paperback, Bachman Richard",https://rukminim1.flixcart.com/image/612/612/xif0q/book/6/b/a/the-running-man-original-imagk2kdjeh82t6j.jpeg?q=70,₹364,,,https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
The Heroes,"English, Paperback, Abercrombie Joe",https://rukminim1.flixcart.com/image/612/612/xif0q/book/w/y/2/the-heroes-original-imagkghhv6avwy9h.jpeg?q=70,₹544,4.7,(3),https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
Finding Hope,"English, Paperback, Twombly Valerie",https://rukminim1.flixcart.com/image/612/612/jqb8ccw0/book/6/3/5/finding-hope-original-imafccynraqmhmy2.jpeg?q=70,"₹1,336",,,https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
Jeevani Dr. A P J Abudul Kalam,"Hindi, Paperback, Chand",https://rukminim1.flixcart.com/image/612/612/l3929ow0/book/p/0/h/jeevani-dr-a-p-j-abudul-kalam-original-imageexfpst3y5ze.jpeg?q=70,₹169,4.3,(20),https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
Blood and Bones - Rook,"English, Paperback, St James Jeanne",https://rukminim1.flixcart.com/image/612/612/krxtrww0/book/m/u/c/blood-and-bones-rook-original-imag5m2fysrhvtgg.jpeg?q=70,"₹2,173",,,https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
Brothers in Blue - A Bryson Family Christmas,"English, Paperback, St James Jeanne",https://rukminim1.flixcart.com/image/612/612/ksj9dow0/book/w/t/w/brothers-in-blue-a-bryson-family-christmas-original-imag62wyytrfaeu3.jpeg?q=70,"₹2,041",,,https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
The Bosun,"English, Paperback, Layne Harlow",https://rukminim1.flixcart.com/image/612/612/krp94sw0/book/x/d/5/the-bosun-original-imag5fcjsycqfhpt.jpeg?q=70,"₹1,343",,,https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
Beyond Good and Evil,"English, Paperback, Nietzsche Friedrich",https://rukminim1.flixcart.com/image/612/612/xif0q/book/x/b/a/beyond-good-and-evil-original-imafb8ugdc8wqmqh.jpeg?q=70,₹169,4.4,(362),https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
Kamala Harris,"English, Paperback, Rasheed Leila",https://rukminim1.flixcart.com/image/612/612/xif0q/book/5/r/v/kamala-harris-original-imagf3t2zjfc8wb3.jpeg?q=70,₹649,,,https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
Mr Doctor,"English, Paperback, Mishra Mihir",https://rukminim1.flixcart.com/image/612/612/xif0q/book/e/f/6/mr-doctor-original-imagjyqt69jwjerq.jpeg?q=70,₹160,,,https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
"Pokemon X*Y, Vol. 9","English, Paperback, Kusaka Hidenori",https://rukminim1.flixcart.com/image/612/612/kj0bp8w0-0/book/t/f/k/pokemon-x-y-vol-9-original-imafyz96qyjvbbz9.jpeg?q=70,₹299,4.6,(10),https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
Metamorphosis,"English, Paperback, Kafka Franz",https://rukminim1.flixcart.com/image/612/612/kj0bp8w0-0/book/h/z/i/metamorphosis-original-imafyzh3r3qqajq7.jpeg?q=70,₹125,4.5,"(5,313)",https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
B.Lib. Guide (For All Theory Papers) English Medium [based On The Syllabus Of Library Science Useful For All Different Indian Universities],"Paperback, S.K. sahal, Prahlad Sharma",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/j/b/h/b-lib-guide-for-all-theory-papers-english-medium-based-on-the-original-imagnqtjxvh79pdr.jpeg?q=70,₹495,,,https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
Gentleman Takes A Chance,"English, Hardcover, Hoyt Sarah A.",https://rukminim1.flixcart.com/image/612/612/jpfsnm80/book/9/3/3/gentleman-takes-a-chance-original-imafbnuvtgq2xwh8.jpeg?q=70,₹726,,,https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
Off On A Comet! A Journey Through Planetary Space,"English, Paperback, Verne Jules",https://rukminim1.flixcart.com/image/612/612/xif0q/book/4/t/3/off-on-a-comet-a-journey-through-planetary-space-original-imagmu28udphxpe7.jpeg?q=70,₹324,,,https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
"Dr. Ambedkar Rajneeti, Dharm Aur Samvidhan Vichar","Hindi, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/kiqbma80-0/book/v/r/x/dr-ambedkar-rajneeti-dharm-aur-samvidhan-vichar-original-imafygk4qgy5cctk.jpeg?q=70,₹476,4.7,(46),https://www.flipkart.com/search?q=science+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,science fiction
