book_title,author,img,price,ratings,no_of_purchase,url,genre
51 Shresth Vyang Rachnayen Gajendra Tiwari Hindi,"Hindi, Paperback, Tiwari Gajendra",https://rukminim1.flixcart.com/image/612/612/kqv8vww0/book/k/b/i/51-shresth-vyang-rachnayen-gajendra-tiwari-hindi-original-imag4rsfgzsa757z.jpeg?q=70,₹94,,,https://www.flipkart.com/search?q=short+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,short stories
It's time to learn something in life,"English, Paperback, Gupta Pranay",https://rukminim1.flixcart.com/image/612/612/l4zxn680/book/i/z/x/it-s-time-to-learn-something-in-life-original-imagfrg3vkrckhev.jpeg?q=70,₹101,,,https://www.flipkart.com/search?q=short+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,short stories
21 Shreshth Balman ki Kahaniyan,"Hindi, Paperback, Vikas Kavita",https://rukminim1.flixcart.com/image/612/612/l1xwqkw0/book/d/h/i/21-shreshth-balman-ki-kahaniyan-original-imagdebgks8swwsx.jpeg?q=70,₹103,,,https://www.flipkart.com/search?q=short+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,short stories
Invisible Pain  - The cry of nature!!!,"English, Paperback, Praveena",https://rukminim1.flixcart.com/image/612/612/book/5/4/1/invisible-pain-original-imaefar8b3afzah2.jpeg?q=70,₹110,4.1,(168),https://www.flipkart.com/search?q=short+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,short stories
Kathakal Pachakuthira,"Malayalam, Paperback, Jaydev K.V.",https://rukminim1.flixcart.com/image/612/612/kqidx8w0/book/8/a/1/kathakal-pachakkuthira-original-imag4g88tcrgtktv.jpeg?q=70,₹171,,,https://www.flipkart.com/search?q=short+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,short stories
Ghost Stories,"English, Paperback, Benson E F",https://rukminim1.flixcart.com/image/612/612/kufuikw0/book/q/4/0/ghost-stories-original-imag7k76nzgfksgw.jpeg?q=70,₹362,,,https://www.flipkart.com/search?q=short+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,short stories
An International Episode,"English, Paperback, James Henry",https://rukminim1.flixcart.com/image/612/612/xif0q/book/4/i/l/an-international-episode-original-imaghy3dvnbe5sbp.jpeg?q=70,₹84,,,https://www.flipkart.com/search?q=short+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,short stories
"Blossom Moral Story Book For Kids 3 Years To 7 Years Old In English | Stories With Pictures | Best Bedtime Children Story Book Baby | Short Stories For Infants, Toddlers | Book A & B | Set Of 2","Paperback, Target Publications",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/j/a/x/blossom-moral-story-book-for-kids-3-years-to-7-years-old-in-original-imagnz76faxgnc6y.jpeg?q=70,₹259,4.9,(8),https://www.flipkart.com/search?q=short+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,short stories
Namami Ghoosay,"Hindi, Paperback, Tripathi Neeraj",https://rukminim1.flixcart.com/image/612/612/jvqzo280/book/9/8/6/namami-ghoosay-original-imafgkkfdhzvdaqk.jpeg?q=70,₹166,,,https://www.flipkart.com/search?q=short+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,short stories
The Mammoth Book Of the Mummy,"English, Paperback, Guran Paula",https://rukminim1.flixcart.com/image/612/612/l2tcfbk0/book/w/t/u/the-mammoth-book-of-the-mummy-original-image2fwvqjfzzaf.jpeg?q=70,₹999,,,https://www.flipkart.com/search?q=short+stories+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,short stories
