book_title,author,img,price,ratings,no_of_purchase,url,genre
Ace of Spades,"English, Paperback, Abike-Iyimide Faridah",https://rukminim1.flixcart.com/image/612/612/xif0q/book/o/e/u/ace-of-spades-original-imagmghfe3kay7qt.jpeg?q=70,₹377,5,(3),https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
The Golden Rendezvous,"English, Paperback, MacLean Alistair",https://rukminim1.flixcart.com/image/612/612/kzogn0w0/book/y/0/i/the-golden-rendezvous-original-imagbn7uz23wcrhs.jpeg?q=70,₹499,,,https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
Conman,"English, Paperback, Pathak Surender Mohan",https://rukminim1.flixcart.com/image/612/612/jn4x47k0/book/4/2/5/conman-hindi-original-imaf9vw8wdhzcpyp.jpeg?q=70,₹175,4.4,(77),https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
The Dead Woman Writing,"English, Paperback, Pillai Rajat",https://rukminim1.flixcart.com/image/612/612/l23mhzk0/book/i/0/x/the-dead-woman-writing-original-imagdgphcsggysaw.jpeg?q=70,₹140,4.4,(140),https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
The Party House,"English, Paperback, Anderson Lin",https://rukminim1.flixcart.com/image/612/612/xif0q/book/y/t/p/the-party-house-original-imaggu7w8yruct8r.jpeg?q=70,₹595,,,https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
The Girl Who Lied  - The Truth Hurts...,"English, Paperback, Fortin Sue",https://rukminim1.flixcart.com/image/612/612/l2hwwi80/book/z/6/h/the-girl-who-lied-original-imagdt78kadnwvmh.jpeg?q=70,₹449,4.6,(5),https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
With a Mind to Kill,"English, Paperback, Horowitz Anthony",https://rukminim1.flixcart.com/image/612/612/l3dcl8w0/book/c/d/r/with-a-mind-to-kill-original-imagegcthkvyxqzq.jpeg?q=70,₹501,,,https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
Killing Strangers,"English, Paperback, Gopal RAM",https://rukminim1.flixcart.com/image/612/612/kwnv6a80/book/u/l/b/killing-strangers-original-imag9artbfnhppfw.jpeg?q=70,₹278,,,https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
Hot Ice,"English, Paperback, Roberts Nora",https://rukminim1.flixcart.com/image/612/612/l5jxt3k0/book/l/g/4/hot-ice-original-imagg7y5vtqwtdsg.jpeg?q=70,₹360,,,https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
Pound For Pound,"English, Paperback, Chaidez Natalie",https://rukminim1.flixcart.com/image/612/612/l3lx8cw0/book/r/n/q/pound-for-pound-original-imagezrmzmt7esyk.jpeg?q=70,₹780,,,https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
The Fandom,"English, Paperback, Day Anna",https://rukminim1.flixcart.com/image/612/612/xif0q/book/x/9/m/the-fandom-original-imagf4gezwte2jne.jpeg?q=70,₹345,,,https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
Two Indian Girls  - Book 1 of The Kanke Killings Trilogy (Read the Prequel - Ritualistic Murder before reading this novel): An Indian detective on the crime scene building up to gut-wrenching crime thrillers and mysteries. A Page Turner.,"English, Paperback, Kinshuk Kumar",https://rukminim1.flixcart.com/image/612/612/kxrvi4w0/book/r/v/f/two-indian-girls-original-imaga58grurnu9fa.jpeg?q=70,₹190,4.1,(67),https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
Grown,"English, Hardcover, Jackson Tiffany D",https://rukminim1.flixcart.com/image/612/612/k7p37gw0/book/3/5/6/grown-original-imafpvfmskh5trzz.jpeg?q=70,₹760,,,https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
Lie Down With Lions,"English, Paperback, Follett Ken",https://rukminim1.flixcart.com/image/612/612/xif0q/book/d/v/t/lie-down-with-lions-original-imaghssbqxxysabe.jpeg?q=70,₹954,3.3,(12),https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
The Devourers,"English, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/jp2xoy80/book/4/0/6/the-devourers-original-imafbdug6zr4dngk.jpeg?q=70,₹415,4.6,(7),https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
Colleen Hoover - Verity: The Thriller That Will Capture Your Heart And Blow Your Mind Paperback 2022 (English),"Paperback, Colleen Hoover",https://rukminim1.flixcart.com/image/612/612/l4bn5ow0/regionalbooks/l/o/y/colleen-hoover-verity-the-thriller-that-will-capture-your-heart-original-imagf8ygcqh3ffqg.jpeg?q=70,₹170,4.4,(70),https://www.flipkart.com/search?q=thrillers+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=24,thrillers
