book_title,author,img,price,ratings,no_of_purchase,url,genre
Latin America and the War,"English, Hardcover, Barrett John Professor",https://rukminim1.flixcart.com/image/612/612/jp5sknk0/book/5/6/1/latin-america-and-the-war-original-imafbg3hwuvdwm2f.jpeg?q=70,"₹1,475",,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
Washington in War Times,"English, Paperback, Cameron W. J.",https://rukminim1.flixcart.com/image/612/612/jmjhifk0/book/4/8/4/washington-in-war-times-original-imaf9fnqhsfzhzvu.jpeg?q=70,₹866,,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
The War from the Standpoint of the Business Man,"English, Paperback, Law Frank Everard",https://rukminim1.flixcart.com/image/612/612/jmkwya80/book/0/3/1/the-war-from-the-standpoint-of-the-business-man-original-imaf9fvxwbg7qzyc.jpeg?q=70,₹785,,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
Scanner Green Edition for Financial Accounting (Paper 6 | CMA Inter Group 1) - Including questions and solutions of December 2022 | 2022 Syllabus | New Syllabus | June 2023 Exam,"Shuchita Prakashan (P) Ltd., Prof. Arun Kumar, CA Mohit Bahal, CS (Dr.) Himanshu Srivastava",https://rukminim1.flixcart.com/image/612/612/xif0q/book/d/b/b/scanner-green-edition-for-financial-accounting-paper-6-cma-inter-original-imagmqnxzakdrxvw.jpeg?q=70,₹195,,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
"The War Week by Week, as Seen from New York Being Observations from Life (Classic Reprint)","English, Paperback, Martin Edward Sandford",https://rukminim1.flixcart.com/image/612/612/jtvtz0w0/book/7/2/7/the-war-week-by-week-as-seen-from-new-york-being-observations-original-imaff43bjfevdpbg.jpeg?q=70,"₹1,029",,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
"War Speeches, 1914-1917 (Classic Reprint)","English, Paperback, Ginsburg Benedict William",https://rukminim1.flixcart.com/image/612/612/jms25jk0/book/5/6/0/war-speeches-1914-1917-classic-reprint-original-imaf9hg42frhsxgm.jpeg?q=70,"₹1,021",,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
"Jewish War Record, Goldsboro, North Carolina (Classic Reprint)","English, Hardcover, Edwards Mrs. N. A.",https://rukminim1.flixcart.com/image/612/612/jmkwya80/book/4/6/9/jewish-war-record-goldsboro-north-carolina-classic-reprint-original-imaf9fx3pstyeyhu.jpeg?q=70,"₹1,465",,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
Scanner Cost Accounting (Paper 8 | Group 1) | 2022 Syllabus | June 2023 Exam,"Shuchita Prakashan (P) Ltd., Prof. Arun Kumar, CA Mohit Bahal, CS (Dr.) Himanshu Srivastava",https://rukminim1.flixcart.com/image/612/612/xif0q/book/h/z/c/scanner-cost-accounting-paper-8-group-1-2022-syllabus-june-2023-original-imagmv88p9xgmffg.jpeg?q=70,₹260,,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
American Historical Activities During the World War (Classic Reprint),"English, Paperback, Mereness Newton Dennison",https://rukminim1.flixcart.com/image/612/612/jmjhifk0/book/6/4/0/american-historical-activities-during-the-world-war-classic-original-imaf9fmp2bgzuus5.jpeg?q=70,₹942,,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
"Report of the Secretary of War, Vol. 4 of 4","English, Paperback, Department United States War",https://rukminim1.flixcart.com/image/612/612/jmkwya80/book/9/0/3/report-of-the-secretary-of-war-vol-4-of-4-original-imaf9gpg7eq4wk7t.jpeg?q=70,"₹1,350",,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
Worcester in the War of the Revolution: Embracing the Acts of the Town From 1765 to 1783 Inclusive (Classic Reprint),"English, Hardcover, Lovell Albert A.",https://rukminim1.flixcart.com/image/612/612/joen7gw0/book/4/3/0/worcester-in-the-war-of-the-revolution-original-imafavgghbf8emdy.jpeg?q=70,"₹1,593",,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
Scanner Green Edition for Direct and Indirect Taxation (Paper 7 | CMA Inter Group 1) - Including questions and solutions of December 2022 | 2022 Syllabus | June 2023 Exam,"Hardcover, Prof. Arun Kumar, CS Arvind Katiyar, CS. CA Rajiv Singh",https://rukminim1.flixcart.com/image/612/612/xif0q/book/2/s/6/scanner-green-edition-for-direct-and-indirect-taxation-paper-7-original-imagn47chqujgqj7.jpeg?q=70,₹325,4.3,(11),https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
Ethical and Religious Problems of the War: Fourteen Addresses (Classic Reprint),"English, Hardcover, Carpenter J. Estlin",https://rukminim1.flixcart.com/image/612/612/jri3jww0/book/0/1/9/ethical-and-religious-problems-of-the-war-original-imafdaf8gu5dscvz.jpeg?q=70,"₹1,684",,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
The Art of War,"English, Paperback, Tzu Sun",https://rukminim1.flixcart.com/image/612/612/xif0q/book/h/g/f/the-art-of-war-original-imagh9un3q63pmeh.jpeg?q=70,"₹1,347",4.4,"(7,130)",https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
The Art Of War,"English, Paperback, Tzu Sun",https://rukminim1.flixcart.com/image/612/612/l3vxbbk0/book/r/z/p/the-art-of-war-original-imagewhcebzuzgrn.jpeg?q=70,₹950,4.4,"(7,130)",https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
"Zero To Mastery In Python Programming, Best Python Book For Beginners, This Python Book Covers A-Z About Programming In Python, Also Comes With Python Tricks You Should Definietly Know, Latest Edition  - Zero To Mastery In Python Programming, Best Python Book For Beginners, This Python Book Covers A-Z About Programming In Python, Also Comes With Python Tricks You Should Definietly Know, Latest Edition (Paperback, RAKESH K. YADAV, SRINIVAS ARUKONDA, MONU SINGH) with 1 Disc","Paperback, RAKESH K. YADAV, SRINIVAS ARUKONDA, MONU SINGH",https://rukminim1.flixcart.com/image/612/612/kq8dua80/book/v/f/2/zero-to-mastery-in-python-programming-best-python-book-for-original-imag4ab2gzadhskq.jpeg?q=70,₹325,4.2,(280),https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
The Art of War,"English, Paperback, Tzu Sun",https://rukminim1.flixcart.com/image/612/612/krp94sw0/book/1/d/g/the-art-of-war-original-imag5fgys7pufqan.jpeg?q=70,₹925,4.4,"(7,130)",https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
The Art of War,"English, Hardcover, Tzu Sun",https://rukminim1.flixcart.com/image/612/612/l5jxt3k0/book/t/u/c/the-art-of-war-original-imagg7ptf4pperez.jpeg?q=70,"₹1,836",4.4,"(7,130)",https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
The Art of War,"English, Paperback, Tzu Sun",https://rukminim1.flixcart.com/image/612/612/jpu324w0/book/1/6/4/the-art-of-war-original-imafbz7d5exzwzgm.jpeg?q=70,"₹1,465",4.4,"(7,130)",https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
"The Indian Economy | Civil Services, UPSC , PSC, IAS, IFS, IPS, IRS |","Paperback, Sanjiv Verma",https://rukminim1.flixcart.com/image/612/612/xif0q/book/v/w/t/the-indian-economy-civil-services-upsc-psc-ias-ifs-ips-irs-original-imaghmvyvwybcx6k.jpeg?q=70,₹270,4.5,"(1,254)",https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
America at War,"English, Paperback, Poggioloni Oreste",https://rukminim1.flixcart.com/image/612/612/jmthle80/book/1/5/8/america-at-war-original-imaf9mjypgerzznb.jpeg?q=70,₹798,,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
"""August the Fourth"", Or the British Empire and the War: An Address Delivered by the Reverend Claris Edwin Silcox in the United Congregational Church, Newport, Rhode Island, August 4, 1918 (Classic Reprint)","English, Hardcover, Silcox Claris Edwin",https://rukminim1.flixcart.com/image/612/612/jsdj8nk0/book/8/0/7/august-the-fourth-or-the-british-empire-and-the-war-original-imafdy6jvwp9tgg6.jpeg?q=70,"₹1,460",,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
The War Spirit of Germany (Classic Reprint),"English, Paperback, Wrong George McKinnon",https://rukminim1.flixcart.com/image/612/612/k0r15e80/book/9/1/2/the-war-spirit-of-germany-classic-reprint-original-imafkh7swayjg6d6.jpeg?q=70,₹793,,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
SSC Reasoning Topic-wise Practice Sets Book For Exam 2022 (English Medium),"Paperback, Radian Book Company",https://rukminim1.flixcart.com/image/612/612/l2z26q80/book/z/1/z/ssc-reasoning-topic-wise-practice-sets-book-for-exam-2022-from-original-image6r4x5agfwz3.jpeg?q=70,₹160,4.2,(288),https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
"The Comprehensive History of the Southern Rebellion and the War for the Union, Vol. 1: Embodying Also Important State Papers, Congressional Proceedings, Official Reports, Remarkable Speeches, Etc;, Etc (Classic Reprint)","English, Hardcover, Victor Orville J.",https://rukminim1.flixcart.com/image/612/612/jri3jww0/book/8/2/7/the-comprehensive-history-of-the-southern-rebellion-and-the-war-original-imafd9pd4mpqzceh.jpeg?q=70,"₹2,040",,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
Political Opinion in Massachusetts During the Civil War and Reconstruction (Classic Reprint),"English, Hardcover, Ware Edith Ellen",https://rukminim1.flixcart.com/image/612/612/xif0q/book/g/a/l/political-opinion-in-massachusetts-during-the-civil-war-and-original-imaghdhwzh6juybf.jpeg?q=70,"₹1,694",,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
"Report of the Secretary of War, Vol. 1: Being Part of the Message and Documents; Communicated to the Two Houses of Congress at the Beginning of the Second Session of the Forty-Fourth Congress (Classic Reprint)","English, Hardcover, Author Unknown",https://rukminim1.flixcart.com/image/612/612/jrgo4280/book/7/4/7/report-of-the-secretary-of-war-vol-1-original-imafd945bsd7tycg.jpeg?q=70,"₹2,077",,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
SURA`S RPF/RPSF Constable (Ancillary) Exam Book in English Mediam - Latest Updated Edition 2023,"Paperback, V.V.K. Subburaj",https://rukminim1.flixcart.com/image/612/612/xif0q/book/z/e/v/sura-s-rpf-rpsf-constable-ancillary-exam-book-in-english-mediam-original-imaghskckzqehbth.jpeg?q=70,₹360,4.2,(15),https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
Social Relief in the Northwest During the Civil War (Classic Reprint),"English, Paperback, Fish Carl Russell",https://rukminim1.flixcart.com/image/612/612/jmkwya80/book/5/9/6/social-relief-in-the-northwest-during-the-civil-war-classic-original-imaf9ggcx9g8csxt.jpeg?q=70,₹781,,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
"Compilation of General Orders, Circulars, and Bulletins of the War Department","English, Paperback, Dept United States, War",https://rukminim1.flixcart.com/image/612/612/jmqmpow0/book/3/3/0/compilation-of-general-orders-circulars-and-bulletins-of-the-war-original-imaf9khretfzwmfk.jpeg?q=70,"₹1,522",,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
"War Department Annual Reports, 1909, Vol. 8 of 9","English, Paperback, Department United States War",https://rukminim1.flixcart.com/image/612/612/jms25jk0/book/6/4/7/war-department-annual-reports-1909-vol-8-of-9-original-imaf9hvsgzeg7nmk.jpeg?q=70,"₹1,042",,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
SURA'S SSC MTS (Multi Tasking Staff) Exam Book in English Medium - Latest Updated Edition 2023,"Paperback, V.V.K SUBBURAJ",https://rukminim1.flixcart.com/image/612/612/xif0q/book/2/y/v/sura-s-ssc-mts-multi-tasking-staff-exam-book-in-english-medium-original-imagmfc7yahnbwmz.jpeg?q=70,₹261,4.1,(53),https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
"Perseverance in the War, the Interest and Duty of the Nation","English, Paperback, Livermore Leonard Jarvis",https://rukminim1.flixcart.com/image/612/612/jmthle80/book/6/2/4/perseverance-in-the-war-the-interest-and-duty-of-the-nation-original-imaf9mgzhhvhezk5.jpeg?q=70,₹782,,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
The Art Of War,"English, Paperback, Tzu Sun",https://rukminim1.flixcart.com/image/612/612/kigbjbk0-0/book/c/5/n/the-art-of-war-original-imafy8v9yb8uu794.jpeg?q=70,₹785,4.4,"(7,130)",https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
The Art of War,"English, Paperback, Tzu Sun",https://rukminim1.flixcart.com/image/612/612/kzzw5u80/book/y/r/w/the-art-of-war-original-imagbvzvrekzhpas.jpeg?q=70,₹927,4.4,"(7,130)",https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
SURA`S EPFO Stenographer (Group C) Exam Book in English - Latest Updated Edition 2023,"Paperback, V.V.K Subburaj",https://rukminim1.flixcart.com/image/612/612/xif0q/book/d/5/c/sura-s-epfo-stenographer-group-c-exam-book-in-english-latest-original-imagz4qfcghyxj9z.jpeg?q=70,₹428,,,https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
The Art of War,"English, Hardcover, Tzu Sun",https://rukminim1.flixcart.com/image/612/612/jxm5d3k0/book/4/9/5/the-art-of-war-original-imafgyxfg5t8dggk.jpeg?q=70,"₹2,839",4.4,"(7,130)",https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
The Art of War,"English, Paperback, Tzu Sun",https://rukminim1.flixcart.com/image/612/612/krp94sw0/book/y/t/g/the-art-of-war-original-imag5fa39vh5zyf9.jpeg?q=70,"₹1,031",4.4,"(7,130)",https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
The Art of War,"English, Paperback, Tzu Sun",https://rukminim1.flixcart.com/image/612/612/krxtrww0/book/7/9/3/the-art-of-war-original-imag5hm3gyhyw4nu.jpeg?q=70,₹771,4.4,"(7,130)",https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
Trading Chart Pattern Book (Breakout and Candlestick) in Hindi  - Hindi Book For Trading Chart Pattern,"Paperback, Pramesh Expert, Pramesh Jain",https://rukminim1.flixcart.com/image/612/612/xif0q/book/q/h/1/trading-chart-pattern-book-breakout-and-candlestick-in-hindi-original-imagnz8pchagtsrh.jpeg?q=70,₹299,4.2,(23),https://www.flipkart.com/search?q=war+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=15,war
