book_title,author,img,price,ratings,no_of_purchase,url,genre
Sunni Bahishti Zevar (Women's Solutions) Hindi Book,"Hardcover, Hindi, Mufti Muhammad Khalil khan Qadri sahab",https://rukminim1.flixcart.com/image/612/612/xif0q/regionalbooks/3/f/p/sunni-bahishti-zaiver-islamic-hindi-book-original-imaghdxhkxqz5xz9.jpeg?q=70,₹425,,,https://www.flipkart.com/search?q=women%E2%80%99s+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,womenâ€™s fiction
Transnational Women's Fiction,"English, Hardcover, Strehle S.",https://rukminim1.flixcart.com/image/612/612/kigbjbk0-0/book/c/y/y/transnational-women-s-fiction-original-imafy8v7egvvmjma.jpeg?q=70,"₹7,789",,,https://www.flipkart.com/search?q=women%E2%80%99s+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,womenâ€™s fiction
Transnational Women's Fiction,"English, Paperback, Strehle S.",https://rukminim1.flixcart.com/image/612/612/ktlu9ow0/book/h/j/i/transnational-women-s-fiction-original-imag6watthrhbhhc.jpeg?q=70,"₹6,923",,,https://www.flipkart.com/search?q=women%E2%80%99s+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,womenâ€™s fiction
"LITERATURE OF PROTEST 
Reading Dalit Women’s Autobiographies and Fiction","Hardcover, Suresh Kumar",https://rukminim1.flixcart.com/image/612/612/xif0q/book/7/c/f/literature-of-protest-reading-dalit-women-s-autobiographies-and-original-imaghr2frgjxek9c.jpeg?q=70,"₹1,750",,,https://www.flipkart.com/search?q=women%E2%80%99s+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,womenâ€™s fiction
"Future Is Female Volume 2, The 1970s: More Classic Science Fiction Stories By Women","English, Hardcover, Yaszek Lisa",https://rukminim1.flixcart.com/image/612/612/xif0q/book/6/n/h/future-is-female-volume-2-the-1970s-more-classic-science-fiction-original-imaggerx7wxyxqss.jpeg?q=70,"₹2,022",,,https://www.flipkart.com/search?q=women%E2%80%99s+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,womenâ€™s fiction
Victory Memorial Cook Book (1920),"English, Hardcover, Women's Auxiliary Publisher",https://rukminim1.flixcart.com/image/612/612/jped7rk0/book/9/6/7/victory-memorial-cook-book-1920-original-imafbmrweakhyybj.jpeg?q=70,"₹4,007",,,https://www.flipkart.com/search?q=women%E2%80%99s+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,womenâ€™s fiction
Victory Memorial Cook Book (1920),"English, Paperback, Women's Auxiliary Publisher",https://rukminim1.flixcart.com/image/612/612/jped7rk0/book/6/8/4/victory-memorial-cook-book-1920-original-imafbmrdrzbp9bd3.jpeg?q=70,"₹2,454",,,https://www.flipkart.com/search?q=women%E2%80%99s+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,womenâ€™s fiction
"British Women's Short Supernatural Fiction, 1860-1930","English, Hardcover, Margree Victoria",https://rukminim1.flixcart.com/image/612/612/k3erngw0/book/4/1/1/british-women-s-short-supernatural-fiction-1860-1930-original-imafmjr2hzkqzvfk.jpeg?q=70,"₹6,607",,,https://www.flipkart.com/search?q=women%E2%80%99s+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,womenâ€™s fiction
Women's Fiction,"English, Paperback, Philips Deborah Dr",https://rukminim1.flixcart.com/image/612/612/xif0q/book/l/l/k/women-s-fiction-original-imagn4vgtg5zqrvz.jpeg?q=70,"₹2,398",,,https://www.flipkart.com/search?q=women%E2%80%99s+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,womenâ€™s fiction
Dress Culture in Late Victorian Women's Fiction,"English, Paperback, Kortsch Christine Bayles",https://rukminim1.flixcart.com/image/612/612/xif0q/book/r/9/n/dress-culture-in-late-victorian-women-s-fiction-original-imagk2azzb9haytj.jpeg?q=70,"₹2,823",,,https://www.flipkart.com/search?q=women%E2%80%99s+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,womenâ€™s fiction
American Women's Regionalist Fiction,"English, Hardcover, unknown",https://rukminim1.flixcart.com/image/612/612/kpzt7680/book/9/v/n/american-women-s-regionalist-fiction-original-imag43nwfdyzmzgy.jpeg?q=70,"₹9,911",,,https://www.flipkart.com/search?q=women%E2%80%99s+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,womenâ€™s fiction
Contemporary Diasporic South Asian Women's Fiction,"English, Hardcover, Ranasinha Ruvani",https://rukminim1.flixcart.com/image/612/612/kk2wl8w0/book/3/h/c/contemporary-diasporic-south-asian-women-s-fiction-original-imafzg6kmryf7jz9.jpeg?q=70,"₹6,607",,,https://www.flipkart.com/search?q=women%E2%80%99s+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,womenâ€™s fiction
Remote Sympathy: LONGLISTED FOR THE WOMEN'S PRIZE FOR FICTION 2022,"English, Hardcover, Chidgey Catherine",https://rukminim1.flixcart.com/image/612/612/l13whow0/book/v/3/q/remote-sympathy-longlisted-for-the-women-s-prize-for-fiction-original-imagcqxp7bugqtjg.jpeg?q=70,"₹1,730",,,https://www.flipkart.com/search?q=women%E2%80%99s+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,womenâ€™s fiction
Contemporary Canadian Women's Fiction,"English, Paperback, Howells C.",https://rukminim1.flixcart.com/image/612/612/johi3680/book/7/5/8/contemporary-canadian-women-s-fiction-original-imafax5mugbxcxwh.jpeg?q=70,"₹5,625",,,https://www.flipkart.com/search?q=women%E2%80%99s+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,womenâ€™s fiction
Contemporary Canadian Women's Fiction,"English, Hardcover, Howells C.",https://rukminim1.flixcart.com/image/612/612/kjbr8280-0/book/7/a/c/contemporary-canadian-women-s-fiction-original-imafyx9zakqguebc.jpeg?q=70,"₹6,923",,,https://www.flipkart.com/search?q=women%E2%80%99s+fiction+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=1,womenâ€™s fiction
