book_title,author,img,price,ratings,no_of_purchase,url,genre
Jeet Lo khwab ko (जीत लो ख़्वाब को),"Hindi, Paperback, Singh Jogindar",https://rukminim1.flixcart.com/image/612/612/ki6bgcw0-0/book/a/7/8/jeet-lo-khwab-ko-original-imafyyphpxzczm5f.jpeg?q=70,₹128,4.5,(41),https://www.flipkart.com/search?q=motivation+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,motivation
Make Your Bed,"English, Hardcover, McRaven William H. Admiral",https://rukminim1.flixcart.com/image/612/612/kufuikw0/book/r/w/m/make-your-bed-original-imag7jvnewpzucf3.jpeg?q=70,₹206,4.5,(488),https://www.flipkart.com/search?q=motivation+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,motivation
The Power of a Positive No,"English, Paperback, Ury William",https://rukminim1.flixcart.com/image/612/612/l5jxt3k0/book/m/9/1/the-power-of-a-positive-no-original-imagg73ygs7rspgn.jpeg?q=70,₹419,4.5,(4),https://www.flipkart.com/search?q=motivation+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,motivation
Scanner Cost Accounting (Paper 8 | Group 1) | 2022 Syllabus | June 2023 Exam,"Shuchita Prakashan (P) Ltd., Prof. Arun Kumar, CA Mohit Bahal, CS (Dr.) Himanshu Srivastava",https://rukminim1.flixcart.com/image/612/612/xif0q/book/h/z/c/scanner-cost-accounting-paper-8-group-1-2022-syllabus-june-2023-original-imagmv88p9xgmffg.jpeg?q=70,₹260,,,https://www.flipkart.com/search?q=motivation+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,motivation
As a Man Thinketh,"English, Paperback, Allen James",https://rukminim1.flixcart.com/image/612/612/kql8sy80/book/f/m/5/as-a-man-thinketh-original-imag4jtw5b5uxfbc.jpeg?q=70,₹199,4.4,"(17,231)",https://www.flipkart.com/search?q=motivation+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,motivation
How Women Rise,"English, Paperback, Helgesen Sally",https://rukminim1.flixcart.com/image/612/612/kufuikw0/book/1/o/p/how-women-rise-original-imag7kcypzgxqkwm.jpeg?q=70,₹419,4.6,(38),https://www.flipkart.com/search?q=motivation+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,motivation
Practical Leadership Strategies,"English, Paperback, Palestini Robert",https://rukminim1.flixcart.com/image/612/612/book/2/5/0/practical-leadership-strategies-lessons-from-the-world-of-original-imaead3kj2gfzkk2.jpeg?q=70,"₹2,754",,,https://www.flipkart.com/search?q=motivation+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,motivation
Scanner Green Edition for Financial Accounting (Paper 6 | CMA Inter Group 1) - Including questions and solutions of December 2022 | 2022 Syllabus | New Syllabus | June 2023 Exam,"Shuchita Prakashan (P) Ltd., Prof. Arun Kumar, CA Mohit Bahal, CS (Dr.) Himanshu Srivastava",https://rukminim1.flixcart.com/image/612/612/xif0q/book/d/b/b/scanner-green-edition-for-financial-accounting-paper-6-cma-inter-original-imagmqnxzakdrxvw.jpeg?q=70,₹195,,,https://www.flipkart.com/search?q=motivation+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,motivation
New Rules of Business,"English, Paperback, Srivastava Rajesh",https://rukminim1.flixcart.com/image/612/612/kv6zvrk0/book/q/b/v/the-new-rules-of-business-original-imag85fptset2r5m.jpeg?q=70,₹209,4.7,(103),https://www.flipkart.com/search?q=motivation+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,motivation
"""Business Week's"" Guide to the Best Executive Education Programs","English, Paperback, Greene Cynthia",https://rukminim1.flixcart.com/image/612/612/kjabs7k0-0/book/0/8/k/business-week-s-guide-to-the-best-executive-education-programs-original-imafyw5mhgf6ndfz.jpeg?q=70,₹376,,,https://www.flipkart.com/search?q=motivation+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=7,motivation
