book_title,author,img,price,ratings,no_of_purchase,url,genre
Main Sai Baba Bol Raha Hoon,"Hindi, Hardcover, Priya Parul",https://rukminim1.flixcart.com/image/612/612/kiqbma80-0/book/e/k/4/main-sai-baba-bol-raha-hoon-original-imafygqrcatfsjxg.jpeg?q=70,₹180,4.7,(15),https://www.flipkart.com/search?q=spiritual+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,spiritual
The Autobiography of a Yogi,"English, Hardcover, Yogananda Paramahansa",https://rukminim1.flixcart.com/image/612/612/jzn0tjk0/book/0/2/6/the-autobiography-of-a-yogi-original-imafjhkywderq7he.jpeg?q=70,"₹1,751",4.5,(113),https://www.flipkart.com/search?q=spiritual+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,spiritual
If Truth Be Told,"English, Hardcover, Swami Om",https://rukminim1.flixcart.com/image/612/612/ki7qw7k0-0/book/c/y/r/if-truth-be-told-a-monk-s-memoir-original-imafyfysnjbuqsar.jpeg?q=70,₹372,4.6,(705),https://www.flipkart.com/search?q=spiritual+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,spiritual
Scanner Cost Accounting (Paper 8 | Group 1) | 2022 Syllabus | June 2023 Exam,"Shuchita Prakashan (P) Ltd., Prof. Arun Kumar, CA Mohit Bahal, CS (Dr.) Himanshu Srivastava",https://rukminim1.flixcart.com/image/612/612/xif0q/book/h/z/c/scanner-cost-accounting-paper-8-group-1-2022-syllabus-june-2023-original-imagmv88p9xgmffg.jpeg?q=70,₹260,4.4,(8),https://www.flipkart.com/search?q=spiritual+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,spiritual
Odyssey of Spirit,"English, Paperback, Shakila",https://rukminim1.flixcart.com/image/612/612/j9vo1ow0/book/0/3/0/odyssey-of-spirit-original-imaezjr9e9zkmycp.jpeg?q=70,₹190,,,https://www.flipkart.com/search?q=spiritual+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,spiritual
Paramhans Ek Khoj,"Hindi, Book, Sankar",https://rukminim1.flixcart.com/image/612/612/kiqbma80-0/book/w/r/q/paramhans-ek-khoj-original-imafygq3dhzqpvvr.jpeg?q=70,₹340,4,(7),https://www.flipkart.com/search?q=spiritual+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,spiritual
Siddhartha,"English, Paperback, Hesse Hermann",https://rukminim1.flixcart.com/image/612/612/kpsnzww0/book/5/w/v/siddhartha-original-imag3y5qsscv7fg6.jpeg?q=70,₹252,4.5,"(4,068)",https://www.flipkart.com/search?q=spiritual+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,spiritual
Scanner Green Edition for Financial Accounting (Paper 6 | CMA Inter Group 1) - Including questions and solutions of December 2022 | 2022 Syllabus | New Syllabus | June 2023 Exam,"Shuchita Prakashan (P) Ltd., Prof. Arun Kumar, CA Mohit Bahal, CS (Dr.) Himanshu Srivastava",https://rukminim1.flixcart.com/image/612/612/xif0q/book/d/b/b/scanner-green-edition-for-financial-accounting-paper-6-cma-inter-original-imagmqnxzakdrxvw.jpeg?q=70,₹195,4.8,(11),https://www.flipkart.com/search?q=spiritual+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,spiritual
Sita Swayamvar / सीता स्वयंवर,"Hindi, Paperback, Pandey Vivek",https://rukminim1.flixcart.com/image/612/612/xif0q/book/l/s/s/sita-swayamvar-original-imagmfz4t3h2s6ur.jpeg?q=70,₹110,,,https://www.flipkart.com/search?q=spiritual+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,spiritual
The Oath Of The Vayuputras (Malayalam) - Vayuputhranmarude Sapadham (The Shiva Trilogy): 3,"Malayalam, Paperback, Tripathi Amish",https://rukminim1.flixcart.com/image/612/612/xif0q/book/l/n/7/vayuputranmarude-sapadham-malayalam-original-imagk7y2xe6rekmh.jpeg?q=70,₹495,4.5,(4),https://www.flipkart.com/search?q=spiritual+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,spiritual
Fairy Tarot Cards,"English, Cards, Valentine Radleigh",https://rukminim1.flixcart.com/image/612/612/l1xwqkw0/book/f/0/i/fairy-tarot-cards-original-imagddnzjdjb5vnu.jpeg?q=70,"₹1,760",4,(4),https://www.flipkart.com/search?q=spiritual+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,spiritual
Jumbled Paragraph and Sentences PQRS  - jumbled pqrs,"English, Paperback, Manisha Bansal Ma'am",https://rukminim1.flixcart.com/image/612/612/xif0q/book/c/h/n/jumbled-paragraph-and-sentences-pqrs-original-imagmgwugg6zgggx.jpeg?q=70,₹219,4.5,"(1,336)",https://www.flipkart.com/search?q=spiritual+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,spiritual
The Four Sacred Secret,"Kannada, Paperback, unknown",https://rukminim1.flixcart.com/image/612/612/xif0q/book/a/d/c/the-four-sacred-secret-kannada-original-imagm2fhggwkhf8h.jpeg?q=70,₹337,,,https://www.flipkart.com/search?q=spiritual+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,spiritual
The Path Of Emancipation,"English, Paperback, Thich Nhat Hanh",https://rukminim1.flixcart.com/image/612/612/book/8/9/5/the-path-of-emancipation-original-imaez8zy3zgazzfk.jpeg?q=70,₹195,4.8,(4),https://www.flipkart.com/search?q=spiritual+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,spiritual
All is Well,"English, Paperback, MD, Ph.D Hay Louise L.",https://rukminim1.flixcart.com/image/612/612/jpsnma80/book/8/3/2/all-is-well-heal-your-body-with-medicine-affirmation-intuition-original-imafbyeqbbmw9ghz.jpeg?q=70,₹259,4.6,(48),https://www.flipkart.com/search?q=spiritual+books&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=5,spiritual
